timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,38.6829092502594,518,5.0,0.625,0.0,169,77.725,0,0.0,3.0,0.7,0.0,222,95.9,0,0.0
131072,72.35586214065552,1089,3.0,0.475,0.0,298,108.775,0,0.025,2.0,0.375,0.0,262,91.725,0,0.0
196608,105.94569659233093,1680,4.0,0.625,0.0,269,117.55,0,0.0,5.0,0.975,0.0,305,121.65,0,0.0
262144,139.80398607254028,2274,5.0,1.025,0.0,315,105.225,0,0.0,3.0,0.6,0.0,226,94.25,0,0.0
327680,173.267662525177,2865,4.0,0.75,0.0,368,99.85,0,0.0,5.0,0.925,0.0,432,109.775,0,0.0
393216,206.8467149734497,3448,5.0,0.975,0.0,493,125.325,0,0.0,6.0,0.975,0.0,699,125.775,0,0.0
458752,240.71728992462158,4054,40.0,1.75,0.0,1346,129.425,0,0.0,6.0,0.9,0.0,389,121.475,0,0.0
524288,274.0468554496765,4610,7.0,0.9,0.0,412,111.525,0,0.0,4.0,0.875,0.0,591,104.3,0,0.0
589824,306.6323549747467,5175,6.0,0.8,0.0,478,115.725,0,0.025,9.0,1.2,0.0,424,117.8,0,0.0
655360,339.7920801639557,5736,3.0,0.675,0.0,264,104.175,0,0.0,5.0,1.1,0.0,450,135.725,0,0.0
720896,373.10317397117615,6289,3.0,0.925,0.0,322,133.3,0,0.0,10.0,0.875,0.0,475,117.825,0,0.0
786432,406.8854672908783,6888,4.0,1.0,0.0,353,111.175,0,0.0,6.0,0.65,0.0,295,108.125,0,0.0
851968,440.08777618408203,7437,9.0,1.15,0.0,685,124.8,0,0.025,7.0,0.8,0.0,460,122.125,0,0.0
917504,472.8755433559418,7946,5.0,1.0,0.0,407,142.5,0,0.0,5.0,0.775,0.0,234,90.175,0,0.0
983040,505.8401925563812,8491,8.0,1.225,0.0,556,132.7,0,0.0,9.0,1.15,0.0,516,117.625,0,0.0
1048576,538.9874205589294,9020,7.0,1.05,0.0,382,127.6,0,0.0,6.0,1.175,0.0,325,118.5,0,0.0
1114112,572.2191903591156,9519,5.0,1.025,0.0,400,121.1,0,0.0,7.0,1.3,0.0,435,135.05,0,0.0
1179648,605.7594015598297,10059,10.0,1.325,0.0,574,132.5,0,0.0,8.0,0.95,0.0,286,99.725,0,0.0
1245184,639.3658113479614,10615,8.0,0.85,0.0,407,110.6,0,0.0,6.0,1.25,0.0,406,139.45,0,0.0
1310720,672.2871923446655,11141,6.0,0.775,0.0,407,109.925,0,0.0,3.0,0.65,0.0,216,101.25,0,0.0
1376256,706.4604096412659,11671,7.0,1.425,0.0,555,142.425,0,0.0,5.0,1.05,0.0,626,147.9,0,0.0
1441792,740.000568151474,12203,6.0,1.075,0.0,484,121.25,0,0.0,9.0,1.275,0.0,362,140.95,0,0.0
1507328,773.5349600315094,12680,7.0,0.925,0.0,353,115.375,0,0.0,11.0,1.7,0.0,490,142.925,0,0.0
1572864,806.9802253246307,13165,8.0,1.675,0.0,1104,202.525,0,0.0,5.0,1.2,0.0,386,133.85,0,0.025
1638400,840.2038507461548,13624,10.0,2.025,0.0,664,180.35,0,0.0,7.0,1.025,0.0,376,126.75,0,0.0
1703936,873.849928855896,14139,5.0,0.95,0.0,331,116.2,0,0.0,8.0,1.35,0.0,636,168.05,0,0.0
1769472,906.9741475582123,14640,6.0,1.0,0.0,416,143.525,0,0.0,13.0,1.2,0.0,1500,148.35,0,0.025
1835008,941.1278049945831,15137,9.0,1.125,0.0,534,124.5,0,0.0,8.0,0.7,0.0,318,105.1,0,0.0
1900544,974.6430306434631,15626,8.0,1.55,0.0,357,129.075,0,0.0,6.0,1.025,0.0,326,138.75,0,0.0
1966080,1007.1422262191772,16127,9.0,1.525,0.0,483,135.5,0,0.025,4.0,0.85,0.0,365,119.025,0,0.0
2031616,1040.0013041496277,16598,15.0,1.575,0.0,688,139.25,0,0.025,6.0,1.0,0.0,748,137.825,0,0.025
2097152,1072.691281080246,17040,10.0,1.4,0.0,384,136.375,0,0.0,7.0,1.225,0.0,445,144.875,0,0.0
2162688,1105.3534400463104,17448,12.0,1.8,0.0,525,140.775,0,0.0,8.0,1.125,0.0,523,113.3,0,0.0
2228224,1138.1885356903076,17852,5.0,1.975,0.0,517,160.875,0,0.025,8.0,2.625,0.0,786,176.525,0,0.0
2293760,1170.9466412067413,18255,10.0,1.975,0.0,549,179.425,0,0.0,12.0,1.975,0.0,1058,169.2,0,0.0
2359296,1203.4913666248322,18663,12.0,2.875,0.0,558,177.25,0,0.0,8.0,1.825,0.0,490,183.5,0,0.0
2424832,1236.0538873672485,19035,40.0,2.75,0.0,1231,183.85,0,0.025,12.0,2.425,0.0,814,193.925,0,0.0
2490368,1268.8725502490997,19420,14.0,2.05,0.0,726,200.275,0,0.025,40.0,4.025,0.0,1042,234.95,0,0.0
2555904,1302.0266444683075,19782,8.0,1.45,0.0,370,151.0,0,0.0,40.0,3.45,0.0,995,219.1,0,0.025
2621440,1334.6569249629974,20140,6.0,1.425,0.0,512,140.475,0,0.0,16.0,2.425,0.0,571,178.125,0,0.0
2686976,1367.3305761814117,20465,41.0,3.0,0.0,931,176.775,0,0.0,18.0,2.425,0.0,724,177.675,0,0.0
2752512,1400.3155090808868,20771,25.0,4.275,0.0,1090,242.2,0,0.0,14.0,2.45,0.0,790,220.625,0,0.0
2818048,1433.3241200447083,21078,20.0,3.15,0.0,1740,241.7,0,0.0,16.0,2.825,0.0,807,212.3,0,0.0
2883584,1466.3444232940674,21385,9.0,2.725,0.0,625,194.8,0,0.0,40.0,3.425,0.0,926,214.675,0,0.0
2949120,1499.012941122055,21702,12.0,2.85,0.0,456,175.675,0,0.0,18.0,4.05,0.0,1008,234.925,0,0.0
3014656,1532.4624826908112,22021,22.0,3.025,0.0,742,190.825,0,0.0,16.0,3.225,0.0,819,218.65,0,0.0
3080192,1565.652713060379,22360,40.0,4.95,0.0,1287,253.95,0,0.0,12.0,2.575,0.0,944,187.225,0,0.0
3145728,1598.5872576236725,22661,40.0,4.7,0.0,1161,272.7,0,0.0,15.0,2.7,0.0,697,204.2,0,0.0
3211264,1631.8171260356903,22969,19.0,2.525,0.0,640,187.4,0,0.0,40.0,2.625,0.0,1015,186.8,0,0.0
3276800,1665.985773563385,23277,8.0,2.5,0.0,455,184.45,0,0.0,40.0,5.525,0.0,1142,297.8,0,0.0
3342336,1699.96311044693,23560,8.0,1.875,0.0,621,165.4,0,0.025,12.0,2.4,0.0,1053,171.825,0,0.0
3407872,1734.2777137756348,23858,18.0,3.15,0.0,733,215.475,0,0.0,17.0,3.175,0.0,522,191.225,0,0.0
3473408,1767.538321018219,24124,11.0,3.15,0.0,1076,238.575,0,0.0,15.0,3.325,0.0,776,211.45,0,0.0
3538944,1800.5479135513306,24390,17.0,4.325,0.0,1050,287.425,0,0.0,40.0,4.1,0.0,1324,233.5,0,0.0
3604480,1834.0990223884583,24674,25.0,3.9,0.0,1164,227.4,0,0.0,9.0,2.35,0.0,671,173.975,0,0.0
3670016,1867.650959968567,24965,40.0,5.45,0.0,1157,255.625,0,0.025,40.0,4.475,0.0,1079,257.475,0,0.0
3735552,1901.278082370758,25183,40.0,4.85,0.0,992,264.95,0,0.0,40.0,4.85,0.0,1127,262.125,0,0.0
3801088,1933.3916096687317,25437,40.0,5.6,0.0,1062,286.85,0,0.0,40.0,3.9,0.0,1154,228.85,0,0.025
3866624,1966.5444028377533,25686,12.0,2.85,0.0,828,210.575,0,0.0,40.0,4.85,0.0,1216,279.725,0,0.0
3932160,2000.1904590129852,25933,40.0,5.475,0.0,1317,284.25,0,0.0,40.0,4.3,0.0,1171,224.15,0,0.0
3997696,2032.4911935329437,26184,40.0,5.3,0.0,1582,255.8,0,0.0,40.0,4.525,0.0,1566,236.5,0,0.0
4063232,2065.362927675247,26449,40.0,6.575,0.0,1410,311.775,0,0.0,14.0,3.175,0.0,630,233.825,0,0.0
4128768,2098.525161266327,26701,16.0,2.95,0.0,893,206.225,0,0.0,40.0,6.075,0.0,1167,294.925,0,0.0
4194304,2131.8855040073395,26940,40.0,7.425,0.0,2123,335.775,0,0.0,40.0,5.4,0.0,1098,271.325,0,0.0
4259840,2165.8734979629517,27207,41.0,6.775,0.0,1269,313.55,0,0.025,20.0,4.7,0.0,870,272.925,0,0.0
4325376,2198.875512123108,27425,40.0,5.05,0.0,1043,249.975,0,0.0,40.0,4.2,0.0,1029,256.675,0,0.0
4390912,2232.418604373932,27663,40.0,5.35,0.0,1116,276.8,0,0.0,16.0,3.425,0.0,1137,223.875,0,0.0
4456448,2265.987524986267,27885,41.0,7.7,0.0,1123,285.375,0,0.0,16.0,3.45,0.0,672,227.625,0,0.0
4521984,2299.8206164836884,28104,40.0,6.2,0.0,1173,265.45,0,0.0,40.0,6.6,0.0,1149,324.0,0,0.0
4587520,2333.3398702144623,28306,40.0,5.975,0.0,1269,306.425,0,0.0,40.0,4.9,0.0,1340,277.75,0,0.0
4653056,2367.0945999622345,28525,40.0,6.225,0.0,963,296.05,0,0.0,40.0,7.5,0.0,1140,327.9,0,0.0
4718592,2400.6721425056458,28711,40.0,7.475,0.0,1357,312.275,0,0.0,40.0,7.375,0.0,842,329.325,0,0.0
4784128,2434.1226358413696,28884,41.0,8.8,0.0,1195,366.6,0,0.0,40.0,4.8,0.0,926,255.65,0,0.0
4849664,2467.5232203006744,29057,40.0,9.325,0.0,1321,404.95,0,0.0,40.0,8.4,0.0,1246,352.875,0,0.0
4915200,2501.701243162155,29265,40.0,7.925,0.0,1535,409.25,0,0.0,40.0,5.65,0.0,1081,280.225,0,0.0
4980736,2536.125985145569,29471,40.0,6.525,0.0,1367,315.775,0,0.05,40.0,7.6,0.0,1370,314.8,0,0.025
5046272,2569.521490097046,29669,40.0,3.775,0.0,1191,240.35,0,0.0,40.0,7.15,0.0,1545,355.9,0,0.0
5111808,2602.304822206497,29854,41.0,5.85,0.0,1184,305.95,0,0.0,40.0,5.925,0.0,1162,321.6,0,0.0
5177344,2636.438670873642,30020,40.0,7.65,0.0,1010,305.675,0,0.0,40.0,7.825,0.0,1168,306.425,0,0.0
5242880,2669.7966182231903,30208,40.0,10.225,0.0,1330,474.05,0,0.0,40.0,7.225,0.0,1291,364.9,0,0.025
