timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,26.85232162475586,497,3.0,0.125,0.0,204,82.55,0,0.0,1.0,0.05,0.0,237,77.9,0,0.0
131072,50.165993213653564,1096,1.0,0.025,0.0,273,95.175,0,0.0,3.0,0.375,0.0,451,131.225,0,0.0
196608,72.65338826179504,1693,1.0,0.2,0.0,307,97.1,0,0.0,2.0,0.325,0.0,263,106.55,0,0.0
262144,95.40911650657654,2238,4.0,0.225,0.0,356,132.675,0,0.0,2.0,0.1,0.0,295,99.075,0,0.0
327680,119.62777042388916,2845,3.0,0.275,0.0,291,117.7,0,0.0,2.0,0.1,0.0,315,112.125,0,0.0
393216,142.7096164226532,3438,1.0,0.1,0.0,350,103.05,0,0.0,6.0,0.3,0.0,309,115.75,0,0.025
458752,166.11850333213806,3964,2.0,0.25,0.0,445,111.35,0,0.0,2.0,0.325,0.0,442,124.45,0,0.0
524288,189.1696515083313,4544,3.0,0.425,0.0,340,126.325,0,0.025,3.0,0.25,0.0,332,109.225,0,0.0
589824,213.0186824798584,5147,3.0,0.15,0.0,379,110.725,0,0.0,2.0,0.075,0.0,475,117.675,0,0.0
655360,235.90779876708984,5735,2.0,0.175,0.0,368,132.525,0,0.025,2.0,0.325,0.0,342,126.225,0,0.025
720896,258.85896277427673,6347,3.0,0.225,0.0,286,113.625,0,0.0,4.0,0.35,0.0,422,135.225,0,0.0
786432,281.0698585510254,6917,2.0,0.3,0.0,283,122.25,0,0.0,2.0,0.15,0.0,258,109.1,0,0.0
851968,303.433230638504,7532,3.0,0.225,0.0,328,96.0,0,0.0,2.0,0.15,0.0,324,120.25,0,0.025
917504,325.4636216163635,8122,1.0,0.15,0.0,230,80.575,0,0.0,2.0,0.125,0.0,309,107.575,0,0.0
983040,348.24568819999695,8722,2.0,0.2,0.0,278,109.95,0,0.0,3.0,0.275,0.0,521,107.975,0,0.0
1048576,369.94320917129517,9332,1.0,0.1,0.0,415,114.725,0,0.0,2.0,0.2,0.0,208,112.85,0,0.0
1114112,392.16273641586304,9917,1.0,0.2,0.0,309,101.225,0,0.0,2.0,0.275,0.0,359,116.3,0,0.0
1179648,413.8757572174072,10520,2.0,0.375,0.0,415,105.425,0,0.0,1.0,0.125,0.0,242,110.325,0,0.0
1245184,436.1053810119629,11154,2.0,0.325,0.0,417,114.45,0,0.0,2.0,0.275,0.0,313,100.375,0,0.0
1310720,457.9004776477814,11760,6.0,0.25,0.0,493,118.475,0,0.05,2.0,0.25,0.0,424,114.85,0,0.0
