timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,41.37615346908569,1425,0.0,0.0,0.0,208,41.15,0,0.0,0.0,0.0,0.0,106,36.35,0,0.0
131072,76.02104687690735,2865,0.0,0.0,0.0,279,51.775,0,0.0,0.0,0.0,0.0,270,46.95,0,0.0
196608,109.58265590667725,4288,0.0,0.0,0.0,174,49.575,0,0.0,1.0,0.05,0.0,291,58.0,0,0.0
262144,143.307199716568,5630,0.0,0.0,0.0,302,50.575,0,0.0,1.0,0.025,0.0,180,44.2,0,0.0
327680,177.03639459609985,6937,2.0,0.05,0.0,228,43.25,0,0.0,0.0,0.0,0.0,182,48.65,0,0.0
393216,211.7979302406311,8153,1.0,0.075,0.0,295,68.125,0,0.0,0.0,0.0,0.0,194,45.075,0,0.0
458752,244.3544726371765,9227,0.0,0.0,0.0,279,66.95,0,0.025,11.0,0.3,0.0,155,50.275,0,0.0
524288,278.030579328537,10175,0.0,0.0,0.0,451,60.75,0,0.0,1.0,0.05,0.0,229,66.65,0,0.0
589824,311.76315355300903,11060,11.0,0.3,0.0,238,64.4,0,0.0,11.0,0.4,0.0,260,70.75,0,0.0
655360,344.919620513916,11980,1.0,0.05,0.0,190,49.125,0,0.0,1.0,0.025,0.0,335,48.575,0,0.0
720896,379.18123292922974,12866,1.0,0.025,0.0,303,67.3,0,0.0,11.0,0.35,0.0,237,54.625,0,0.0
786432,412.459920167923,13790,11.0,0.375,0.0,766,90.9,0,0.025,1.0,0.025,0.0,406,73.6,0,0.0
851968,446.5483000278473,14645,12.0,0.925,0.0,351,84.725,0,0.0,1.0,0.1,0.0,537,94.375,0,0.0
917504,480.6822261810303,15492,11.0,0.3,0.0,335,60.0,0,0.0,11.0,0.3,0.0,270,61.05,0,0.0
983040,515.5789313316345,16326,2.0,0.075,0.0,370,63.225,0,0.0,11.0,0.4,0.0,1034,101.55,0,0.0
1048576,548.9413657188416,17211,13.0,0.925,0.0,492,78.0,0,0.0,11.0,0.375,0.0,631,92.1,0,0.0
1114112,583.376079082489,18021,1.0,0.025,0.0,335,52.575,0,0.0,11.0,0.675,0.0,327,95.125,0,0.0
1179648,615.8499925136566,18892,11.0,0.35,0.0,280,79.5,0,0.0,11.0,0.55,0.0,455,55.375,0,0.0
1245184,647.907327413559,19739,1.0,0.025,0.0,497,66.6,0,0.0,1.0,0.125,0.0,415,89.975,0,0.025
1310720,680.8494441509247,20618,11.0,0.325,0.0,238,51.9,0,0.0,11.0,0.9,0.0,330,73.4,0,0.0
1376256,713.6271102428436,21459,11.0,0.4,0.0,366,83.775,0,0.0,3.0,0.15,0.0,441,76.825,0,0.0
1441792,745.7222065925598,22273,11.0,0.325,0.0,232,63.45,0,0.0,11.0,0.325,0.0,186,56.075,0,0.025
1507328,779.4727964401245,23165,11.0,0.375,0.0,518,71.575,0,0.0,11.0,0.575,0.0,263,67.775,0,0.0
1572864,812.943573474884,24093,1.0,0.05,0.0,258,55.4,0,0.025,2.0,0.05,0.0,244,59.925,0,0.0
1638400,846.3914079666138,24980,1.0,0.05,0.0,289,63.2,0,0.0,2.0,0.125,0.0,430,80.8,0,0.0
1703936,879.6639788150787,25870,11.0,0.45,0.0,643,91.55,0,0.0,12.0,0.5,0.0,552,93.375,0,0.0
1769472,912.8992776870728,26753,11.0,0.35,0.0,226,68.975,0,0.0,11.0,0.45,0.0,846,97.85,0,0.0
1835008,946.1082170009613,27592,11.0,0.375,0.0,568,90.9,0,0.0,12.0,0.625,0.0,1864,109.375,0,0.025
1900544,980.3164777755737,28414,11.0,0.35,0.0,283,63.0,0,0.0,11.0,0.4,0.0,310,69.5,0,0.0
1966080,1013.5195758342743,29228,11.0,0.425,0.0,341,67.95,0,0.0,12.0,1.075,0.0,730,116.925,0,0.025
2031616,1047.6838479042053,30065,2.0,0.2,0.0,432,81.625,0,0.0,14.0,0.525,0.0,505,93.175,0,0.0
2097152,1082.3372566699982,30847,13.0,0.425,0.0,380,75.7,0,0.0,11.0,0.5,0.0,469,114.375,0,0.025
2162688,1116.4897282123566,31672,11.0,0.65,0.0,308,76.45,0,0.0,2.0,0.225,0.0,316,89.275,0,0.0
2228224,1150.5547647476196,32453,1.0,0.075,0.0,323,63.625,0,0.0,12.0,1.25,0.0,322,91.425,0,0.0
2293760,1184.759250164032,33279,12.0,1.0,0.0,639,115.225,0,0.0,1.0,0.05,0.0,278,54.925,0,0.0
2359296,1219.1172194480896,34090,11.0,0.625,0.0,626,71.0,0,0.0,11.0,0.35,0.0,264,67.0,0,0.025
2424832,1253.3873829841614,34820,11.0,0.4,0.0,272,69.825,0,0.0,11.0,0.475,0.0,432,98.925,0,0.0
2490368,1287.479588508606,35618,12.0,0.6,0.0,389,66.575,0,0.0,1.0,0.1,0.0,487,86.425,0,0.0
2555904,1322.2026631832123,36439,12.0,0.4,0.0,1121,87.525,0,0.0,1.0,0.05,0.0,271,60.075,0,0.0
2621440,1356.3510534763336,37294,11.0,0.425,0.0,239,72.0,0,0.0,1.0,0.075,0.0,320,67.125,0,0.0
2686976,1390.3664343357086,38120,11.0,0.35,0.0,462,78.7,0,0.0,12.0,0.7,0.0,405,77.5,0,0.0
2752512,1424.7637536525726,38938,11.0,0.55,0.0,267,61.375,0,0.025,11.0,0.675,0.0,620,95.3,0,0.0
2818048,1458.672402381897,39757,12.0,0.625,0.0,304,70.425,0,0.0,11.0,0.425,0.0,1210,104.775,0,0.0
2883584,1491.3780250549316,40546,11.0,1.2,0.0,263,86.525,0,0.0,12.0,0.425,0.0,418,81.65,0,0.0
2949120,1525.6132056713104,41388,11.0,0.325,0.0,787,82.075,0,0.025,11.0,0.375,0.0,850,98.725,0,0.0
3014656,1558.7494039535522,42185,11.0,0.35,0.0,1183,77.7,0,0.0,11.0,0.3,0.0,279,55.85,0,0.025
3080192,1591.978091955185,42929,12.0,1.1,0.0,892,106.3,0,0.0,2.0,0.1,0.0,271,56.95,0,0.0
3145728,1625.5057966709137,43705,11.0,0.6,0.0,285,58.8,0,0.0,12.0,1.175,0.0,300,91.375,0,0.0
3211264,1658.7861182689667,44454,11.0,0.375,0.0,905,81.925,0,0.025,13.0,0.4,0.0,688,85.975,0,0.0
3276800,1692.0170412063599,45187,2.0,0.2,0.0,265,74.4,0,0.0,11.0,0.925,0.0,317,87.025,0,0.0
3342336,1725.4589126110077,45920,3.0,0.275,0.0,703,108.85,0,0.0,14.0,1.025,0.0,780,95.8,0,0.0
3407872,1758.6271715164185,46695,2.0,0.175,0.0,503,83.95,0,0.0,12.0,0.75,0.0,445,114.3,0,0.025
3473408,1791.6714251041412,47360,13.0,0.975,0.0,1419,147.2,0,0.0,12.0,0.725,0.0,482,107.8,0,0.025
3538944,1825.086906194687,48039,2.0,0.175,0.0,381,77.05,0,0.0,11.0,0.7,0.0,709,89.95,0,0.0
3604480,1858.363062620163,48745,15.0,1.4,0.0,1548,121.875,0,0.0,11.0,0.375,0.0,463,86.925,0,0.0
3670016,1892.1171782016754,49400,12.0,1.575,0.0,605,115.325,0,0.0,12.0,1.15,0.0,524,118.725,0,0.025
3735552,1925.6462845802307,50071,13.0,1.225,0.0,905,89.85,0,0.0,11.0,1.075,0.0,758,117.975,0,0.0
3801088,1959.2783467769623,50689,13.0,0.5,0.0,751,106.825,0,0.0,13.0,1.225,0.0,1208,139.825,0,0.0
3866624,1992.592325925827,51240,13.0,1.275,0.0,440,121.725,0,0.0,13.0,1.15,0.0,966,127.825,0,0.0
3932160,2026.0306069850922,51738,13.0,2.15,0.0,1263,118.425,0,0.0,15.0,1.675,0.0,499,98.525,0,0.0
3997696,2059.697353363037,52223,14.0,1.775,0.0,1458,154.35,0,0.0,13.0,1.7,0.0,642,123.55,0,0.0
4063232,2093.2315855026245,52687,13.0,1.35,0.0,935,158.525,0,0.0,11.0,0.65,0.0,1352,157.875,0,0.0
