timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,38.57219886779785,1473,0.0,0.0,0.0,145,38.775,0,0.0,0.0,0.0,0.0,104,37.15,0,0.0
131072,70.93645334243774,3201,0.0,0.0,0.0,160,38.75,0,0.0,0.0,0.0,0.0,194,42.1,0,0.0
196608,102.17355465888977,4953,0.0,0.0,0.0,65,28.225,0,0.0,0.0,0.0,0.0,293,39.4,0,0.0
262144,133.66088366508484,6588,0.0,0.0,0.0,272,47.475,0,0.05,1.0,0.025,0.0,171,35.9,0,0.0
327680,163.89871454238892,8267,1.0,0.025,0.0,153,38.95,0,0.0,0.0,0.0,0.0,173,34.875,0,0.0
393216,196.26901602745056,9860,0.0,0.0,0.0,225,41.325,0,0.0,0.0,0.0,0.0,138,34.85,0,0.0
458752,226.4560899734497,11405,0.0,0.0,0.0,142,43.675,0,0.0,0.0,0.0,0.0,229,47.15,0,0.0
524288,257.53728199005127,12824,11.0,0.325,0.0,275,54.45,0,0.0,0.0,0.0,0.0,256,53.9,0,0.0
589824,288.4172191619873,14020,11.0,0.3,0.0,150,48.625,0,0.0,0.0,0.0,0.0,177,46.075,0,0.0
655360,319.5639500617981,15149,1.0,0.05,0.0,244,60.6,0,0.0,1.0,0.1,0.0,289,63.4,0,0.0
720896,350.7232151031494,16410,1.0,0.025,0.0,218,48.975,0,0.0,0.0,0.0,0.0,311,43.55,0,0.0
786432,382.05357813835144,17624,2.0,0.05,0.0,443,50.825,0,0.0,11.0,0.275,0.0,141,48.0,0,0.0
851968,413.1138460636139,18861,1.0,0.025,0.0,397,60.9,0,0.025,12.0,0.3,0.0,264,62.375,0,0.0
917504,445.7945466041565,20037,11.0,0.3,0.0,613,82.15,0,0.0,1.0,0.075,0.0,439,72.05,0,0.025
983040,477.6166949272156,21183,0.0,0.0,0.0,200,42.475,0,0.0,1.0,0.025,0.0,214,52.45,0,0.0
1048576,509.08306908607483,22222,1.0,0.025,0.0,257,51.7,0,0.0,11.0,0.3,0.0,459,65.475,0,0.0
1114112,540.1961138248444,23302,1.0,0.025,0.0,284,57.8,0,0.0,0.0,0.0,0.0,297,55.425,0,0.0
1179648,570.4180448055267,24364,1.0,0.05,0.0,290,72.525,0,0.0,1.0,0.075,0.0,415,69.775,0,0.0
1245184,600.3226935863495,25342,11.0,0.275,0.0,376,49.725,0,0.0,0.0,0.0,0.0,556,58.75,0,0.025
1310720,630.8886890411377,26252,1.0,0.075,0.0,300,69.525,0,0.0,1.0,0.05,0.0,406,63.3,0,0.0
1376256,661.7044186592102,27182,1.0,0.025,0.0,146,57.975,0,0.0,11.0,0.325,0.0,364,65.05,0,0.0
1441792,692.4875004291534,28081,2.0,0.175,0.0,988,105.85,0,0.0,11.0,0.6,0.0,341,57.425,0,0.0
1507328,723.5021214485168,28995,11.0,0.325,0.0,694,83.125,0,0.0,1.0,0.05,0.0,279,43.9,0,0.0
1572864,754.7288675308228,29890,1.0,0.1,0.0,328,58.25,0,0.0,1.0,0.075,0.0,334,80.3,0,0.0
1638400,786.546457529068,30846,11.0,0.325,0.0,535,85.425,0,0.0,1.0,0.05,0.0,335,57.9,0,0.0
1703936,817.2767219543457,31745,1.0,0.025,0.0,305,63.15,0,0.025,11.0,0.3,0.0,339,50.175,0,0.0
1769472,848.6401214599609,32657,2.0,0.1,0.0,604,111.35,0,0.0,11.0,0.4,0.0,669,79.425,0,0.025
1835008,879.3459997177124,33540,0.0,0.0,0.0,234,49.3,0,0.0,1.0,0.05,0.0,433,51.375,0,0.025
1900544,910.542074918747,34435,12.0,0.575,0.0,403,52.35,0,0.0,11.0,0.6,0.0,411,81.55,0,0.0
1966080,940.3085830211639,35398,11.0,0.625,0.0,572,107.05,0,0.0,11.0,0.3,0.0,498,70.875,0,0.025
2031616,970.72296833992,36326,1.0,0.025,0.0,152,54.4,0,0.0,12.0,0.325,0.0,428,61.05,0,0.0
2097152,1001.417474269867,37241,11.0,0.275,0.0,222,44.05,0,0.0,13.0,0.4,0.0,638,83.65,0,0.0
2162688,1032.8196852207184,38125,2.0,0.15,0.0,613,93.225,0,0.05,1.0,0.05,0.0,202,56.075,0,0.0
2228224,1063.64319896698,39078,11.0,0.65,0.0,457,77.7,0,0.0,2.0,0.05,0.0,632,68.05,0,0.0
2293760,1094.3818295001984,39937,1.0,0.075,0.0,379,79.7,0,0.0,1.0,0.125,0.0,538,85.125,0,0.0
2359296,1124.8889029026031,40803,11.0,0.325,0.0,481,73.175,0,0.025,1.0,0.025,0.0,279,59.45,0,0.0
2424832,1155.8403010368347,41652,11.0,0.35,0.0,379,70.975,0,0.0,12.0,0.7,0.0,585,101.65,0,0.025
2490368,1187.2294433116913,42523,1.0,0.15,0.0,358,67.375,0,0.025,2.0,0.2,0.0,848,134.425,0,0.0
2555904,1218.438700914383,43427,11.0,0.35,0.0,356,75.5,0,0.025,11.0,0.3,0.0,195,52.975,0,0.0
2621440,1249.267690896988,44273,11.0,0.35,0.0,670,82.15,0,0.0,11.0,0.6,0.0,282,56.25,0,0.0
2686976,1280.0214228630066,45155,11.0,1.025,0.0,547,116.825,0,0.0,11.0,0.4,0.0,416,103.625,0,0.0
2752512,1310.4382655620575,46099,1.0,0.05,0.0,320,57.475,0,0.0,0.0,0.0,0.0,166,45.925,0,0.025
2818048,1341.38792014122,47059,11.0,0.3,0.0,323,58.05,0,0.0,11.0,0.325,0.0,218,59.3,0,0.0
2883584,1373.3032987117767,47925,11.0,0.425,0.0,363,69.775,0,0.0,11.0,0.325,0.0,299,57.45,0,0.0
2949120,1405.0966503620148,48790,2.0,0.1,0.0,700,88.0,0,0.0,11.0,0.325,0.0,483,72.75,0,0.0
3014656,1436.8578264713287,49638,11.0,0.6,0.0,515,67.15,0,0.0,11.0,0.4,0.0,566,81.95,0,0.0
3080192,1468.5942072868347,50542,11.0,0.3,0.0,549,70.925,0,0.0,12.0,0.75,0.0,863,102.875,0,0.0
3145728,1499.9611403942108,51462,3.0,0.2,0.0,477,84.3,0,0.0,1.0,0.025,0.0,305,54.225,0,0.0
3211264,1531.123616695404,52366,2.0,0.075,0.0,346,65.5,0,0.0,11.0,0.4,0.0,396,75.525,0,0.0
3276800,1561.1388335227966,53302,11.0,0.375,0.0,719,81.3,0,0.0,11.0,0.35,0.0,300,60.825,0,0.0
3342336,1592.0869426727295,54195,1.0,0.025,0.0,757,60.5,0,0.0,12.0,0.9,0.0,706,88.0,0,0.0
3407872,1623.261046886444,55003,11.0,0.875,0.0,383,84.45,0,0.0,4.0,0.2,0.0,1169,95.15,0,0.0
3473408,1654.2418909072876,55797,1.0,0.075,0.0,317,56.95,0,0.0,12.0,0.35,0.0,265,64.6,0,0.0
3538944,1684.7747147083282,56649,11.0,0.65,0.0,312,68.95,0,0.0,2.0,0.15,0.0,581,71.525,0,0.0
3604480,1715.681310892105,57457,12.0,0.425,0.0,566,93.7,0,0.0,12.0,1.225,0.0,704,77.65,0,0.0
3670016,1746.4070291519165,58310,11.0,0.45,0.0,643,101.75,0,0.025,0.0,0.0,0.0,123,37.2,0,0.0
3735552,1777.7109127044678,59117,12.0,0.425,0.0,396,80.575,0,0.0,11.0,0.325,0.0,311,60.95,0,0.0
3801088,1808.4024906158447,59930,14.0,0.4,0.0,1277,95.15,0,0.0,1.0,0.075,0.0,579,75.25,0,0.0
3866624,1839.1897456645966,60738,11.0,0.75,0.0,836,95.775,0,0.0,15.0,1.05,0.0,1157,97.8,0,0.0
3932160,1870.6459901332855,61628,11.0,0.625,0.0,831,104.825,0,0.0,11.0,0.4,0.0,516,60.7,0,0.0
3997696,1902.8021898269653,62398,13.0,0.675,0.0,409,75.45,0,0.0,12.0,0.35,0.0,266,75.3,0,0.0
4063232,1934.0945718288422,63198,13.0,1.3,0.0,1296,122.55,0,0.025,14.0,0.425,0.0,633,85.0,0,0.0
