timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,29.670209407806396,147,10.0,2.75,0.0,246,94.45,0,0.0,10.0,3.0,0.0,237,82.9,0,0.0
131072,54.61831283569336,235,10.0,3.75,0.0,512,236.625,0,0.025,10.0,4.0,0.0,477,217.875,0,0.0
196608,79.45592403411865,333,10.0,4.25,0.0,764,406.15,0,0.0,13.0,2.325,0.0,761,330.875,0,0.0
262144,103.47944521903992,498,10.0,2.0,0.0,1000,650.55,0,0.025,10.0,2.75,0.0,1000,536.575,0,0.0
327680,126.38289856910706,653,10.0,2.25,0.0,1000,442.475,0,0.0,10.0,3.25,0.0,1000,387.95,0,0.0
393216,149.34449219703674,813,10.0,5.0,0.0,1000,323.425,0,0.0,10.0,3.0,0.0,1000,360.95,0,0.0
458752,172.51961064338684,981,10.0,2.75,0.0,1000,462.25,0,0.0,10.0,3.5,0.0,1000,376.675,0,0.0
524288,195.2337839603424,1199,10.0,2.75,0.0,1000,393.275,0,0.0,10.0,2.75,0.0,1000,419.625,0,0.0
589824,218.1448895931244,1383,10.0,4.0,0.0,1000,268.825,0,0.0,10.0,2.25,0.0,1000,338.75,0,0.025
655360,241.1143138408661,1600,10.0,3.0,0.0,1000,292.675,0,0.0,10.0,2.5,0.0,1000,332.85,0,0.0
720896,263.94338154792786,1803,10.0,4.25,0.0,1000,214.825,0,0.0,10.0,3.0,0.0,1000,351.825,0,0.0
786432,286.8404543399811,2032,10.0,3.5,0.0,1000,239.25,0,0.025,10.0,3.0,0.0,1000,313.1,0,0.0
851968,309.7624785900116,2224,10.0,4.0,0.0,1000,289.525,0,0.0,10.0,4.25,0.0,1000,351.375,0,0.0
917504,332.53505659103394,2435,10.0,4.25,0.0,1000,281.225,0,0.0,10.0,4.5,0.0,1000,310.875,0,0.0
983040,355.961110830307,2651,10.0,3.75,0.0,1000,278.075,0,0.0,10.0,4.0,0.0,1000,261.3,0,0.0
1048576,378.92017793655396,2885,10.0,2.0,0.0,1000,264.575,0,0.0,10.0,5.0,0.0,1000,320.95,0,0.0
1114112,402.5711627006531,3129,10.0,4.5,0.0,1000,266.325,0,0.0,10.0,4.825,0.0,1000,268.65,0,0.0
1179648,425.43031668663025,3356,10.0,2.5,0.0,1000,230.25,0,0.0,10.0,3.5,0.0,1000,299.95,0,0.05
1245184,448.5200660228729,3565,10.0,3.25,0.0,1000,319.35,0,0.025,10.0,4.0,0.0,1000,314.675,0,0.0
1310720,471.3763687610626,3786,10.0,2.75,0.0,1000,247.625,0,0.0,10.0,3.25,0.0,1000,402.5,0,0.0
1376256,494.59833431243896,4014,10.0,4.0,0.0,1000,279.9,0,0.0,10.0,4.0,0.0,1000,240.7,0,0.0
1441792,517.5664520263672,4253,10.0,4.75,0.0,1000,315.75,0,0.0,10.0,3.0,0.0,1000,402.425,0,0.0
1507328,540.6890122890472,4465,10.0,4.25,0.0,1000,256.0,0,0.025,10.0,4.0,0.0,1000,425.875,0,0.0
1572864,563.3992974758148,4733,10.0,3.5,0.0,1000,302.0,0,0.0,10.0,4.0,0.0,1000,286.775,0,0.0
1638400,586.3823347091675,4945,10.0,4.25,0.0,1000,245.1,0,0.0,10.0,4.0,0.0,1000,303.275,0,0.0
1703936,609.3644304275513,5162,10.0,4.75,0.0,1000,305.6,0,0.0,10.0,3.25,0.0,1000,279.625,0,0.0
1769472,632.5992794036865,5411,10.0,3.0,0.0,1000,249.125,0,0.0,10.0,3.75,0.0,1000,311.9,0,0.0
1835008,655.6850678920746,5666,10.0,3.25,0.0,1000,255.675,0,0.0,10.0,3.825,0.0,1000,248.875,0,0.0
1900544,678.7167284488678,5907,10.0,3.825,0.0,1000,325.075,0,0.0,10.0,3.5,0.0,1000,261.3,0,0.0
1966080,701.7012119293213,6172,10.0,5.5,0.0,1000,244.875,0,0.0,10.0,3.25,0.0,1000,326.075,0,0.025
2031616,724.6643376350403,6443,10.0,3.25,0.0,1000,279.4,0,0.0,10.0,4.25,0.0,1000,292.675,0,0.0
2097152,747.6114783287048,6743,10.0,2.5,0.0,1000,315.3,0,0.0,10.0,3.25,0.0,1000,259.325,0,0.0
2162688,770.793609380722,7012,10.0,4.25,0.0,1000,229.2,0,0.0,10.0,5.0,0.0,1000,298.15,0,0.0
2228224,793.8463358879089,7276,10.0,4.75,0.0,1000,261.025,0,0.0,13.0,4.325,0.0,1000,205.7,0,0.0
2293760,816.7570869922638,7566,10.0,4.75,0.0,1000,218.825,0,0.0,10.0,4.5,0.0,1000,210.85,0,0.0
2359296,840.0115447044373,7862,10.0,4.0,0.0,1000,236.45,0,0.0,10.0,5.25,0.0,1000,218.175,0,0.0
2424832,863.1733636856079,8168,10.0,5.0,0.0,1000,177.15,0,0.0,10.0,3.5,0.0,1000,223.2,0,0.05
2490368,886.3417143821716,8494,10.0,4.75,0.0,1000,194.6,0,0.0,10.0,3.75,0.0,588,143.65,0,0.0
2555904,909.4409432411194,8803,10.0,5.25,0.0,432,166.7,0,0.0,10.0,4.75,0.0,1000,209.925,0,0.0
2621440,932.5216317176819,9165,10.0,2.25,0.0,1000,238.375,0,0.025,10.0,4.5,0.0,1000,164.55,0,0.0
2686976,955.59339427948,9544,10.0,5.25,0.0,925,181.675,0,0.0,10.0,4.0,0.0,1000,261.475,0,0.0
2752512,978.9962062835693,9945,10.0,5.25,0.0,1000,174.975,0,0.0,10.0,5.25,0.0,988,138.4,0,0.0
2818048,1002.0205404758453,10305,10.0,3.75,0.0,846,172.525,0,0.0,10.0,4.25,0.0,1000,190.1,0,0.025
2883584,1025.4727773666382,10668,10.0,6.0,0.0,1000,165.225,0,0.025,10.0,4.5,0.0,1000,158.3,0,0.0
2949120,1048.5363488197327,11033,10.0,4.75,0.0,1000,137.45,0,0.0,10.0,5.0,0.0,617,133.35,0,0.0
3014656,1071.6036400794983,11404,10.0,5.325,0.0,1000,173.85,0,0.0,10.0,4.25,0.0,1000,159.65,0,0.0
3080192,1094.8436422348022,11772,10.0,4.75,0.0,1000,191.8,0,0.025,10.0,4.25,0.0,1000,150.2,0,0.0
3145728,1118.0792162418365,12170,10.0,6.5,0.0,1000,163.25,0,0.0,10.0,4.0,0.0,767,153.275,0,0.0
3211264,1141.1016132831573,12588,10.0,4.0,0.0,1000,155.2,0,0.0,10.0,4.5,0.0,1000,188.7,0,0.0
3276800,1164.3496873378754,12994,10.0,4.0,0.0,446,115.25,0,0.0,10.0,4.75,0.0,859,163.8,0,0.0
3342336,1187.3159124851227,13383,10.0,4.5,0.0,1000,221.525,0,0.0,10.0,4.5,0.0,1000,193.95,0,0.0
3407872,1210.853051662445,13797,10.0,4.75,0.0,550,121.225,0,0.0,10.0,5.25,0.0,672,117.425,0,0.0
3473408,1233.911063194275,14223,10.0,4.25,0.0,1000,160.95,0,0.0,10.0,4.0,0.0,1000,156.025,0,0.0
3538944,1257.0169677734375,14664,10.0,3.0,0.0,1000,168.4,0,0.0,10.0,6.0,0.0,1000,129.475,0,0.0
3604480,1280.1876697540283,15066,10.0,5.5,0.0,1000,135.8,0,0.0,10.0,4.5,0.0,1000,178.05,0,0.0
3670016,1303.3869166374207,15529,10.0,4.75,0.0,614,145.525,0,0.0,10.0,5.0,0.0,506,141.075,0,0.0
3735552,1326.7721707820892,15990,10.0,4.75,0.0,626,116.175,0,0.0,10.0,5.5,0.0,838,136.425,0,0.0
3801088,1350.3177375793457,16440,10.0,5.25,0.0,1000,133.85,0,0.0,10.0,4.5,0.0,1000,147.9,0,0.0
3866624,1373.6405625343323,16884,10.0,4.75,0.0,1000,158.375,0,0.0,10.0,5.0,0.0,1000,164.4,0,0.0
3932160,1396.9207532405853,17360,10.0,6.5,0.0,775,126.55,0,0.0,10.0,5.75,0.0,1000,216.225,0,0.0
3997696,1420.412297964096,17771,10.0,5.0,0.0,918,190.95,0,0.0,10.0,4.75,0.0,284,89.8,0,0.025
4063232,1443.4164836406708,18200,10.0,3.5,0.0,1000,228.375,0,0.0,10.0,5.0,0.0,363,105.375,0,0.0
4128768,1466.502835035324,18649,10.0,6.0,0.0,1000,210.7,0,0.025,10.0,5.25,0.0,444,137.775,0,0.0
4194304,1489.4503479003906,19071,10.0,5.25,0.0,1000,156.725,0,0.0,10.0,4.25,0.0,1000,177.425,0,0.025
4259840,1512.312457561493,19521,10.0,4.5,0.0,1000,153.35,0,0.025,10.0,6.0,0.0,1000,184.95,0,0.0
4325376,1535.5171670913696,19949,10.0,5.0,0.0,1000,147.3,0,0.0,10.0,5.0,0.0,1000,218.375,0,0.0
4390912,1558.53782081604,20381,10.0,4.5,0.0,1000,138.025,0,0.0,10.0,5.25,0.0,1000,184.25,0,0.0
4456448,1581.6899709701538,20766,10.0,3.25,0.0,1000,172.25,0,0.0,10.0,4.75,0.0,1000,188.45,0,0.0
4521984,1604.9281249046326,21178,10.0,5.25,0.0,1000,111.825,0,0.0,10.0,4.25,0.0,935,142.85,0,0.0
4587520,1627.696434020996,21554,10.0,5.0,0.0,931,143.4,0,0.0,10.0,5.5,0.0,1000,155.675,0,0.0
4653056,1650.6368594169617,21951,10.0,4.5,0.0,1000,191.0,0,0.0,10.0,5.75,0.0,696,178.475,0,0.0
4718592,1673.7209055423737,22337,10.0,5.75,0.0,1000,158.525,0,0.0,10.0,6.0,0.0,897,165.8,0,0.0
4784128,1696.6409413814545,22683,10.0,5.0,0.0,621,164.3,0,0.0,10.0,4.5,0.0,1000,190.825,0,0.0
4849664,1719.9006252288818,23043,10.0,6.0,0.0,1000,171.6,0,0.0,10.0,6.25,0.0,1000,199.85,0,0.0
4915200,1742.9008240699768,23427,10.0,4.75,0.0,1000,158.55,0,0.025,10.0,5.0,0.0,1000,201.825,0,0.0
4980736,1766.2532322406769,23775,10.0,4.75,0.0,1000,224.65,0,0.0,10.0,5.0,0.0,835,207.0,0,0.0
5046272,1789.257034778595,24191,10.0,6.25,0.0,979,167.15,0,0.0,10.0,5.0,0.0,1000,154.1,0,0.025
5111808,1812.448789358139,24567,10.0,5.0,0.0,734,124.425,0,0.0,10.0,4.5,0.0,1000,154.725,0,0.0
5177344,1835.6042380332947,24978,10.0,5.0,0.0,559,142.35,0,0.025,10.0,4.75,0.0,1000,175.0,0,0.025
5242880,1858.6873495578766,25372,10.0,5.75,0.0,879,172.25,0,0.0,10.0,6.0,0.0,1000,218.6,0,0.0
5308416,1881.6167147159576,25770,10.0,6.25,0.0,496,112.1,0,0.0,10.0,3.5,0.0,1000,146.825,0,0.0
5373952,1904.9658663272858,26160,10.0,5.25,0.0,1000,196.0,0,0.0,10.0,5.25,0.0,1000,188.2,0,0.075
5439488,1928.2045760154724,26475,10.0,4.25,0.0,653,151.725,0,0.0,10.0,4.25,0.0,1000,187.7,0,0.0
5505024,1951.479558467865,26784,10.0,6.25,0.0,963,228.025,0,0.0,10.0,4.0,0.0,1000,200.675,0,0.0
5570560,1974.4836077690125,27058,10.0,5.75,0.0,1000,199.75,0,0.0,10.0,5.0,0.0,631,135.3,0,0.0
5636096,1997.636654138565,27349,10.0,5.0,0.0,1000,208.5,0,0.0,10.0,4.0,0.0,1000,231.5,0,0.0
5701632,2020.8385593891144,27638,10.0,5.75,0.0,1000,147.475,0,0.0,10.0,4.0,0.0,1000,184.025,0,0.025
5767168,2044.295310974121,27902,10.0,5.0,0.0,1000,237.775,0,0.0,10.0,4.75,0.0,1000,240.075,0,0.0
5832704,2067.2551403045654,28193,10.0,6.25,0.0,1000,229.375,0,0.0,10.0,5.25,0.0,1000,228.2,0,0.0
5898240,2090.678067922592,28497,10.0,5.5,0.0,1000,238.55,0,0.025,10.0,5.75,0.0,1000,241.25,0,0.0
5963776,2113.73370552063,28819,10.0,4.25,0.0,1000,234.075,0,0.0,10.0,5.75,0.0,1000,225.35,0,0.0
6029312,2136.9627985954285,29124,10.0,4.75,0.0,1000,212.7,0,0.0,10.0,6.25,0.0,1000,210.65,0,0.0
6094848,2160.184248447418,29450,10.0,6.0,0.0,1000,148.55,0,0.0,10.0,4.0,0.0,448,138.275,0,0.0
6160384,2183.334899663925,29768,10.0,5.0,0.0,1000,248.025,0,0.0,10.0,4.5,0.0,1000,153.8,0,0.0
6225920,2206.6509664058685,30095,10.0,6.25,0.0,1000,160.1,0,0.0,10.0,4.0,0.0,1000,165.0,0,0.025
6291456,2230.038758993149,30448,10.0,6.75,0.0,1000,152.45,0,0.0,10.0,5.25,0.0,1000,211.05,0,0.0
6356992,2253.0332102775574,30800,10.0,5.75,0.0,972,163.8,0,0.0,10.0,5.75,0.0,1000,209.0,0,0.0
6422528,2276.317273378372,31161,10.0,5.5,0.0,1000,192.05,0,0.0,10.0,5.0,0.0,1000,207.95,0,0.025
6488064,2299.6287753582,31529,13.0,6.075,0.0,1000,235.7,0,0.0,10.0,4.5,0.0,882,152.875,0,0.0
6553600,2322.7559945583344,31871,10.0,4.75,0.0,1000,224.9,0,0.0,10.0,5.5,0.0,1000,212.525,0,0.0
6619136,2345.971542596817,32214,10.0,4.25,0.0,682,125.125,0,0.0,10.0,4.5,0.0,1000,234.45,0,0.0
6684672,2368.96994304657,32533,10.0,5.5,0.0,1000,200.675,0,0.025,10.0,5.25,0.0,1000,213.225,0,0.0
6750208,2392.139970064163,32865,10.0,5.25,0.0,1000,147.075,0,0.0,10.0,5.25,0.0,1000,171.7,0,0.025
6815744,2415.2057666778564,33131,10.0,3.25,0.0,1000,242.65,0,0.0,10.0,5.0,0.0,1000,311.775,0,0.025
6881280,2438.2666409015656,33457,10.0,3.25,0.0,1000,281.95,0,0.025,10.0,5.75,0.0,1000,165.725,0,0.025
6946816,2461.4486780166626,33779,10.0,5.5,0.0,1000,207.75,0,0.025,10.0,6.75,0.0,1000,194.675,0,0.0
7012352,2484.676844358444,34126,10.0,4.25,0.0,1000,206.475,0,0.0,10.0,6.75,0.0,1000,181.625,0,0.0
7077888,2508.01420378685,34432,10.0,5.25,0.0,1000,282.5,0,0.0,10.0,5.5,0.0,531,115.5,0,0.0
7143424,2531.5161657333374,34707,10.0,5.75,0.0,1000,175.5,0,0.0,10.0,5.0,0.0,1000,222.775,0,0.0
7208960,2554.516222715378,35021,10.0,5.25,0.0,1000,197.425,0,0.05,10.0,5.0,0.0,1000,195.075,0,0.0
7274496,2577.733789205551,35357,10.0,5.75,0.0,1000,227.25,0,0.025,10.0,5.0,0.0,1000,245.5,0,0.025
7340032,2600.7914929389954,35677,10.0,5.0,0.0,1000,278.675,0,0.0,10.0,6.0,0.0,1000,175.7,0,0.025
7405568,2624.0224714279175,35984,10.0,5.5,0.0,1000,169.275,0,0.0,10.0,5.25,0.0,813,209.35,0,0.0
7471104,2646.9873764514923,36257,10.0,6.25,0.0,1000,185.825,0,0.0,10.0,6.75,0.0,1000,190.825,0,0.0
7536640,2670.263580560684,36549,10.0,5.5,0.0,1000,190.375,0,0.0,10.0,5.5,0.0,1000,189.6,0,0.0
7602176,2693.4001944065094,36809,10.0,4.5,0.0,1000,324.075,0,0.0,10.0,4.5,0.0,1000,246.7,0,0.0
7667712,2716.784662246704,37059,10.0,5.75,0.0,1000,259.325,0,0.0,10.0,6.0,0.0,1000,296.325,0,0.0
7733248,2739.942154407501,37269,10.0,6.0,0.0,1000,290.125,0,0.0,10.0,5.75,0.0,1000,251.9,0,0.025
7798784,2762.910542488098,37504,10.0,4.75,0.0,1000,237.15,0,0.0,10.0,5.25,0.0,1000,406.85,0,0.0
7864320,2786.0502746105194,37720,10.0,4.75,0.0,1000,299.425,0,0.0,10.0,4.75,0.0,1000,346.925,0,0.025
7929856,2809.019189119339,37930,13.0,5.325,0.0,1000,244.775,0,0.0,10.0,5.0,0.0,1000,283.2,0,0.0
7995392,2831.879712343216,38178,10.0,5.75,0.0,1000,245.95,0,0.0,10.0,4.75,0.0,1000,349.675,0,0.0
8060928,2855.4463505744934,38447,10.0,5.5,0.0,1000,225.975,0,0.0,10.0,4.75,0.0,1000,279.2,0,0.0
8126464,2878.7300972938538,38702,10.0,5.25,0.0,1000,268.3,0,0.0,10.0,7.0,0.0,1000,156.425,0,0.025
8192000,2901.660468816757,38942,10.0,7.0,0.0,1000,288.025,0,0.0,10.0,4.75,0.0,1000,229.65,0,0.0
8257536,2924.937319755554,39207,10.0,5.75,0.0,1000,258.1,0,0.025,10.0,5.0,0.0,1000,231.9,0,0.0
8323072,2948.031821012497,39452,10.0,5.25,0.0,1000,161.675,0,0.0,10.0,6.0,0.0,1000,278.375,0,0.025
8388608,2971.072906255722,39683,10.0,4.75,0.0,1000,334.05,0,0.0,10.0,7.0,0.0,1000,215.875,0,0.0
8454144,2994.3848416805267,39928,10.0,5.75,0.0,1000,211.975,0,0.0,10.0,6.5,0.0,1000,286.0,0,0.0
8519680,3017.524026155472,40174,10.0,6.5,0.0,1000,317.025,0,0.0,10.0,4.0,0.0,1000,295.125,0,0.0
8585216,3040.459256887436,40393,10.0,5.5,0.0,1000,265.125,0,0.0,10.0,5.75,0.0,1000,285.025,0,0.0
8650752,3063.833057165146,40664,10.0,4.75,0.0,1000,344.275,0,0.025,10.0,6.75,0.0,1000,240.175,0,0.0
8716288,3086.6897208690643,40913,10.0,6.0,0.0,1000,263.275,0,0.025,10.0,5.5,0.0,1000,320.55,0,0.025
8781824,3109.944489002228,41133,10.0,5.5,0.0,1000,270.45,0,0.0,10.0,6.0,0.0,1000,238.875,0,0.0
8847360,3132.978851556778,41307,10.0,6.5,0.0,1000,288.15,0,0.025,10.0,6.0,0.0,1000,258.825,0,0.0
8912896,3155.9017491340637,41495,10.0,5.25,0.0,1000,330.975,0,0.0,10.0,5.25,0.0,1000,353.2,0,0.0
8978432,3179.0467200279236,41742,10.0,5.5,0.0,1000,312.05,0,0.0,10.0,6.0,0.0,1000,308.5,0,0.0
9043968,3201.878952741623,41967,10.0,5.25,0.0,1000,373.675,0,0.0,10.0,6.325,0.0,1000,330.825,0,0.025
9109504,3224.806267261505,42163,10.0,6.5,0.0,1000,280.675,0,0.0,10.0,4.5,0.0,1000,295.675,0,0.0
9175040,3247.810785293579,42347,10.0,5.5,0.0,1000,213.075,0,0.0,10.0,5.25,0.0,1000,365.7,0,0.025
9240576,3270.8685545921326,42546,10.0,5.5,0.0,1000,373.05,0,0.0,10.0,5.0,0.0,1000,323.45,0,0.0
9306112,3293.4542875289917,42772,10.0,5.25,0.0,1000,243.4,0,0.0,10.0,5.0,0.0,1000,262.5,0,0.0
9371648,3316.8239238262177,42978,10.0,5.075,0.0,1000,367.35,0,0.0,10.0,4.325,0.0,1000,381.75,0,0.0
9437184,3339.7739696502686,43153,10.0,4.75,0.0,1000,316.3,0,0.0,10.0,7.0,0.0,1000,275.55,0,0.0
9502720,3362.8013787269592,43364,10.0,5.075,0.0,1000,301.375,0,0.0,10.0,6.0,0.0,1000,269.125,0,0.0
9568256,3385.7814106941223,43578,10.0,5.5,0.0,1000,277.9,0,0.0,10.0,5.75,0.0,1000,172.025,0,0.0
9633792,3408.751229763031,43787,10.0,5.325,0.0,1000,291.25,0,0.0,10.0,6.0,0.0,1000,286.325,0,0.025
9699328,3431.648832798004,43995,10.0,4.5,0.0,1000,357.825,0,0.0,10.0,6.0,0.0,1000,251.8,0,0.0
9764864,3454.7780771255493,44193,10.0,4.75,0.0,1000,358.6,0,0.0,10.0,5.25,0.0,1000,263.675,0,0.025
9830400,3477.698558330536,44402,10.0,4.75,0.0,1000,366.85,0,0.025,10.0,4.5,0.0,1000,321.0,0,0.0
9895936,3501.1875183582306,44632,10.0,5.575,0.0,1000,368.9,0,0.0,10.0,6.75,0.0,1000,225.425,0,0.0
9961472,3523.6018970012665,44847,10.0,5.5,0.0,1000,338.675,0,0.0,10.0,5.0,0.0,1000,295.0,0,0.0
10027008,3546.924336194992,45042,10.0,5.5,0.0,1000,352.625,0,0.025,10.0,6.0,0.0,1000,294.5,0,0.025
10092544,3569.8223855495453,45238,10.0,3.0,0.0,1000,381.475,0,0.0,10.0,6.075,0.0,1000,298.375,0,0.0
10158080,3592.6879138946533,45451,10.0,3.825,0.0,1000,343.925,0,0.0,10.0,5.575,0.0,1000,392.4,0,0.025
10223616,3615.5682241916656,45681,10.0,5.0,0.0,1000,348.625,0,0.0,10.0,6.5,0.0,1000,381.35,0,0.0
10289152,3638.8637018203735,45877,10.0,5.575,0.0,1000,273.975,0,0.0,10.0,6.0,0.0,1000,383.275,0,0.0
