timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,38.50806927680969,140,10.0,1.0,0.0,246,78.1,0,0.0,10.0,0.75,0.0,199,75.975,0,0.025
131072,70.24106168746948,225,10.0,1.75,0.0,502,279.05,0,0.0,10.0,3.25,0.0,478,189.35,0,0.0
196608,101.30712914466858,334,10.0,1.5,0.0,724,343.2,0,0.0,10.0,3.25,0.0,730,408.975,0,0.0
262144,133.40937542915344,523,10.0,1.15,0.0,1000,655.15,0,0.0,10.0,0.75,0.0,1000,683.975,0,0.0
327680,164.86755299568176,668,10.0,1.325,0.0,1000,387.025,0,0.0,10.0,2.5,0.0,1000,381.4,0,0.0
393216,197.10008716583252,829,10.0,1.75,0.0,1000,289.775,0,0.0,10.0,1.75,0.0,1000,355.775,0,0.0
458752,228.38766932487488,1018,10.0,2.325,0.0,1000,400.5,0,0.0,10.0,1.75,0.0,1000,333.175,0,0.0
524288,260.00732040405273,1237,10.0,2.5,0.0,1000,405.575,0,0.0,10.0,1.075,0.0,1000,397.15,0,0.0
589824,291.38202571868896,1420,10.0,2.0,0.0,1000,301.425,0,0.0,10.0,2.75,0.0,1000,374.1,0,0.0
655360,322.6581561565399,1590,10.0,2.5,0.0,1000,326.85,0,0.0,10.0,2.5,0.0,1000,321.975,0,0.0
720896,354.2290835380554,1809,10.0,2.075,0.0,1000,380.9,0,0.0,10.0,2.5,0.0,1000,345.225,0,0.0
786432,385.89028239250183,1999,10.0,2.75,0.0,1000,422.9,0,0.0,10.0,2.0,0.0,1000,417.7,0,0.0
851968,417.1976933479309,2210,10.0,2.0,0.0,1000,237.35,0,0.0,10.0,1.5,0.0,1000,345.175,0,0.0
917504,449.3394875526428,2432,10.0,3.0,0.0,1000,317.55,0,0.0,10.0,3.0,0.0,1000,315.225,0,0.0
983040,481.1456136703491,2680,10.0,3.75,0.0,1000,305.525,0,0.0,10.0,2.25,0.0,1000,335.375,0,0.0
1048576,513.0103611946106,2889,10.0,2.5,0.0,1000,255.75,0,0.0,10.0,2.0,0.0,1000,231.925,0,0.0
1114112,544.7336769104004,3076,10.0,3.0,0.0,1000,252.45,0,0.0,10.0,2.325,0.0,1000,302.075,0,0.025
1179648,575.9993453025818,3287,10.0,3.75,0.0,1000,333.6,0,0.0,10.0,2.75,0.0,1000,250.15,0,0.0
1245184,607.3524508476257,3456,10.0,2.5,0.0,1000,264.725,0,0.0,10.0,1.325,0.0,1000,261.875,0,0.0
1310720,638.7662308216095,3646,10.0,3.0,0.0,1000,365.5,0,0.0,10.0,2.25,0.0,1000,342.175,0,0.0
1376256,670.0296874046326,3871,10.0,2.325,0.0,1000,316.05,0,0.025,10.0,2.75,0.0,1000,280.575,0,0.0
1441792,701.163313627243,4098,10.0,1.75,0.0,1000,299.8,0,0.0,10.0,1.5,0.0,1000,359.075,0,0.0
1507328,732.5878818035126,4309,10.0,2.0,0.0,1000,319.125,0,0.0,10.0,2.825,0.0,1000,421.825,0,0.0
1572864,763.913580417633,4489,10.0,3.5,0.0,1000,317.7,0,0.0,10.0,4.0,0.0,1000,295.2,0,0.0
1638400,795.0818214416504,4686,10.0,2.575,0.0,1000,304.5,0,0.0,10.0,3.5,0.0,1000,319.5,0,0.0
1703936,826.2162272930145,4876,10.0,3.0,0.0,1000,346.675,0,0.0,10.0,2.0,0.0,1000,238.675,0,0.0
1769472,857.8370430469513,5052,10.0,2.0,0.0,1000,314.55,0,0.0,10.0,2.575,0.0,1000,296.85,0,0.0
1835008,889.3542840480804,5225,10.0,2.25,0.0,1000,335.1,0,0.0,10.0,1.5,0.0,1000,327.925,0,0.0
1900544,920.4687895774841,5399,10.0,1.75,0.0,1000,408.15,0,0.0,10.0,2.0,0.0,1000,400.075,0,0.0
1966080,951.5745980739594,5582,10.0,1.75,0.0,1000,380.075,0,0.0,10.0,3.0,0.0,1000,299.325,0,0.0
2031616,982.9334652423859,5750,10.0,2.0,0.0,1000,444.65,0,0.0,10.0,3.25,0.0,1000,357.5,0,0.0
2097152,1014.6962282657623,5939,10.0,3.5,0.0,1000,389.825,0,0.025,10.0,2.0,0.0,1000,366.075,0,0.0
2162688,1046.0185916423798,6114,10.0,1.75,0.0,1000,442.2,0,0.0,10.0,2.5,0.0,1000,328.975,0,0.0
2228224,1077.8129742145538,6292,10.0,2.25,0.0,1000,500.75,0,0.0,10.0,1.75,0.0,1000,408.95,0,0.025
2293760,1109.3910439014435,6458,10.0,2.25,0.0,1000,308.45,0,0.0,10.0,2.0,0.0,1000,467.2,0,0.0
2359296,1140.936000585556,6661,10.0,1.75,0.0,1000,336.7,0,0.0,10.0,2.5,0.0,1000,329.85,0,0.0
2424832,1172.2808785438538,6851,10.0,2.25,0.0,1000,255.4,0,0.0,13.0,4.075,0.0,1000,305.3,0,0.0
2490368,1203.507955789566,7031,10.0,3.25,0.0,1000,379.425,0,0.0,10.0,2.5,0.0,1000,281.575,0,0.0
2555904,1234.721150636673,7238,10.0,3.075,0.0,1000,339.175,0,0.0,10.0,1.25,0.0,1000,343.025,0,0.0
2621440,1266.2219026088715,7400,10.0,2.5,0.0,1000,326.925,0,0.0,10.0,3.15,0.0,1000,323.45,0,0.0
2686976,1297.541622877121,7598,10.0,3.0,0.0,1000,237.275,0,0.0,10.0,3.5,0.0,1000,442.75,0,0.0
2752512,1328.9795107841492,7786,10.0,3.0,0.0,1000,335.275,0,0.025,10.0,3.0,0.0,1000,444.475,0,0.0
2818048,1360.2949471473694,7991,10.0,3.25,0.0,1000,387.95,0,0.025,10.0,3.0,0.0,1000,365.525,0,0.0
2883584,1391.6746473312378,8188,10.0,3.25,0.0,1000,358.875,0,0.025,10.0,3.825,0.0,1000,316.25,0,0.0
2949120,1423.5009181499481,8362,10.0,2.0,0.0,1000,406.45,0,0.0,10.0,3.25,0.0,1000,274.125,0,0.0
3014656,1455.5550994873047,8547,10.0,3.0,0.0,1000,311.45,0,0.0,10.0,1.575,0.0,1000,418.2,0,0.0
3080192,1487.2285559177399,8730,10.0,2.075,0.0,1000,363.1,0,0.0,10.0,2.0,0.0,1000,470.825,0,0.0
3145728,1519.5346550941467,8918,10.0,3.0,0.0,1000,348.65,0,0.0,10.0,2.25,0.0,1000,331.275,0,0.0
3211264,1551.0419421195984,9129,10.0,2.75,0.0,1000,297.65,0,0.0,10.0,1.75,0.0,1000,404.5,0,0.0
3276800,1582.8241760730743,9321,10.0,2.575,0.0,1000,324.75,0,0.0,10.0,1.5,0.0,1000,382.6,0,0.0
3342336,1614.127358198166,9488,10.0,3.25,0.0,1000,363.35,0,0.0,10.0,1.75,0.0,1000,374.075,0,0.025
3407872,1645.3258261680603,9676,10.0,2.25,0.0,1000,355.05,0,0.0,10.0,3.25,0.0,1000,230.2,0,0.0
3473408,1676.6094717979431,9902,10.0,1.75,0.0,1000,351.35,0,0.0,10.0,3.5,0.0,1000,289.175,0,0.025
3538944,1707.960616827011,10098,10.0,1.75,0.0,1000,381.6,0,0.0,10.0,2.0,0.0,1000,284.475,0,0.0
3604480,1739.1793398857117,10320,10.0,2.25,0.0,1000,308.15,0,0.0,10.0,3.25,0.0,1000,324.3,0,0.0
3670016,1770.5212502479553,10536,10.0,3.5,0.0,1000,244.1,0,0.0,10.0,1.5,0.0,1000,242.75,0,0.0
3735552,1801.926816701889,10780,10.0,2.5,0.0,1000,232.575,0,0.025,10.0,4.25,0.0,1000,327.15,0,0.0
3801088,1833.5771510601044,11007,10.0,1.0,0.0,1000,257.125,0,0.0,10.0,2.5,0.0,1000,280.375,0,0.0
3866624,1865.3543512821198,11198,10.0,3.0,0.0,1000,314.475,0,0.0,10.0,2.25,0.0,1000,309.55,0,0.0
3932160,1897.7120289802551,11447,10.0,2.825,0.0,1000,238.0,0,0.0,10.0,2.25,0.0,1000,309.975,0,0.0
3997696,1929.5491943359375,11660,10.0,1.75,0.0,1000,261.0,0,0.0,10.0,2.0,0.0,1000,309.875,0,0.025
4063232,1961.2859756946564,11901,10.0,3.25,0.0,1000,277.225,0,0.0,10.0,2.5,0.0,1000,354.95,0,0.0
