timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,45.574620723724365,88,12.0,3.65,0.0,251,100.875,0,0.0,12.0,4.775,0.0,247,105.7,0,0.025
131072,87.02010226249695,150,12.0,5.025,0.0,461,227.925,0,0.0,12.0,4.85,0.0,497,269.35,0,0.0
196608,127.56264185905457,190,12.0,3.225,0.0,733,362.15,0,0.0,12.0,5.15,0.0,693,383.7,0,0.0
262144,167.79001426696777,354,11.0,0.975,0.0,1000,933.175,0,0.0,12.0,1.15,0.0,1000,833.25,0,0.0
327680,208.5314929485321,458,12.0,2.325,0.0,1000,499.025,0,0.0,12.0,2.675,0.0,1000,435.525,0,0.0
393216,248.0338909626007,533,12.0,2.275,0.0,1000,533.325,0,0.0,12.0,3.85,0.0,1000,483.9,0,0.025
458752,287.324835062027,597,13.0,4.0,0.0,1000,571.7,0,0.0,12.0,4.025,0.0,1000,584.05,0,0.025
524288,326.2851793766022,745,12.0,2.425,0.0,1000,834.9,0,0.0,11.0,1.125,0.0,1000,758.1,0,0.025
589824,365.2030727863312,839,12.0,2.95,0.0,1000,433.325,0,0.0,11.0,0.825,0.0,1000,556.625,0,0.0
655360,403.3645930290222,945,11.0,2.325,0.0,1000,600.45,0,0.025,12.0,3.525,0.0,1000,442.65,0,0.0
720896,441.8913960456848,1031,12.0,4.025,0.0,1000,486.525,0,0.0,12.0,3.35,0.0,1000,556.55,0,0.0
786432,481.1012485027313,1169,12.0,2.575,0.0,1000,700.375,0,0.0,11.0,2.725,0.0,1000,622.625,0,0.0
851968,520.9608545303345,1269,12.0,1.975,0.0,1000,518.15,0,0.0,11.0,2.3,0.0,1000,640.45,0,0.0
917504,562.1431367397308,1383,12.0,2.5,0.0,1000,566.075,0,0.0,11.0,2.375,0.0,1000,575.925,0,0.025
