timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,43.924137115478516,142,11.0,0.575,0.0,238,85.175,0,0.0,11.0,1.375,0.0,235,90.625,0,0.0
131072,82.6539237499237,253,12.0,2.4,0.0,512,262.725,0,0.05,12.0,2.025,0.0,506,298.875,0,0.0
196608,121.66279339790344,373,11.0,3.25,0.0,715,305.825,0,0.0,11.0,1.75,0.0,651,212.1,0,0.0
262144,160.82924032211304,552,11.0,0.625,0.0,1000,538.225,0,0.025,12.0,2.175,0.0,1000,607.85,0,0.025
327680,198.8452444076538,710,12.0,1.25,0.0,1000,242.325,0,0.0,2.0,0.1,0.0,1000,256.975,0,0.0
393216,237.17607831954956,856,1.0,0.15,0.0,1000,391.3,0,0.0,12.0,1.925,0.0,1000,351.35,0,0.0
458752,274.2136027812958,990,11.0,1.225,0.0,1000,496.775,0,0.0,11.0,2.075,0.0,1000,438.2,0,0.0
524288,311.6724350452423,1153,12.0,1.325,0.0,1000,527.7,0,0.0,11.0,1.55,0.0,1000,456.025,0,0.0
589824,348.11496114730835,1296,11.0,1.8,0.0,1000,467.775,0,0.0,12.0,1.25,0.0,1000,446.675,0,0.0
655360,384.04803133010864,1425,12.0,1.775,0.0,1000,512.025,0,0.025,11.0,2.375,0.0,1000,496.45,0,0.025
720896,420.3027837276459,1580,12.0,1.95,0.0,1000,463.925,0,0.0,11.0,1.25,0.0,1000,404.9,0,0.0
786432,457.9322876930237,1719,11.0,1.325,0.0,1000,515.375,0,0.025,2.0,0.125,0.0,1000,438.225,0,0.0
851968,495.35079979896545,1871,12.0,1.05,0.0,1000,475.825,0,0.0,11.0,1.175,0.0,1000,475.5,0,0.0
917504,533.1274173259735,2035,12.0,1.475,0.0,1000,330.0,0,0.0,11.0,1.15,0.0,1000,377.95,0,0.0
983040,571.4167520999908,2207,11.0,1.8,0.0,1000,476.775,0,0.0,11.0,1.575,0.0,1000,345.325,0,0.0
1048576,610.1099193096161,2369,11.0,0.95,0.0,1000,272.625,0,0.0,11.0,1.6,0.0,1000,371.475,0,0.0
1114112,649.0916521549225,2531,11.0,1.25,0.0,1000,368.925,0,0.0,11.0,0.8,0.0,1000,295.75,0,0.0
1179648,688.7036995887756,2686,11.0,1.45,0.0,1000,396.3,0,0.0,11.0,0.65,0.0,1000,399.6,0,0.0
1245184,729.2623512744904,2851,11.0,2.1,0.0,1000,380.5,0,0.025,13.0,1.675,0.0,1000,367.975,0,0.0
1310720,770.0079414844513,3007,11.0,0.725,0.0,1000,462.55,0,0.0,12.0,1.025,0.0,1000,374.55,0,0.0
1376256,810.0870273113251,3186,12.0,1.225,0.0,1000,404.375,0,0.0,12.0,1.6,0.0,1000,486.075,0,0.0
1441792,849.7837266921997,3342,13.0,1.6,0.0,1000,472.9,0,0.0,11.0,0.45,0.0,1000,405.65,0,0.0
1507328,889.6118543148041,3510,12.0,2.625,0.0,1000,385.45,0,0.0,12.0,1.325,0.0,1000,353.8,0,0.0
1572864,928.5225446224213,3686,11.0,0.975,0.0,1000,364.175,0,0.0,12.0,2.85,0.0,1000,467.2,0,0.0
1638400,966.9534962177277,3847,13.0,1.075,0.0,1000,362.85,0,0.0,12.0,1.075,0.0,1000,344.625,0,0.0
1703936,1004.1765103340149,3999,12.0,0.775,0.0,1000,562.925,0,0.0,11.0,0.425,0.0,1000,396.475,0,0.0
1769472,1041.521224975586,4133,12.0,1.275,0.0,1000,349.725,0,0.0,11.0,1.05,0.0,1000,386.7,0,0.025
1835008,1077.883619070053,4281,12.0,2.375,0.0,1000,459.025,0,0.0,12.0,3.2,0.0,1000,456.45,0,0.0
1900544,1113.6348581314087,4462,12.0,1.775,0.0,1000,325.625,0,0.0,12.0,2.0,0.0,1000,345.725,0,0.0
1966080,1150.040403842926,4626,12.0,1.625,0.0,1000,495.25,0,0.0,11.0,1.05,0.0,1000,432.425,0,0.0
2031616,1186.7192039489746,4755,11.0,1.225,0.0,1000,507.975,0,0.0,12.0,1.3,0.0,1000,477.1,0,0.0
2097152,1223.6875717639923,4892,11.0,0.725,0.0,1000,308.9,0,0.0,11.0,1.75,0.0,1000,439.825,0,0.0
2162688,1260.8577065467834,5065,12.0,2.0,0.0,1000,419.0,0,0.0,11.0,1.15,0.0,1000,354.675,0,0.0
2228224,1298.6471257209778,5244,12.0,1.875,0.0,1000,396.475,0,0.025,11.0,1.025,0.0,1000,466.025,0,0.0
2293760,1337.4885137081146,5407,11.0,1.2,0.0,1000,478.75,0,0.0,11.0,1.675,0.0,1000,421.0,0,0.0
2359296,1376.7362701892853,5574,11.0,1.45,0.0,1000,412.15,0,0.0,11.0,1.175,0.0,1000,325.0,0,0.0
2424832,1416.3589918613434,5715,11.0,0.775,0.0,1000,465.025,0,0.0,11.0,1.325,0.0,1000,461.4,0,0.0
2490368,1456.114576101303,5870,12.0,1.35,0.0,1000,439.525,0,0.0,12.0,0.95,0.0,1000,335.325,0,0.0
2555904,1496.735915184021,6032,11.0,1.025,0.0,1000,385.45,0,0.0,11.0,0.65,0.0,1000,406.925,0,0.0
2621440,1537.7865688800812,6203,11.0,0.725,0.0,1000,303.15,0,0.0,12.0,2.875,0.0,1000,563.525,0,0.0
2686976,1578.42995595932,6393,11.0,1.625,0.0,1000,409.025,0,0.025,12.0,1.625,0.0,1000,493.375,0,0.0
2752512,1618.3812806606293,6531,11.0,2.0,0.0,1000,429.8,0,0.0,11.0,1.025,0.0,1000,482.575,0,0.0
2818048,1657.5002400875092,6680,2.0,0.175,0.0,1000,370.175,0,0.0,12.0,2.075,0.0,1000,315.05,0,0.0
2883584,1696.0867404937744,6847,12.0,1.55,0.0,1000,363.175,0,0.0,11.0,1.875,0.0,1000,382.95,0,0.0
2949120,1734.2245035171509,7025,11.0,1.2,0.0,1000,467.35,0,0.0,11.0,1.2,0.0,1000,407.75,0,0.0
3014656,1772.0833892822266,7197,11.0,1.3,0.0,1000,446.3,0,0.0,11.0,1.6,0.0,1000,344.25,0,0.0
3080192,1809.282642364502,7366,11.0,1.6,0.0,1000,426.55,0,0.0,12.0,1.25,0.0,1000,405.35,0,0.025
3145728,1845.5733571052551,7510,12.0,2.45,0.0,1000,484.475,0,0.025,11.0,1.8,0.0,1000,450.125,0,0.0
3211264,1881.21631193161,7677,12.0,1.825,0.0,1000,398.85,0,0.0,11.0,1.8,0.0,1000,360.125,0,0.0
3276800,1917.253291130066,7858,11.0,1.575,0.0,1000,426.975,0,0.0,11.0,1.275,0.0,1000,397.5,0,0.0
3342336,1953.9901113510132,8034,11.0,1.525,0.0,1000,446.925,0,0.0,11.0,1.275,0.0,1000,400.525,0,0.0
3407872,1990.9384610652924,8168,12.0,1.225,0.0,1000,439.95,0,0.0,13.0,2.625,0.0,1000,316.65,0,0.0
3473408,2028.8460178375244,8344,12.0,2.1,0.0,1000,416.1,0,0.0,11.0,1.8,0.0,1000,349.0,0,0.0
3538944,2066.8018882274628,8515,12.0,1.725,0.0,1000,312.8,0,0.0,12.0,0.75,0.0,1000,463.225,0,0.0
3604480,2105.5071020126343,8696,12.0,1.25,0.0,1000,316.975,0,0.0,11.0,1.0,0.0,1000,358.425,0,0.0
3670016,2144.6900379657745,8839,12.0,2.1,0.0,1000,330.025,0,0.0,12.0,1.075,0.0,1000,641.375,0,0.0
