timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,36.28624486923218,65,10.0,2.5,0.0,251,153.65,0,0.0,10.0,6.25,0.0,100,58.275,0,0.0
131072,69.69573664665222,166,10.0,3.75,0.0,499,323.45,0,0.025,10.0,6.5,0.0,402,136.675,0,0.0
196608,102.53176259994507,361,10.0,4.75,0.0,756,366.725,0,0.0,10.0,7.0,0.0,642,160.475,0,0.0
262144,136.9498472213745,672,10.0,4.75,0.0,1000,339.3,0,0.05,10.0,2.5,0.0,1000,606.1,0,0.0
327680,172.75799322128296,1130,10.0,4.5,0.0,797,220.35,0,0.0,10.0,4.5,0.0,1000,186.125,0,0.0
393216,207.4004590511322,1703,10.0,3.75,0.0,411,132.675,0,0.025,10.0,5.75,0.0,1000,195.4,0,0.0
458752,242.15450310707092,2348,10.0,5.25,0.0,194,105.9,0,0.0,10.0,5.25,0.0,1000,202.025,0,0.025
524288,278.4381363391876,3106,10.0,5.75,0.0,743,95.55,0,0.0,10.0,3.75,0.0,1000,546.85,0,0.0
589824,315.00813245773315,3926,10.0,5.0,0.0,231,90.6,0,0.0,10.0,5.25,0.0,1000,177.7,0,0.0
655360,349.75759267807007,4816,10.0,4.25,0.0,248,68.8,0,0.025,10.0,5.0,0.0,1000,230.125,0,0.0
720896,385.05811381340027,5732,10.0,4.5,0.0,194,68.4,0,0.0,10.0,4.75,0.0,1000,194.175,0,0.0
786432,420.54244232177734,6678,10.0,5.25,0.0,210,69.55,0,0.0,10.0,5.0,0.0,1000,293.25,0,0.0
851968,456.9955322742462,7675,10.0,5.5,0.0,232,70.625,0,0.0,10.0,6.75,0.0,1000,213.3,0,0.0
917504,492.55189776420593,8674,10.0,4.0,0.0,111,60.45,0,0.0,10.0,4.25,0.0,1000,250.725,0,0.0
983040,528.8749587535858,9662,10.0,6.5,0.0,217,65.95,0,0.0,10.0,4.25,0.0,1000,177.55,0,0.0
