timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,47.35727143287659,67,10.0,2.25,0.0,251,145.55,0,0.0,10.0,3.0,0.0,253,157.35,0,0.0
131072,87.87555408477783,165,10.0,4.25,0.0,509,322.05,0,0.0,10.0,4.5,0.0,503,305.875,0,0.0
196608,128.820148229599,330,10.0,4.25,0.0,752,399.025,0,0.0,10.0,4.5,0.0,765,487.0,0,0.0
262144,174.2553300857544,637,10.0,4.75,0.0,1000,299.575,0,0.0,10.0,3.75,0.0,1000,425.475,0,0.025
327680,215.9906575679779,1055,10.0,6.0,0.0,979,219.8,0,0.0,10.0,4.0,0.0,564,157.575,0,0.0
393216,279.3165111541748,1594,10.0,4.75,0.0,528,145.25,0,0.0,10.0,6.25,0.0,523,156.45,0,0.0
458752,342.3319320678711,2185,10.0,4.5,0.0,287,96.525,0,0.0,10.0,4.75,0.0,661,121.275,0,0.0
524288,405.54245924949646,2927,10.0,6.0,0.0,216,91.95,0,0.0,10.0,5.75,0.0,316,85.5,0,0.0
589824,466.640775680542,3573,10.0,4.5,0.0,322,106.95,0,0.0,10.0,4.75,0.0,249,88.55,0,0.0
655360,529.7638320922852,4263,10.0,5.25,0.0,296,96.975,0,0.0,10.0,4.75,0.0,200,83.25,0,0.0
720896,590.080292224884,5057,10.0,4.5,0.0,196,83.95,0,0.0,10.0,5.25,0.0,299,87.775,0,0.0
786432,648.959611415863,5854,10.0,5.75,0.0,279,78.025,0,0.0,10.0,4.5,0.0,226,79.925,0,0.0
851968,706.7815909385681,6743,10.0,5.5,0.0,238,78.7,0,0.0,10.0,4.25,0.0,240,86.775,0,0.0
917504,763.8726787567139,7697,10.0,4.5,0.0,179,63.2,0,0.0,10.0,5.5,0.0,150,65.175,0,0.0
983040,820.7024147510529,8644,10.0,5.25,0.0,191,71.375,0,0.0,10.0,5.25,0.0,139,59.975,0,0.0
1048576,876.851236820221,9663,10.0,3.75,0.0,231,73.6,0,0.0,10.0,4.5,0.0,214,65.025,0,0.025
1114112,933.506108045578,10679,10.0,6.0,0.0,163,61.7,0,0.0,10.0,5.0,0.0,193,62.25,0,0.0
1179648,989.6626286506653,11764,10.0,6.25,0.0,140,62.45,0,0.0,10.0,4.0,0.0,146,58.65,0,0.0
1245184,1046.1018748283386,12871,10.0,4.5,0.0,135,58.575,0,0.0,10.0,5.0,0.0,119,50.8,0,0.0
1310720,1102.6919739246368,13981,10.0,3.75,0.0,144,53.975,0,0.0,10.0,4.25,0.0,162,59.775,0,0.0
1376256,1159.38907289505,15105,10.0,5.25,0.0,154,62.25,0,0.0,10.0,6.25,0.0,148,57.25,0,0.0
1441792,1216.4335761070251,16239,10.0,3.75,0.0,159,55.0,0,0.025,10.0,6.0,0.0,185,61.025,0,0.0
1507328,1272.8998847007751,17401,10.0,6.25,0.0,149,51.65,0,0.0,10.0,5.75,0.0,157,57.6,0,0.0
