timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,41.24322748184204,146,10.0,7.0,0.0,250,133.175,0,0.0,10.0,8.5,0.0,75,27.475,0,0.05
131072,77.37783908843994,405,10.0,7.75,0.0,499,212.55,0,0.025,10.0,8.5,0.0,416,80.075,0,0.0
196608,114.18298316001892,789,10.0,7.5,0.0,688,179.575,0,0.0,10.0,6.25,0.0,548,110.425,0,0.0
262144,149.63424372673035,1352,10.0,8.25,0.0,1000,171.3,0,0.0,10.0,4.75,0.0,1000,548.15,0,0.0
327680,184.82621550559998,2013,10.0,5.75,0.0,462,102.575,0,0.025,10.0,7.5,0.0,1000,110.75,0,0.0
393216,220.10159707069397,2574,10.0,6.75,0.0,246,73.175,0,0.0,10.0,5.75,0.0,1000,203.6,0,0.0
458752,255.0321364402771,3129,10.0,7.25,0.0,1000,88.0,0,0.0,10.0,5.75,0.0,1000,298.9,0,0.0
524288,288.70394349098206,3596,10.0,7.75,0.0,234,67.8,0,0.0,10.0,4.25,0.0,1000,533.425,0,0.0
589824,322.11339139938354,4064,10.0,7.0,0.0,1000,113.35,0,0.025,10.0,6.5,0.0,1000,113.275,0,0.0
655360,355.2781467437744,4542,10.0,6.5,0.0,1000,155.45,0,0.0,10.0,6.5,0.0,1000,230.55,0,0.0
720896,388.811594247818,5171,10.0,7.0,0.0,1000,162.925,0,0.025,10.0,6.0,0.0,1000,219.1,0,0.0
786432,423.7854115962982,5828,10.0,8.25,0.0,917,71.575,0,0.0,10.0,2.5,0.0,1000,567.375,0,0.0
851968,460.781480550766,6531,10.0,7.0,0.0,576,93.1,0,0.0,10.0,5.25,0.0,1000,317.35,0,0.0
917504,496.26881170272827,7295,10.0,7.5,0.0,688,92.95,0,0.0,10.0,5.25,0.0,1000,332.175,0,0.0
983040,532.0410950183868,8003,10.0,6.75,0.0,304,66.825,0,0.0,10.0,6.0,0.0,1000,380.65,0,0.0
1048576,568.1509709358215,8701,10.0,7.0,0.0,364,77.175,0,0.0,10.0,5.0,0.0,1000,372.475,0,0.025
1114112,603.6563293933868,9448,10.0,7.75,0.0,733,99.575,0,0.0,10.0,6.0,0.0,1000,313.9,0,0.05
1179648,640.199376821518,10083,10.0,7.5,0.0,792,123.375,0,0.0,10.0,3.5,0.0,1000,532.925,0,0.0
1245184,677.6172087192535,10755,10.0,7.75,0.0,1000,141.9,0,0.0,10.0,5.5,0.0,1000,367.525,0,0.0
1310720,714.90553855896,11394,10.0,8.0,0.0,1000,113.95,0,0.0,10.0,5.0,0.0,1000,445.65,0,0.0
1376256,752.7488315105438,12128,10.0,7.75,0.0,799,76.175,0,0.0,10.0,7.5,0.0,1000,203.3,0,0.0
1441792,790.9471051692963,12916,10.0,7.5,0.0,729,91.725,0,0.0,10.0,5.0,0.0,1000,389.3,0,0.0
1507328,827.9375398159027,13734,10.0,7.0,0.0,1000,141.95,0,0.0,10.0,6.25,0.0,1000,277.275,0,0.0
1572864,865.4444992542267,14583,10.0,7.25,0.0,224,50.0,0,0.0,10.0,5.25,0.0,1000,254.675,0,0.05
1638400,903.0438792705536,15503,10.0,7.75,0.0,195,46.85,0,0.025,10.0,8.0,0.0,1000,76.325,0,0.0
1703936,939.6909737586975,16481,10.0,7.5,0.0,814,72.8,0,0.0,10.0,6.5,0.0,1000,234.35,0,0.0
1769472,975.7977776527405,17586,10.0,6.5,0.0,260,63.025,0,0.0,10.0,6.5,0.0,1000,234.525,0,0.0
1835008,1012.5003521442413,18830,10.0,7.25,0.0,1000,67.775,0,0.0,10.0,6.75,0.0,1000,196.35,0,0.0
1900544,1049.351832151413,20177,10.0,6.75,0.0,193,65.3,0,0.0,10.0,5.25,0.0,1000,316.35,0,0.0
1966080,1086.181048631668,21468,10.0,7.0,0.0,151,40.175,0,0.0,10.0,5.75,0.0,1000,299.5,0,0.0
2031616,1122.1871440410614,22823,10.0,6.25,0.0,155,60.9,0,0.0,10.0,7.0,0.0,1000,160.125,0,0.0
2097152,1158.028086900711,24180,10.0,6.75,0.0,390,65.175,0,0.0,10.0,6.25,0.0,1000,302.3,0,0.025
2162688,1192.7857365608215,25601,10.0,7.5,0.0,149,44.975,0,0.0,10.0,7.25,0.0,1000,208.3,0,0.0
2228224,1226.679660320282,27027,10.0,7.5,0.0,242,48.45,0,0.0,10.0,5.25,0.0,1000,405.2,0,0.0
2293760,1261.232791185379,28516,10.0,8.5,0.0,125,35.4,0,0.0,10.0,6.0,0.0,1000,273.85,0,0.0
2359296,1296.8947973251343,29983,10.0,7.5,0.0,129,36.775,0,0.0,10.0,5.75,0.0,1000,289.4,0,0.025
2424832,1333.4625489711761,31502,10.0,6.75,0.0,212,48.225,0,0.0,10.0,6.25,0.0,1000,298.925,0,0.0
2490368,1369.58207654953,33065,10.0,7.25,0.0,145,36.8,0,0.0,10.0,6.0,0.0,1000,209.325,0,0.0
2555904,1405.6026668548584,34579,10.0,6.5,0.0,231,51.7,0,0.0,10.0,6.0,0.0,1000,295.5,0,0.0
2621440,1440.158106803894,36161,10.0,8.0,0.0,167,40.45,0,0.0,10.0,7.75,0.0,1000,171.45,0,0.0
2686976,1476.1463809013367,37778,10.0,8.0,0.0,100,31.45,0,0.0,10.0,6.75,0.0,1000,166.45,0,0.0
2752512,1511.8030111789703,39368,10.0,6.0,0.0,121,48.15,0,0.0,10.0,7.0,0.0,1000,225.25,0,0.0
2818048,1546.366266965866,40886,10.0,7.25,0.0,128,41.5,0,0.025,10.0,6.0,0.0,1000,310.175,0,0.0
2883584,1581.0010645389557,42451,10.0,7.5,0.0,138,40.5,0,0.0,10.0,6.0,0.0,1000,385.6,0,0.0
2949120,1615.2961235046387,43970,10.0,7.0,0.0,1000,67.2,0,0.0,10.0,6.25,0.0,1000,115.525,0,0.0
3014656,1649.6937508583069,45419,10.0,6.75,0.0,130,40.65,0,0.0,10.0,5.25,0.0,1000,344.7,0,0.0
3080192,1685.1534781455994,46866,10.0,8.0,0.0,126,38.925,0,0.025,10.0,6.25,0.0,1000,275.975,0,0.0
3145728,1720.1515600681305,48358,10.0,7.25,0.0,178,44.15,0,0.0,10.0,5.5,0.0,1000,259.575,0,0.0
3211264,1756.3258063793182,49885,10.0,7.0,0.0,122,41.65,0,0.0,10.0,5.75,0.0,1000,338.05,0,0.025
3276800,1792.6261208057404,51367,10.0,8.0,0.0,212,33.775,0,0.0,10.0,6.0,0.0,1000,233.45,0,0.0
3342336,1827.5261948108673,52863,10.0,7.25,0.0,163,40.75,0,0.0,10.0,4.5,0.0,1000,346.775,0,0.0
3407872,1862.251522064209,54338,10.0,8.25,0.0,156,33.65,0,0.0,10.0,6.25,0.0,1000,237.9,0,0.0
3473408,1896.647910118103,55945,10.0,7.0,0.0,138,41.1,0,0.0,10.0,5.25,0.0,1000,410.725,0,0.0
3538944,1931.4092614650726,57607,10.0,8.0,0.0,130,50.7,0,0.0,10.0,6.75,0.0,1000,163.9,0,0.0
3604480,1966.091720342636,59149,10.0,7.25,0.0,215,44.05,0,0.0,10.0,6.0,0.0,1000,302.45,0,0.0
3670016,2001.1089971065521,60655,10.0,7.5,0.0,215,51.8,0,0.0,10.0,3.25,0.0,1000,630.6,0,0.0
3735552,2036.951320886612,62097,10.0,8.25,0.0,168,42.0,0,0.0,10.0,5.0,0.0,1000,375.325,0,0.0
3801088,2072.802603006363,63462,10.0,8.25,0.0,200,53.075,0,0.0,10.0,6.75,0.0,1000,171.2,0,0.0
3866624,2108.083607196808,64927,10.0,7.25,0.0,401,56.825,0,0.0,10.0,6.0,0.0,1000,271.675,0,0.0
3932160,2143.6155610084534,66433,10.0,8.25,0.0,211,52.025,0,0.0,10.0,5.0,0.0,1000,412.1,0,0.0
3997696,2179.0320558547974,67840,10.0,7.25,0.0,187,40.275,0,0.0,10.0,5.0,0.0,1000,363.975,0,0.0
4063232,2216.057279586792,69203,10.0,7.75,0.0,163,47.675,0,0.0,10.0,6.0,0.0,1000,255.725,0,0.0
