timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,48.81162667274475,146,10.0,8.25,0.0,254,134.525,0,0.0,10.0,8.5,0.0,245,126.75,0,0.0
131072,91.63365888595581,419,10.0,5.75,0.0,507,225.275,0,0.025,10.0,7.25,0.0,461,203.75,0,0.0
196608,131.26275444030762,824,10.0,7.0,0.0,732,212.625,0,0.0,10.0,7.25,0.0,605,190.825,0,0.0
262144,171.42244672775269,1364,10.0,6.0,0.0,1000,163.85,0,0.0,10.0,7.0,0.0,954,134.1,0,0.0
327680,210.8284523487091,1968,10.0,6.25,0.0,449,107.45,0,0.0,10.0,7.75,0.0,218,64.3,0,0.0
393216,251.10814547538757,2538,10.0,7.0,0.0,1000,98.25,0,0.0,10.0,6.75,0.0,189,63.575,0,0.0
458752,291.28915309906006,2965,10.0,7.25,0.0,1000,111.5,0,0.0,10.0,6.75,0.0,1000,88.575,0,0.0
524288,330.5586380958557,3440,10.0,7.25,0.0,1000,134.0,0,0.0,10.0,7.25,0.0,1000,72.575,0,0.0
589824,369.9529619216919,3895,10.0,4.25,0.0,1000,128.925,0,0.0,10.0,6.25,0.0,1000,151.0,0,0.0
655360,411.12126874923706,4419,10.0,6.5,0.0,1000,143.425,0,0.0,10.0,5.25,0.0,1000,137.225,0,0.0
720896,482.0652484893799,4967,10.0,6.5,0.0,1000,115.725,0,0.0,10.0,5.5,0.0,530,70.525,0,0.0
786432,554.658401966095,5555,10.0,6.75,0.0,1000,122.125,0,0.0,10.0,5.5,0.0,1000,85.45,0,0.0
851968,628.9122495651245,6215,10.0,6.25,0.0,1000,92.25,0,0.0,10.0,6.5,0.0,1000,77.075,0,0.0
917504,703.7932467460632,6959,10.0,7.25,0.0,1000,139.075,0,0.0,10.0,6.5,0.0,1000,76.55,0,0.0
983040,779.94859790802,7848,10.0,6.25,0.0,1000,80.65,0,0.0,10.0,6.5,0.0,1000,86.825,0,0.0
1048576,855.0350244045258,8817,10.0,6.75,0.0,821,71.575,0,0.0,10.0,6.5,0.0,541,86.3,0,0.0
1114112,929.9932773113251,9824,10.0,7.75,0.0,1000,111.825,0,0.025,10.0,7.5,0.0,891,81.6,0,0.0
1179648,1004.6449592113495,10891,10.0,7.25,0.0,922,89.325,0,0.0,10.0,8.25,0.0,383,49.825,0,0.0
1245184,1078.5062892436981,11844,10.0,6.5,0.0,200,62.35,0,0.025,10.0,6.75,0.0,365,70.675,0,0.0
1310720,1152.2183690071106,12684,10.0,7.25,0.0,1000,82.675,0,0.0,10.0,7.25,0.0,1000,82.3,0,0.0
1376256,1224.7717802524567,13500,10.0,6.75,0.0,676,89.8,0,0.0,10.0,6.25,0.0,376,74.325,0,0.0
1441792,1299.0436198711395,14154,10.0,7.75,0.0,103,34.85,0,0.0,10.0,7.25,0.0,367,63.3,0,0.0
