timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,39.78817844390869,984,4.0,0.55,0.0,133,41.175,0,0.0,4.0,0.65,0.0,198,54.2,0,0.0
131072,76.432368516922,1831,4.0,0.55,0.0,345,64.625,0,0.0,4.0,0.55,0.0,400,55.325,0,0.0
196608,113.30081081390381,2666,6.0,0.65,0.0,513,69.05,0,0.0,4.0,0.85,0.0,711,98.5,0,0.0
262144,150.63383316993713,3424,16.0,1.25,0.0,659,91.15,0,0.0,6.0,0.6,0.0,255,70.95,0,0.0
327680,188.0816740989685,4123,6.0,1.15,0.0,1000,145.9,0,0.0,4.0,0.95,0.0,324,58.575,0,0.0
393216,225.7214183807373,4705,8.0,1.4,0.0,706,98.975,0,0.0,4.0,0.8,0.0,291,70.225,0,0.0
458752,263.43931698799133,5300,6.0,1.35,0.0,1000,100.575,0,0.0,6.0,1.55,0.0,563,104.925,0,0.0
524288,301.290007352829,5857,8.0,1.75,0.0,995,166.6,0,0.0,8.0,1.55,0.0,1000,158.5,0,0.0
589824,339.1972014904022,6418,6.0,1.7,0.0,1000,131.375,0,0.0,18.0,2.45,0.0,549,131.05,0,0.0
655360,377.3721785545349,6940,12.0,1.75,0.0,1000,115.55,0,0.025,6.0,1.1,0.0,1000,111.575,0,0.025
720896,415.390189409256,7455,8.0,1.65,0.0,1000,133.925,0,0.0,16.0,2.0,0.0,1000,128.775,0,0.0
786432,453.66535234451294,8000,6.0,1.6,0.0,1000,169.9,0,0.0,6.0,1.55,0.0,1000,130.175,0,0.0
851968,492.08817982673645,8536,8.0,1.65,0.0,1000,147.625,0,0.0,10.0,2.0,0.0,1000,184.7,0,0.0
917504,530.2845981121063,9029,6.0,1.25,0.0,901,110.825,0,0.025,6.0,1.6,0.0,1000,144.55,0,0.0
983040,568.6686909198761,9468,6.0,1.3,0.0,393,99.2,0,0.0,6.0,1.5,0.0,1000,120.1,0,0.0
1048576,607.3420298099518,9914,18.0,2.1,0.0,767,156.6,0,0.0,8.0,1.95,0.0,1000,171.05,0,0.025
1114112,646.033008813858,10361,8.0,1.4,0.0,897,144.975,0,0.0,8.0,1.55,0.0,1000,177.0,0,0.025
1179648,684.9784369468689,10830,6.0,1.7,0.0,1000,95.3,0,0.0,8.0,2.0,0.0,1000,167.825,0,0.0
1245184,723.8518779277802,11304,20.0,1.85,0.0,333,94.575,0,0.025,6.0,2.05,0.0,1000,225.8,0,0.0
1310720,762.7090258598328,11761,6.0,1.6,0.0,1000,127.875,0,0.0,6.0,1.4,0.0,1000,168.375,0,0.0
1376256,801.7163510322571,12196,6.0,1.15,0.0,1000,148.625,0,0.0,6.0,1.7,0.0,1000,145.8,0,0.025
1441792,840.6432828903198,12693,6.0,1.05,0.0,464,78.875,0,0.0,6.0,1.15,0.0,1000,103.45,0,0.0
1507328,879.1369984149933,13129,8.0,1.45,0.0,1000,103.55,0,0.0,6.0,1.75,0.0,754,152.525,0,0.0
1572864,916.8997132778168,13557,6.0,1.4,0.0,466,111.95,0,0.0,6.0,1.35,0.0,1000,143.4,0,0.0
1638400,955.5149538516998,13997,6.0,2.0,0.0,873,141.85,0,0.025,8.0,1.8,0.0,1000,161.75,0,0.0
1703936,995.0814323425293,14415,8.0,1.85,0.0,1000,185.225,0,0.025,6.0,1.85,0.0,1000,182.9,0,0.0
1769472,1034.1283628940582,14810,8.0,1.9,0.0,645,114.725,0,0.0,20.0,2.55,0.0,1000,184.475,0,0.0
1835008,1072.4622457027435,15236,4.0,1.55,0.0,1000,154.65,0,0.0,10.0,1.5,0.0,1000,109.675,0,0.0
1900544,1110.6345043182373,15684,8.0,1.9,0.0,1000,197.25,0,0.0,6.0,1.75,0.0,1000,170.825,0,0.0
1966080,1148.489531993866,16116,6.0,1.7,0.0,1000,135.6,0,0.0,6.0,1.75,0.0,1000,165.1,0,0.0
2031616,1186.4626967906952,16505,8.0,1.6,0.0,1000,156.15,0,0.0,6.0,1.75,0.0,886,156.9,0,0.0
2097152,1223.8879470825195,16864,10.0,1.4,0.0,778,122.35,0,0.0,10.0,1.8,0.0,1000,198.7,0,0.0
2162688,1261.3530323505402,17263,6.0,1.65,0.0,1000,206.2,0,0.0,10.0,1.55,0.0,1000,197.775,0,0.0
