timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,42.42262601852417,760,6.0,0.55,0.0,217,66.825,0,0.0,4.0,0.55,0.0,161,66.25,0,0.025
131072,80.32009935379028,1484,4.0,0.5,0.0,268,70.175,0,0.0,6.0,0.45,0.0,407,70.225,0,0.0
196608,118.41590785980225,2072,6.0,0.9,0.0,241,72.925,0,0.0,6.0,0.5,0.0,645,103.2,0,0.0
262144,156.57199668884277,2659,4.0,0.65,0.0,1000,129.325,0,0.025,4.0,0.8,0.0,507,80.0,0,0.0
327680,194.9545271396637,3178,4.0,0.95,0.0,747,120.1,0,0.0,4.0,0.85,0.0,1000,124.425,0,0.0
393216,233.77570009231567,3683,4.0,1.05,0.0,822,117.575,0,0.025,4.0,0.6,0.0,635,118.575,0,0.0
458752,272.6874384880066,4140,4.0,0.85,0.0,761,115.05,0,0.0,4.0,0.9,0.0,1000,119.825,0,0.0
524288,312.2427740097046,4593,6.0,1.45,0.0,1000,148.9,0,0.025,6.0,1.25,0.0,492,128.525,0,0.025
589824,352.55779337882996,5091,6.0,1.3,0.0,1000,132.275,0,0.0,10.0,0.95,0.0,670,133.375,0,0.0
655360,392.12312269210815,5518,4.0,1.45,0.0,779,149.525,0,0.0,6.0,1.3,0.0,1000,129.45,0,0.0
720896,431.8170521259308,5915,6.0,1.6,0.0,1000,119.425,0,0.0,6.0,1.5,0.0,1000,134.175,0,0.0
786432,469.4700093269348,6322,4.0,1.35,0.0,1000,126.3,0,0.0,6.0,1.15,0.0,1000,145.975,0,0.025
851968,507.15106773376465,6736,8.0,1.85,0.0,1000,168.975,0,0.0,6.0,1.55,0.0,996,186.375,0,0.025
917504,543.6930663585663,7121,8.0,1.85,0.0,1000,168.225,0,0.0,4.0,1.35,0.0,1000,163.8,0,0.0
983040,579.1589951515198,7502,6.0,1.2,0.0,1000,198.1,0,0.025,10.0,1.6,0.0,1000,168.325,0,0.0
1048576,613.8684749603271,7874,6.0,1.3,0.0,708,135.85,0,0.0,6.0,1.55,0.0,1000,183.775,0,0.025
1114112,648.6360561847687,8286,6.0,1.45,0.0,1000,162.525,0,0.0,6.0,1.3,0.0,968,148.875,0,0.0
1179648,684.6197481155396,8709,8.0,1.8,0.0,1000,184.55,0,0.0,8.0,1.95,0.0,1000,257.675,0,0.0
1245184,720.7526304721832,9093,6.0,1.65,0.0,1000,132.1,0,0.0,6.0,1.2,0.0,1000,154.65,0,0.0
1310720,757.2530100345612,9439,8.0,1.9,0.0,1000,197.15,0,0.0,16.0,1.55,0.0,1000,152.45,0,0.0
1376256,794.4237608909607,9815,6.0,1.1,0.0,1000,178.6,0,0.0,4.0,1.05,0.0,935,152.475,0,0.0
1441792,832.3256208896637,10236,8.0,1.7,0.0,1000,202.6,0,0.0,10.0,2.1,0.0,1000,218.35,0,0.0
1507328,870.5709023475647,10620,6.0,1.0,0.0,872,125.9,0,0.0,6.0,1.3,0.0,1000,186.05,0,0.0
1572864,909.0093638896942,11036,4.0,0.85,0.0,999,141.5,0,0.0,6.0,1.75,0.0,1000,257.8,0,0.0
1638400,947.9477550983429,11380,10.0,1.65,0.0,1000,199.75,0,0.025,12.0,1.65,0.0,1000,186.175,0,0.025
1703936,987.1153354644775,11781,6.0,1.5,0.0,1000,152.575,0,0.0,8.0,1.6,0.0,1000,207.85,0,0.025
1769472,1026.1565597057343,12127,6.0,1.3,0.0,1000,166.275,0,0.025,6.0,1.65,0.0,1000,202.575,0,0.0
1835008,1065.8442792892456,12468,10.0,1.35,0.0,1000,146.975,0,0.0,6.0,0.9,0.0,1000,146.15,0,0.0
1900544,1105.6221153736115,12801,6.0,1.2,0.0,1000,156.425,0,0.0,10.0,1.6,0.0,1000,129.075,0,0.0
1966080,1144.7018435001373,13158,4.0,0.9,0.0,741,127.375,0,0.0,8.0,1.0,0.0,1000,158.575,0,0.0
2031616,1183.9772386550903,13484,6.0,1.6,0.0,1000,149.9,0,0.0,8.0,1.75,0.0,1000,205.725,0,0.0
2097152,1222.7571895122528,13813,6.0,1.7,0.0,1000,262.775,0,0.0,12.0,1.8,0.0,1000,189.2,0,0.0
2162688,1261.7657358646393,14103,16.0,2.3,0.0,1000,257.375,0,0.0,8.0,2.05,0.0,1000,219.15,0,0.0
2228224,1300.3006801605225,14420,8.0,1.95,0.0,1000,196.825,0,0.0,8.0,2.05,0.0,1000,285.15,0,0.0
2293760,1339.0396857261658,14756,8.0,1.45,0.0,1000,122.9,0,0.025,8.0,1.5,0.0,1000,193.625,0,0.0
2359296,1377.5335352420807,15067,8.0,1.6,0.0,1000,296.6,0,0.0,8.0,1.65,0.0,1000,173.325,0,0.0
2424832,1413.5477223396301,15401,8.0,1.65,0.0,952,126.55,0,0.0,20.0,2.45,0.0,1000,265.7,0,0.0
2490368,1450.4486491680145,15715,6.0,1.3,0.0,1000,232.5,0,0.0,4.0,0.95,0.0,1000,141.725,0,0.0
2555904,1487.2814803123474,16050,6.0,1.35,0.0,1000,203.775,0,0.0,6.0,1.9,0.0,1000,182.7,0,0.0
2621440,1523.705116033554,16380,10.0,1.6,0.0,1000,134.0,0,0.0,8.0,1.8,0.0,1000,188.425,0,0.0
2686976,1559.8043024539948,16759,6.0,1.35,0.0,1000,199.325,0,0.0,8.0,1.85,0.0,1000,211.475,0,0.0
