timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,28.996288776397705,674,3.0,-3.15,-12.0,166,82.675,0,0.0,1.0,-2.65,-10.0,166,81.125,0,0.0
131072,54.761674642562866,1459,4.0,-2.075,-16.0,188,81.25,0,0.0,3.0,-1.95,-11.0,180,81.925,0,0.0
196608,80.54090428352356,2242,3.0,-2.775,-12.0,173,83.1,0,0.0,3.0,-2.475,-13.0,231,89.075,0,0.025
262144,105.84953260421753,3026,2.0,-1.0,-10.0,195,75.225,0,0.025,2.0,-2.775,-14.0,173,82.05,0,0.0
327680,131.42140698432922,3798,3.0,-2.8,-16.0,167,89.725,0,0.0,3.0,-2.825,-12.0,216,85.2,0,0.0
393216,156.58847570419312,4570,4.0,-3.675,-12.0,166,89.225,0,0.0,3.0,-2.225,-16.0,216,81.675,0,0.0
458752,182.858966588974,5359,3.0,-1.85,-15.0,238,87.75,0,0.025,3.0,-2.5,-8.0,166,74.525,0,0.0
524288,208.2166450023651,6129,3.0,-1.925,-12.0,144,71.525,0,0.0,4.0,-1.2,-17.0,268,82.625,0,0.0
589824,233.4120855331421,6908,2.0,-3.125,-10.0,252,91.15,0,0.0,3.0,-2.15,-11.0,216,88.025,0,0.0
655360,258.56383895874023,7692,2.0,-1.35,-8.0,188,77.9,0,0.0,3.0,-1.8,-12.0,188,84.7,0,0.0
720896,283.67233633995056,8471,2.0,-2.55,-11.0,144,78.325,0,0.0,3.0,-2.275,-12.0,170,77.65,0,0.0
786432,308.79301023483276,9245,2.0,-2.9,-16.0,252,88.05,0,0.0,3.0,-3.225,-19.0,182,97.375,0,0.0
851968,333.72487592697144,10069,2.0,-1.025,-8.0,144,78.8,0,0.025,3.0,-1.275,-8.0,173,77.0,0,0.0
917504,358.62693452835083,10852,4.0,-1.55,-15.0,216,86.975,0,0.0,4.0,-1.65,-11.0,180,84.5,0,0.025
983040,383.6846601963043,11659,3.0,-0.55,-6.0,159,81.675,0,0.0,3.0,-0.85,-8.0,188,82.35,0,0.0
1048576,409.1694314479828,12452,3.0,-1.1,-8.0,166,78.15,0,0.0,4.0,-1.15,-12.0,159,76.875,0,0.0
1114112,434.14656233787537,13237,4.0,-0.2,-8.0,195,92.625,0,0.0,3.0,-0.025,-4.0,166,81.75,0,0.0
1179648,459.1735987663269,14054,5.0,-0.2,-7.0,238,80.6,0,0.025,3.0,-0.125,-11.0,245,87.1,0,0.0
1245184,484.4669473171234,14852,4.0,-0.3,-8.0,166,81.775,0,0.0,3.0,-0.25,-4.0,274,85.0,0,0.0
1310720,509.6600036621094,15630,4.0,0.4,-4.0,261,84.65,0,0.0,3.0,0.5,-4.0,189,84.525,0,0.025
1376256,534.4528331756592,16440,3.0,0.075,-4.0,159,79.475,0,0.0,5.0,0.875,-4.0,159,76.675,0,0.0
1441792,560.0756540298462,17237,4.0,0.625,-4.0,245,83.8,0,0.0,5.0,0.65,-8.0,209,87.45,0,0.0
1507328,585.3379628658295,18037,5.0,0.4,-8.0,130,77.05,0,0.0,4.0,0.7,-4.0,209,84.65,0,0.0
1572864,610.857036113739,18878,6.0,1.425,-2.0,252,83.5,0,0.025,3.0,-0.05,-7.0,180,84.025,0,0.0
1638400,635.708911895752,19675,4.0,1.1,-3.0,185,84.725,0,0.0,3.0,0.75,-4.0,188,80.85,0,0.0
1703936,660.9896993637085,20468,5.0,1.25,-3.0,180,86.725,0,0.0,3.0,1.0,-4.0,108,70.55,0,0.025
1769472,686.7211010456085,21261,5.0,1.025,-4.0,159,79.375,0,0.0,6.0,1.5,-3.0,209,82.6,0,0.0
1835008,712.6951682567596,22024,4.0,1.475,0.0,180,87.675,0,0.0,5.0,1.6,-3.0,238,87.0,0,0.0
1900544,737.7834441661835,22760,5.0,1.3,-4.0,245,83.6,0,0.0,5.0,1.6,-3.0,238,88.075,0,0.025
1966080,763.1012387275696,23475,7.0,1.575,-5.0,281,104.25,0,0.0,5.0,1.6,-7.0,223,88.925,0,0.0
2031616,788.5708029270172,24141,8.0,1.75,-3.0,259,103.025,0,0.0,6.0,1.55,-4.0,259,98.375,0,0.0
2097152,813.8157570362091,24785,7.0,2.125,-3.0,252,91.3,0,0.0,8.0,2.15,-3.0,317,108.175,0,0.0
2162688,839.633467912674,25437,8.0,2.65,-2.0,238,105.975,0,0.0,9.0,2.175,-4.0,281,103.0,0,0.0
2228224,864.6409120559692,26025,10.0,2.775,-2.0,339,113.7,0,0.0,9.0,1.525,-4.0,400,110.675,0,0.0
2293760,889.9382371902466,26566,17.0,2.7,-3.0,420,123.05,0,0.025,24.0,3.4,-3.0,420,141.025,0,0.0
2359296,914.8492476940155,27040,10.0,2.325,-2.0,295,112.25,0,0.0,27.0,3.3,-4.0,420,131.525,0,0.0
2424832,940.0412418842316,27504,35.0,6.425,-2.0,420,174.675,0,0.0,9.0,3.2,-4.0,324,128.625,0,0.0
2490368,965.3911020755768,27915,22.0,3.525,-3.0,420,142.225,0,0.0,29.0,3.725,-1.0,420,133.3,0,0.0
2555904,990.5975415706635,28304,28.0,5.725,-3.0,420,175.6,0,0.025,35.0,7.275,0.0,420,199.65,0,0.0
2621440,1015.8093628883362,28640,27.0,4.475,-5.0,420,170.975,0,0.0,29.0,6.25,-4.0,420,205.375,0,0.0
2686976,1040.9511969089508,28957,26.0,6.65,-1.0,420,210.25,0,0.0,30.0,5.975,-4.0,420,192.625,0,0.0
2752512,1066.110583782196,29247,35.0,8.375,-5.0,420,231.175,0,0.0,34.0,9.4,0.0,420,223.525,0,0.0
2818048,1091.3063433170319,29524,31.0,8.1,-2.0,420,245.775,0,0.05,33.0,11.2,0.0,420,255.875,0,0.0
2883584,1117.1744463443756,29796,36.0,8.8,0.0,420,208.65,0,0.025,34.0,10.15,0.0,420,245.9,0,0.0
2949120,1142.36035323143,30038,36.0,12.275,-4.0,420,264.65,0,0.0,33.0,8.8,-2.0,420,231.35,0,0.0
3014656,1167.5801091194153,30291,33.0,11.1,-3.0,420,262.225,0,0.0,35.0,10.825,-1.0,420,251.725,0,0.0
3080192,1193.3275797367096,30511,32.0,10.95,-2.0,420,253.875,0,0.0,33.0,11.65,0.0,420,262.125,0,0.025
3145728,1218.2700610160828,30717,37.0,16.775,0.0,420,330.625,0,0.0,35.0,11.0,-2.0,420,267.975,0,0.0
3211264,1243.4875116348267,30949,31.0,11.025,0.0,420,262.45,0,0.0,34.0,15.75,-1.0,420,318.45,0,0.0
3276800,1268.9070987701416,31166,36.0,15.75,0.0,420,330.475,0,0.0,36.0,13.825,-3.0,420,294.5,0,0.0
3342336,1294.3294367790222,31386,37.0,14.375,0.0,420,285.9,0,0.025,33.0,14.075,0.0,420,289.425,0,0.025
3407872,1319.27716588974,31623,34.0,18.0,0.0,420,332.15,0,0.0,35.0,13.7,-1.0,420,293.1,0,0.025
3473408,1344.5420682430267,31827,33.0,15.15,0.0,420,317.225,0,0.025,31.0,11.775,-2.0,420,277.275,0,0.0
3538944,1369.926923751831,32032,35.0,14.075,0.0,420,285.125,0,0.0,33.0,17.9,-1.0,420,322.7,0,0.0
3604480,1395.0948677062988,32234,32.0,16.55,-7.0,420,314.3,0,0.0,34.0,18.475,-7.0,420,332.975,0,0.025
3670016,1420.3874950408936,32443,33.0,18.075,0.0,420,339.625,0,0.0,36.0,16.65,0.0,420,328.45,0,0.0
3735552,1445.9823815822601,32635,34.0,16.65,-1.0,420,334.725,0,0.025,34.0,14.975,-2.0,420,312.1,0,0.0
3801088,1471.2005381584167,32825,35.0,20.025,-3.0,420,346.4,0,0.0,36.0,21.45,-1.0,420,372.85,0,0.0
3866624,1496.6235382556915,33015,34.0,18.225,0.0,420,332.475,0,0.0,33.0,19.25,0.0,420,353.3,0,0.0
3932160,1522.1760535240173,33217,36.0,18.75,0.0,420,323.1,0,0.0,35.0,19.25,0.0,420,386.525,0,0.025
3997696,1547.6538844108582,33406,34.0,17.575,-1.0,420,345.6,0,0.0,34.0,18.825,-6.0,420,358.825,0,0.0
4063232,1573.122402191162,33594,35.0,21.975,0.0,420,361.75,0,0.0,32.0,14.15,-2.0,420,309.375,0,0.0
4128768,1598.6618604660034,33779,33.0,19.125,0.0,420,381.85,0,0.0,34.0,17.775,-5.0,420,357.85,0,0.0
4194304,1623.8572399616241,33962,34.0,18.475,-3.0,420,345.75,0,0.0,33.0,19.175,-3.0,420,377.25,0,0.0
4259840,1649.0678656101227,34165,36.0,19.275,0.0,420,350.125,0,0.0,36.0,19.925,-3.0,420,352.9,0,0.0
4325376,1685.1251215934753,34340,30.0,14.3,-3.0,420,316.875,0,0.0,32.0,17.35,-2.0,420,320.575,0,0.0
4390912,1721.273277759552,34542,34.0,18.3,0.0,420,341.275,0,0.0,34.0,17.4,-2.0,420,337.65,0,0.0
4456448,1757.8095602989197,34725,33.0,18.4,-1.0,420,347.175,0,0.0,35.0,17.775,-3.0,420,350.05,0,0.0
4521984,1794.406845331192,34933,37.0,19.325,0.0,420,354.125,0,0.0,35.0,15.175,-4.0,420,321.975,0,0.025
4587520,1830.6386182308197,35119,37.0,18.175,0.0,420,341.725,0,0.0,35.0,15.675,-2.0,420,306.575,0,0.0
4653056,1866.419659614563,35309,33.0,17.4,-4.0,420,317.5,0,0.0,34.0,19.85,0.0,420,364.975,0,0.025
4718592,1902.0206463336945,35506,35.0,17.85,0.0,420,334.35,0,0.0,33.0,16.15,0.0,420,333.6,0,0.0
4784128,1938.7712833881378,35704,33.0,19.175,0.0,420,353.4,0,0.0,35.0,19.425,0.0,420,330.775,0,0.0
4849664,1975.7302551269531,35899,35.0,16.875,-8.0,420,327.4,0,0.0,36.0,18.325,-2.0,420,325.225,0,0.0
4915200,2013.5385856628418,36101,36.0,16.725,-3.0,420,330.75,0,0.0,33.0,19.35,0.0,420,343.625,0,0.0
4980736,2050.9431703090668,36293,33.0,15.875,0.0,420,342.3,0,0.0,34.0,18.075,-1.0,420,340.025,0,0.0
5046272,2088.693479537964,36493,35.0,18.2,-3.0,420,328.975,0,0.0,33.0,19.5,-3.0,420,354.625,0,0.025
5111808,2126.220003604889,36693,34.0,17.375,0.0,420,354.85,0,0.025,35.0,18.2,-1.0,420,365.025,0,0.025
5177344,2163.973370552063,36873,34.0,19.2,-3.0,420,356.55,0,0.0,35.0,18.0,-3.0,420,333.1,0,0.0
5242880,2201.864917755127,37083,36.0,17.85,-4.0,420,341.225,0,0.0,32.0,18.875,0.0,420,336.0,0,0.0
5308416,2239.5549297332764,37251,35.0,17.675,0.0,420,354.375,0,0.0,35.0,17.25,0.0,420,317.575,0,0.0
5373952,2278.191496372223,37448,34.0,23.25,0.0,420,380.7,0,0.0,35.0,20.15,-2.0,420,367.1,0,0.0
5439488,2316.6622738838196,37639,35.0,18.4,-3.0,420,340.9,0,0.025,34.0,17.525,0.0,420,333.8,0,0.0
5505024,2354.9932885169983,37832,34.0,18.475,-4.0,420,347.025,0,0.025,33.0,18.95,-2.0,420,352.9,0,0.0
5570560,2393.8927431106567,38008,34.0,20.875,0.0,420,360.425,0,0.0,33.0,19.675,0.0,420,369.225,0,0.0
5636096,2432.3476161956787,38194,31.0,16.575,-1.0,420,329.7,0,0.0,34.0,19.575,0.0,420,356.775,0,0.0
5701632,2471.221121072769,38377,35.0,19.375,0.0,420,356.225,0,0.0,33.0,19.35,-2.0,420,352.275,0,0.0
5767168,2510.1040086746216,38552,34.0,21.375,-2.0,420,361.375,0,0.0,37.0,17.775,-2.0,420,340.575,0,0.0
5832704,2549.1896164417267,38742,35.0,18.125,-3.0,420,345.975,0,0.0,34.0,17.95,0.0,420,345.7,0,0.0
5898240,2588.302073955536,38909,34.0,18.925,-3.0,420,364.2,0,0.025,35.0,20.875,0.0,420,364.275,0,0.0
5963776,2627.6327719688416,39106,37.0,19.55,0.0,420,352.025,0,0.0,35.0,19.325,0.0,420,362.075,0,0.0
6029312,2665.713353872299,39284,34.0,17.275,-2.0,420,332.425,0,0.0,36.0,18.625,0.0,420,371.725,0,0.0
6094848,2704.843008041382,39482,34.0,18.75,0.0,420,342.4,0,0.025,36.0,21.3,0.0,420,353.375,0,0.0
6160384,2744.1509206295013,39656,37.0,19.0,-1.0,420,345.075,0,0.0,34.0,19.225,0.0,420,346.625,0,0.0
6225920,2782.9496212005615,39847,36.0,19.9,-2.0,420,355.825,0,0.0,35.0,20.575,0.0,420,368.8,0,0.0
6291456,2823.222839832306,40028,36.0,24.75,-1.0,420,385.375,0,0.0,34.0,20.0,-2.0,420,345.775,0,0.0
6356992,2862.0793607234955,40195,35.0,22.15,0.0,420,364.8,0,0.0,34.0,21.175,-3.0,420,365.725,0,0.0
6422528,2901.5582971572876,40375,36.0,22.5,0.0,420,379.8,0,0.025,34.0,17.775,-2.0,420,339.1,0,0.025
6488064,2940.990522146225,40550,34.0,20.225,-1.0,420,360.325,0,0.025,34.0,21.325,-4.0,420,390.15,0,0.025
6553600,2981.3706352710724,40730,35.0,22.6,0.0,420,388.775,0,0.025,38.0,23.525,0.0,420,373.425,0,0.0
6619136,3021.547410964966,40903,34.0,20.025,0.0,420,368.375,0,0.0,35.0,16.575,-4.0,420,326.4,0,0.0
6684672,3060.72989654541,41085,36.0,20.625,-1.0,420,378.625,0,0.0,37.0,20.525,-2.0,420,372.925,0,0.0
6750208,3100.419796228409,41257,38.0,22.45,-3.0,420,364.9,0,0.0,35.0,20.7,-3.0,420,362.8,0,0.0
6815744,3140.8090364933014,41439,34.0,21.25,-3.0,420,372.8,0,0.0,36.0,22.05,0.0,420,376.7,0,0.0
6881280,3180.933360338211,41609,36.0,21.95,0.0,420,367.3,0,0.0,35.0,20.525,0.0,420,355.8,0,0.0
6946816,3220.1410529613495,41779,35.0,20.25,-1.0,420,349.225,0,0.0,34.0,22.85,0.0,420,377.3,0,0.0
7012352,3260.5147953033447,41954,33.0,22.55,0.0,420,401.175,0,0.0,35.0,22.65,0.0,420,391.45,0,0.0
7077888,3300.102349281311,42135,35.0,22.825,0.0,420,391.7,0,0.0,36.0,21.025,-3.0,420,378.375,0,0.025
7143424,3340.012309551239,42300,35.0,19.85,-1.0,420,367.075,0,0.0,34.0,23.575,-2.0,420,377.525,0,0.0
7208960,3379.642553806305,42470,37.0,23.525,-2.0,420,387.85,0,0.0,36.0,22.125,0.0,420,378.625,0,0.0
7274496,3418.6014773845673,42640,35.0,23.05,0.0,420,383.125,0,0.025,35.0,24.475,-2.0,420,393.725,0,0.0
7340032,3458.684199810028,42814,36.0,22.45,0.0,420,360.95,0,0.0,34.0,20.025,-4.0,420,353.125,0,0.0
7405568,3498.7750680446625,42990,35.0,25.0,-2.0,420,389.75,0,0.0,36.0,23.95,0.0,420,394.775,0,0.0
7471104,3538.472239971161,43154,35.0,22.725,0.0,420,394.25,0,0.0,34.0,24.05,0.0,420,390.85,0,0.0
7536640,3578.5834290981293,43331,36.0,24.6,0.0,420,392.05,0,0.025,35.0,23.9,-7.0,420,398.825,0,0.0
7602176,3618.9605326652527,43499,37.0,25.0,0.0,420,391.025,0,0.0,37.0,24.0,0.0,420,374.85,0,0.0
