timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,43.62425708770752,1613,1.0,-0.5,-4.0,87,36.9,0,0.0,2.0,-0.95,-4.0,72,35.025,0,0.0
131072,82.33199119567871,3302,2.0,-0.85,-7.0,66,35.075,0,0.0,1.0,-1.075,-8.0,80,35.95,0,0.0
196608,120.94310259819031,4993,2.0,-0.075,-8.0,101,39.275,0,0.025,2.0,-0.575,-4.0,108,37.55,0,0.0
262144,158.65883827209473,6690,2.0,-0.2,-4.0,90,36.875,0,0.0,1.0,-1.05,-8.0,108,39.65,0,0.0
327680,196.57731986045837,8391,2.0,-1.125,-8.0,123,43.75,0,0.0,1.0,-0.95,-4.0,137,42.1,0,0.0
393216,234.76238560676575,10075,1.0,-0.525,-4.0,123,43.5,0,0.0,2.0,-0.3,-4.0,72,37.6,0,0.025
458752,272.689172744751,11761,1.0,-0.95,-11.0,116,41.625,0,0.0,1.0,-0.65,-7.0,87,37.05,0,0.0
524288,311.0679805278778,13452,2.0,-0.7,-4.0,80,35.25,0,0.0,1.0,-0.4,-7.0,124,40.675,0,0.0
589824,348.9750773906708,15156,2.0,-0.75,-8.0,123,35.025,0,0.0,1.0,-0.25,-4.0,101,36.9,0,0.0
655360,386.453515291214,16849,1.0,-0.45,-4.0,72,38.45,0,0.0,3.0,-0.3,-8.0,137,40.825,0,0.0
720896,425.0945608615875,18540,1.0,-0.85,-4.0,94,42.05,0,0.0,2.0,-0.55,-8.0,123,35.425,0,0.0
786432,463.01936745643616,20226,2.0,-0.375,-4.0,80,39.95,0,0.0,1.0,-0.575,-8.0,87,41.55,0,0.0
851968,501.23018884658813,21902,2.0,-0.6,-7.0,116,38.9,0,0.0,1.0,-1.125,-8.0,80,39.075,0,0.0
917504,539.5533602237701,23576,2.0,-0.475,-8.0,116,39.325,0,0.0,1.0,-0.825,-4.0,75,37.05,0,0.0
983040,578.4573290348053,25233,1.0,-0.95,-7.0,80,41.425,0,0.0,2.0,-0.6,-8.0,80,41.25,0,0.0
1048576,617.5104730129242,26920,1.0,-0.35,-4.0,101,39.775,0,0.025,1.0,-1.075,-8.0,101,37.2,0,0.0
1114112,655.921746969223,28602,1.0,-0.25,-4.0,123,41.2,0,0.0,2.0,-0.775,-8.0,123,41.95,0,0.025
1179648,695.7526922225952,30314,2.0,-0.825,-8.0,81,38.325,0,0.025,2.0,-0.725,-8.0,108,43.05,0,0.0
1245184,734.519145488739,31950,1.0,-1.3,-8.0,80,35.25,0,0.0,1.0,-0.775,-11.0,137,40.025,0,0.0
1310720,773.7547292709351,33612,1.0,-0.775,-8.0,130,44.45,0,0.0,1.0,-0.825,-8.0,116,37.425,0,0.025
1376256,812.7164692878723,35246,2.0,-0.5,-6.0,94,39.275,0,0.0,2.0,-0.675,-8.0,123,38.675,0,0.0
1441792,851.6888375282288,36934,2.0,-0.025,-4.0,80,42.05,0,0.0,1.0,-0.775,-7.0,87,39.45,0,0.0
1507328,891.1214156150818,38595,1.0,-0.5,-8.0,123,38.25,0,0.0,2.0,-0.5,-4.0,65,34.45,0,0.0
1572864,930.3358545303345,40245,2.0,-0.25,-4.0,87,36.6,0,0.0,1.0,-0.45,-8.0,123,40.325,0,0.0
1638400,969.5076878070831,41935,1.0,-0.35,-4.0,94,40.7,0,0.0,1.0,-0.125,-4.0,116,38.5,0,0.0
1703936,1009.3854055404663,43574,2.0,-0.4,-4.0,80,42.275,0,0.0,2.0,0.1,-4.0,123,43.5,0,0.0
1769472,1048.6041657924652,45237,3.0,-0.6,-11.0,95,37.4,0,0.0,2.0,-0.475,-8.0,87,37.75,0,0.0
1835008,1087.4977722167969,46928,1.0,0.125,0.0,124,39.825,0,0.0,1.0,-0.45,-8.0,80,38.325,0,0.0
1900544,1127.399610042572,48587,2.0,-0.25,-4.0,137,43.875,0,0.0,2.0,-0.325,-4.0,94,40.325,0,0.05
1966080,1166.7172820568085,50285,1.0,-0.15,-4.0,72,37.55,0,0.0,1.0,-0.2,-4.0,87,39.825,0,0.0
2031616,1206.5230813026428,51969,1.0,-0.075,-4.0,51,33.025,0,0.0,2.0,-0.2,-4.0,101,38.5,0,0.0
2097152,1246.5086870193481,53658,1.0,0.05,-4.0,108,42.35,0,0.0,1.0,0.025,-4.0,144,39.275,0,0.0
2162688,1286.5330657958984,55295,1.0,-0.075,-4.0,80,36.3,0,0.0,1.0,0.025,-4.0,188,43.0,0,0.0
2228224,1326.8056991100311,56974,1.0,-0.175,-4.0,65,37.3,0,0.0,1.0,-0.05,-4.0,65,35.025,0,0.0
2293760,1366.3863382339478,58639,2.0,0.0,-4.0,108,40.8,0,0.0,1.0,-0.175,-4.0,80,37.625,0,0.0
2359296,1406.6748604774475,60291,3.0,-0.075,-4.0,116,35.625,0,0.0,3.0,-0.1,-8.0,123,40.575,0,0.0
2424832,1446.710345029831,61931,2.0,-0.25,-4.0,130,40.825,0,0.025,1.0,-0.075,-4.0,116,42.4,0,0.0
2490368,1486.7105662822723,63611,1.0,-0.05,-4.0,116,39.0,0,0.025,1.0,0.05,-4.0,72,39.775,0,0.0
2555904,1526.0012810230255,65300,2.0,0.175,0.0,180,45.575,0,0.0,1.0,0.0,-4.0,202,41.675,0,0.0
