timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,17.747066736221313,19,10.0,10.0,0.0,253,111.73684210526316,0,0.0,10.0,10.0,0.0,7,7.0,0,0.0
65536,31.20056700706482,31,10.0,10.0,0.0,485,195.61290322580646,0,0.0,10.0,10.0,0.0,278,181.0,0,0.0
98304,44.757542848587036,44,10.0,10.0,0.0,767,326.6,0,0.0,10.0,10.0,0.0,513,264.0,0,0.0
131072,58.27767515182495,145,10.0,0.75,0.0,1000,991.7,0,0.0,10.0,0.75,0.0,1000,944.45,0,0.0
163840,71.91216707229614,166,10.0,2.75,0.0,1000,799.15,0,0.025,10.0,1.25,0.0,1000,895.95,0,0.0
196608,85.35187458992004,191,10.0,4.75,0.0,1000,653.325,0,0.0,10.0,2.5,0.0,1000,814.35,0,0.0
229376,99.6463394165039,216,10.0,6.25,0.0,1000,659.75,0,0.0,10.0,2.75,0.0,1000,802.875,0,0.0
262144,113.55357718467712,294,10.0,1.0,0.0,1000,972.75,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
294912,127.77676916122437,328,10.0,4.25,0.0,1000,698.175,0,0.0,10.0,0.75,0.0,1000,928.875,0,0.0
327680,141.64148354530334,351,10.0,4.5,0.0,1000,683.725,0,0.0,10.0,0.75,0.0,1000,928.875,0,0.0
360448,156.86131072044373,385,10.0,5.25,0.0,1000,707.05,0,0.0,10.0,1.75,0.0,1000,890.25,0,0.0
393216,172.20112538337708,460,10.0,1.75,0.0,1000,886.625,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
425984,187.5940864086151,496,10.0,4.75,0.0,1000,675.875,0,0.0,10.0,0.5,0.0,1000,952.2,0,0.0
458752,202.99358415603638,521,10.0,6.5,0.0,1000,577.025,0,0.0,10.0,1.25,0.0,1000,902.425,0,0.0
491520,220.48596501350403,564,10.0,3.5,0.0,1000,747.125,0,0.0,10.0,1.5,0.0,1000,884.925,0,0.0
524288,237.66768097877502,625,10.0,2.0,0.0,1000,847.975,0,0.0,10.0,0.25,0.0,1000,975.175,0,0.0
557056,255.3608741760254,667,10.0,4.0,0.0,1000,697.45,0,0.0,10.0,0.75,0.0,1000,930.375,0,0.0
589824,272.3192322254181,702,10.0,5.0,0.0,1000,714.125,0,0.0,10.0,1.5,0.0,1000,891.425,0,0.0
622592,289.6720621585846,737,10.0,4.0,0.0,1000,767.6,0,0.0,10.0,2.25,0.0,1000,848.1,0,0.0
655360,307.47932863235474,790,10.0,2.75,0.0,1000,841.85,0,0.0,10.0,0.25,0.0,1000,975.05,0,0.0
688128,324.71702790260315,822,10.0,2.5,0.0,1000,839.95,0,0.0,10.0,0.75,0.0,1000,931.225,0,0.0
720896,342.2512128353119,856,10.0,1.75,0.0,1000,880.3,0,0.0,10.0,1.25,0.0,1000,891.525,0,0.0
753664,359.39246010780334,887,10.0,1.75,0.0,1000,906.65,0,0.0,10.0,1.0,0.0,1000,916.475,0,0.0
786432,377.3157682418823,943,10.0,3.0,0.0,1000,809.1,0,0.0,10.0,0.75,0.0,1000,947.625,0,0.0
819200,394.62649750709534,989,10.0,4.25,0.0,1000,705.475,0,0.0,10.0,2.0,0.0,1000,841.175,0,0.0
851968,413.4236876964569,1027,10.0,3.25,0.0,1000,832.925,0,0.0,10.0,2.0,0.0,1000,842.675,0,0.0
884736,432.121866941452,1060,10.0,3.25,0.0,1000,817.425,0,0.025,10.0,2.5,0.0,1000,825.8,0,0.0
917504,449.9709355831146,1107,10.0,3.75,0.0,1000,791.275,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
950272,468.19552969932556,1142,10.0,2.25,0.0,1000,871.95,0,0.0,10.0,0.75,0.0,1000,936.825,0,0.0
983040,486.21992206573486,1189,10.0,3.5,0.0,1000,774.95,0,0.0,10.0,2.5,0.0,1000,813.15,0,0.0
1015808,504.532199382782,1217,10.0,2.5,0.0,1000,903.2,0,0.0,10.0,4.0,0.0,1000,754.375,0,0.0
1048576,522.2324602603912,1272,10.0,3.75,0.0,1000,804.475,0,0.0,10.0,0.5,0.0,1000,973.725,0,0.0
1081344,540.1532602310181,1311,10.0,4.0,0.0,1000,741.5,0,0.0,10.0,0.75,0.0,1000,934.725,0,0.0
1114112,558.463859796524,1356,10.0,4.5,0.0,1000,740.2,0,0.0,10.0,1.25,0.0,1000,907.275,0,0.0
1146880,576.7511849403381,1390,10.0,3.5,0.0,1000,765.325,0,0.0,10.0,1.0,0.0,1000,942.825,0,0.0
1179648,594.54847407341,1434,10.0,2.5,0.0,1000,879.725,0,0.0,10.0,0.5,0.0,1000,960.025,0,0.0
1212416,612.7810170650482,1470,10.0,2.5,0.0,1000,815.275,0,0.0,10.0,0.75,0.0,1000,946.1,0,0.0
1245184,630.1579937934875,1517,10.0,3.25,0.0,1000,798.425,0,0.0,10.0,1.5,0.0,1000,892.55,0,0.0
1277952,648.9048449993134,1557,10.0,4.0,0.0,1000,773.125,0,0.0,10.0,2.25,0.0,1000,867.475,0,0.0
1310720,666.4577717781067,1598,10.0,2.25,0.0,1000,847.25,0,0.0,10.0,1.0,0.0,1000,916.675,0,0.0
1343488,685.1910977363586,1637,10.0,3.75,0.0,1000,728.8,0,0.0,10.0,1.5,0.0,1000,890.1,0,0.0
1376256,702.4341762065887,1686,10.0,4.25,0.0,1000,736.875,0,0.05,10.0,0.75,0.0,1000,950.4,0,0.0
1409024,721.0731916427612,1733,10.0,3.75,0.0,1000,758.45,0,0.0,10.0,0.5,0.0,1000,957.7,0,0.025
1441792,739.1274688243866,1769,10.0,2.75,0.0,1000,830.8,0,0.0,10.0,0.5,0.0,1000,959.2,0,0.0
1474560,757.5538489818573,1804,10.0,2.25,0.0,1000,833.25,0,0.0,10.0,1.0,0.0,1000,933.975,0,0.0
1507328,775.208753824234,1845,10.0,3.0,0.0,1000,865.875,0,0.0,10.0,0.75,0.0,1000,952.65,0,0.0
1540096,793.6052765846252,1886,10.0,1.75,0.0,1000,872.275,0,0.0,10.0,0.25,0.0,1000,984.2,0,0.0
1572864,811.4197278022766,1921,10.0,2.75,0.0,1000,841.425,0,0.0,10.0,0.5,0.0,1000,951.05,0,0.0
1605632,830.0266590118408,1971,10.0,4.0,0.0,1000,719.775,0,0.0,10.0,0.75,0.0,1000,952.725,0,0.0
1638400,847.6551766395569,2012,10.0,3.5,0.0,1000,757.825,0,0.0,10.0,1.5,0.0,1000,922.75,0,0.0
1671168,866.2881531715393,2057,10.0,2.75,0.0,1000,819.825,0,0.0,10.0,0.5,0.0,1000,970.575,0,0.0
1703936,884.0910401344299,2090,10.0,3.75,0.0,1000,767.425,0,0.0,10.0,1.0,0.0,1000,939.75,0,0.0
1736704,902.6071310043335,2139,10.0,3.0,0.0,1000,811.7,0,0.0,10.0,0.75,0.0,1000,944.625,0,0.0
1769472,920.7082743644714,2179,10.0,4.25,0.0,1000,749.3,0,0.0,10.0,0.75,0.0,1000,933.75,0,0.0
1802240,938.8889579772949,2224,10.0,3.0,0.0,1000,788.35,0,0.025,0.0,0.0,0.0,1000,1000.0,0,0.0
1835008,956.9657621383667,2255,10.0,3.25,0.0,1000,806.95,0,0.025,10.0,0.25,0.0,1000,975.325,0,0.0
1867776,975.0478687286377,2304,10.0,3.5,0.0,1000,768.65,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
1900544,993.1544895172119,2342,10.0,2.0,0.0,1000,866.0,0,0.0,10.0,0.75,0.0,1000,940.75,0,0.0
1933312,1011.0364110469818,2386,10.0,3.0,0.0,1000,807.925,0,0.0,10.0,0.5,0.0,1000,962.375,0,0.0
1966080,1029.379608631134,2417,10.0,2.5,0.0,1000,857.425,0,0.0,10.0,1.25,0.0,1000,888.75,0,0.0
1998848,1047.3725020885468,2463,10.0,3.5,0.0,1000,792.675,0,0.0,10.0,1.0,0.0,1000,918.15,0,0.0
2031616,1065.2387068271637,2502,10.0,3.0,0.0,1000,759.6,0,0.0,10.0,1.0,0.0,1000,955.35,0,0.0
2064384,1083.1788165569305,2549,10.0,2.75,0.0,1000,851.875,0,0.0,10.0,0.25,0.0,1000,975.025,0,0.0
2097152,1100.9062521457672,2582,10.0,3.75,0.0,1000,779.275,0,0.025,10.0,0.75,0.0,1000,976.925,0,0.0
2129920,1119.2177336215973,2629,10.0,3.75,0.0,1000,755.125,0,0.0,10.0,0.75,0.0,1000,976.925,0,0.0
2162688,1137.2530870437622,2671,10.0,2.75,0.0,1000,814.95,0,0.025,10.0,0.5,0.0,1000,974.5,0,0.0
2195456,1155.3391199111938,2718,10.0,4.0,0.0,1000,734.3,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
2228224,1173.9250428676605,2756,10.0,4.25,0.0,1000,720.2,0,0.0,10.0,1.0,0.0,1000,922.0,0,0.0
2260992,1192.936148405075,2800,10.0,2.75,0.0,1000,811.225,0,0.0,10.0,0.75,0.0,1000,949.5,0,0.0
