timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,28.35611844062805,20,10.0,10.0,0.0,226,127.15,0,0.0,10.0,10.0,0.0,3,3.0,0,0.0
131072,54.53290629386902,33,10.0,10.0,0.0,505,223.78787878787878,0,0.0,10.0,10.0,0.0,259,173.0,0,0.0
196608,82.01728391647339,52,10.0,10.0,0.0,763,379.1,0,0.0,10.0,10.0,0.0,519,368.85714285714283,0,0.0
262144,110.9540102481842,275,10.0,0.5,0.0,1000,992.2,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
327680,142.88220739364624,304,10.0,4.0,0.0,1000,671.825,0,0.0,10.0,0.25,0.0,1000,975.725,0,0.0
393216,176.21315598487854,330,10.0,5.25,0.0,1000,651.55,0,0.0,10.0,0.5,0.0,1000,957.825,0,0.0
458752,209.64829182624817,354,10.0,5.0,0.0,1000,741.35,0,0.0,10.0,1.25,0.0,1000,923.5,0,0.0
524288,242.9463346004486,543,10.0,0.5,0.0,1000,971.325,0,0.0,10.0,0.25,0.0,1000,994.975,0,0.0
589824,276.5759072303772,579,10.0,2.0,0.0,1000,823.125,0,0.0,10.0,0.25,0.0,1000,994.975,0,0.0
655360,309.99882650375366,609,10.0,2.0,0.0,1000,883.55,0,0.025,10.0,0.25,0.0,1000,994.975,0,0.0
720896,345.16042709350586,642,10.0,2.75,0.0,1000,871.25,0,0.0,10.0,0.75,0.0,1000,973.675,0,0.0
786432,379.2400653362274,817,10.0,0.75,0.0,1000,952.65,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
851968,413.37718534469604,860,10.0,3.5,0.0,1000,775.525,0,0.0,10.0,0.25,0.0,1000,976.75,0,0.0
917504,447.42398285865784,904,10.0,3.75,0.0,1000,746.975,0,0.0,10.0,0.25,0.0,1000,976.75,0,0.0
983040,481.0739688873291,938,10.0,4.25,0.0,1000,785.7,0,0.0,10.0,1.25,0.0,1000,936.0,0,0.0
1048576,515.5019953250885,1099,10.0,0.5,0.0,1000,972.275,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
1114112,549.5660190582275,1143,10.0,3.0,0.0,1000,774.825,0,0.0,10.0,1.25,0.0,1000,887.425,0,0.0
1179648,583.7048451900482,1185,10.0,0.25,0.0,1000,979.05,0,0.0,10.0,2.0,0.0,1000,839.2,0,0.0
1245184,618.2945830821991,1226,10.0,3.25,0.0,1000,821.375,0,0.0,10.0,3.5,0.0,1000,766.45,0,0.0
1310720,652.844480752945,1385,10.0,0.75,0.0,1000,951.575,0,0.0,10.0,0.25,0.0,1000,975.3,0,0.0
1376256,686.7159142494202,1437,10.0,3.5,0.0,1000,754.85,0,0.0,10.0,0.25,0.0,1000,975.3,0,0.0
1441792,721.5537295341492,1485,10.0,3.0,0.0,1000,795.35,0,0.0,10.0,0.25,0.0,1000,984.575,0,0.0
1507328,755.4656555652618,1526,10.0,1.75,0.0,1000,914.2,0,0.025,10.0,0.5,0.0,1000,975.5,0,0.0
1572864,789.4770061969757,1676,10.0,1.25,0.0,1000,931.45,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
1638400,823.7967307567596,1735,10.0,2.25,0.0,1000,835.9,0,0.0,10.0,1.25,0.0,1000,887.575,0,0.0
1703936,857.6612021923065,1784,10.0,4.0,0.0,1000,782.525,0,0.0,10.0,1.75,0.0,1000,857.775,0,0.0
1769472,891.5746710300446,1835,10.0,2.75,0.0,1000,861.85,0,0.0,10.0,2.25,0.0,1000,840.825,0,0.0
1835008,925.2359290122986,1961,10.0,0.75,0.0,1000,956.625,0,0.0,10.0,0.25,0.0,1000,975.125,0,0.0
1900544,958.8958871364594,2020,10.0,2.25,0.0,1000,853.175,0,0.0,10.0,0.75,0.0,1000,938.25,0,0.0
1966080,992.5437035560608,2072,10.0,2.75,0.0,1000,831.725,0,0.0,10.0,1.5,0.0,1000,884.825,0,0.0
2031616,1026.1078717708588,2130,10.0,1.75,0.0,1000,912.4,0,0.0,10.0,2.25,0.0,1000,844.4,0,0.0
2097152,1060.2938792705536,2263,10.0,1.25,0.0,1000,892.025,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
2162688,1094.6225290298462,2324,10.0,4.0,0.0,1000,751.175,0,0.0,10.0,0.25,0.0,1000,979.85,0,0.0
2228224,1129.182392835617,2383,10.0,3.0,0.0,1000,798.5,0,0.0,10.0,1.5,0.0,1000,913.675,0,0.0
2293760,1162.927330493927,2446,10.0,2.75,0.0,1000,859.0,0,0.0,10.0,1.75,0.0,1000,919.45,0,0.0
2359296,1197.083490371704,2552,10.0,1.0,0.0,1000,915.9,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
2424832,1231.1280813217163,2620,10.0,2.25,0.0,1000,836.75,0,0.025,10.0,0.75,0.0,1000,951.625,0,0.0
2490368,1264.8823645114899,2687,10.0,1.75,0.0,1000,892.1,0,0.0,10.0,1.0,0.0,1000,950.8,0,0.0
2555904,1298.752756357193,2741,10.0,1.75,0.0,1000,913.0,0,0.0,10.0,0.75,0.0,1000,960.4,0,0.0
2621440,1332.9087867736816,2849,10.0,1.5,0.0,1000,902.6,0,0.025,10.0,0.75,0.0,1000,925.325,0,0.0
2686976,1367.1928479671478,2915,10.0,2.25,0.0,1000,844.675,0,0.0,10.0,0.25,0.0,1000,990.325,0,0.0
2752512,1401.216232061386,2987,10.0,2.25,0.0,1000,856.275,0,0.0,10.0,0.25,0.0,1000,990.325,0,0.0
2818048,1435.3780055046082,3071,10.0,1.25,0.0,1000,908.3,0,0.0,10.0,0.25,0.0,1000,993.85,0,0.0
2883584,1469.505776643753,3146,10.0,2.25,0.0,1000,850.05,0,0.0,10.0,0.5,0.0,1000,978.925,0,0.0
2949120,1503.918199300766,3212,10.0,2.25,0.0,1000,860.05,0,0.0,10.0,0.75,0.0,1000,969.05,0,0.0
3014656,1538.0571401119232,3281,10.0,1.5,0.0,1000,924.625,0,0.0,10.0,1.25,0.0,1000,949.6,0,0.0
3080192,1572.241238117218,3364,10.0,1.5,0.0,1000,928.8,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
3145728,1606.057198524475,3438,10.0,2.25,0.0,1000,837.0,0,0.0,10.0,1.5,0.0,1000,884.125,0,0.0
3211264,1640.2059359550476,3505,10.0,1.5,0.0,1000,891.575,0,0.0,10.0,1.5,0.0,1000,860.3,0,0.0
3276800,1674.4763748645782,3583,10.0,2.25,0.0,1000,862.125,0,0.0,10.0,0.75,0.0,1000,932.475,0,0.0
3342336,1708.5205268859863,3656,10.0,0.75,0.0,1000,945.35,0,0.025,0.0,0.0,0.0,1000,1000.0,0,0.0
3407872,1742.36798620224,3726,10.0,1.5,0.0,1000,886.0,0,0.0,10.0,1.0,0.0,1000,904.55,0,0.0
3473408,1776.4456596374512,3802,10.0,2.0,0.0,1000,865.65,0,0.0,10.0,2.0,0.0,1000,842.625,0,0.0
3538944,1810.8333251476288,3882,10.0,1.5,0.0,1000,900.2,0,0.0,10.0,1.0,0.0,1000,938.125,0,0.0
3604480,1845.1305220127106,3955,10.0,1.75,0.0,1000,868.05,0,0.025,10.0,0.5,0.0,1000,990.0,0,0.0
3670016,1880.0579562187195,4025,10.0,2.5,0.0,1000,792.275,0,0.0,10.0,1.0,0.0,1000,908.3,0,0.0
3735552,1914.8254263401031,4102,10.0,2.0,0.0,1000,911.775,0,0.0,10.0,0.75,0.0,1000,947.425,0,0.0
3801088,1948.7700610160828,4183,10.0,3.5,0.0,1000,798.025,0,0.0,10.0,1.0,0.0,1000,948.15,0,0.0
3866624,1982.824004650116,4265,10.0,2.5,0.0,1000,818.825,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
3932160,2018.5432455539703,4335,10.0,1.75,0.0,1000,866.475,0,0.025,10.0,0.25,0.0,1000,975.125,0,0.025
3997696,2054.397083759308,4403,10.0,1.75,0.0,1000,904.15,0,0.0,10.0,0.5,0.0,1000,968.975,0,0.0
4063232,2090.5554060935974,4487,10.0,1.75,0.0,1000,923.475,0,0.0,10.0,0.5,0.0,1000,973.55,0,0.0
4128768,2126.542426586151,4552,10.0,1.75,0.0,1000,900.1,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
4194304,2162.2737123966217,4621,10.0,1.25,0.0,1000,935.625,0,0.0,10.0,1.0,0.0,1000,920.975,0,0.0
4259840,2198.767059326172,4688,10.0,2.0,0.0,1000,868.525,0,0.0,10.0,1.0,0.0,1000,922.15,0,0.0
4325376,2234.7087585926056,4774,10.0,1.5,0.0,1000,909.625,0,0.0,10.0,0.75,0.0,1000,946.375,0,0.0
4390912,2270.7788469791412,4847,10.0,2.5,0.0,1000,805.375,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
4456448,2306.7098557949066,4913,10.0,1.0,0.0,1000,949.225,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
4521984,2343.6227612495422,4987,10.0,2.0,0.0,1000,895.825,0,0.0,10.0,0.5,0.0,1000,960.35,0,0.0
4587520,2379.292744874954,5067,10.0,2.0,0.0,1000,882.675,0,0.0,10.0,0.25,0.0,1000,975.125,0,0.0
4653056,2414.9574077129364,5137,10.0,1.5,0.0,1000,897.725,0,0.0,10.0,0.25,0.0,1000,998.125,0,0.0
4718592,2450.8007028102875,5204,10.0,1.5,0.0,1000,886.85,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
4784128,2487.1422667503357,5290,10.0,2.0,0.0,1000,854.55,0,0.0,10.0,0.75,0.0,1000,970.05,0,0.0
4849664,2523.440849304199,5356,10.0,0.5,0.0,1000,976.5,0,0.0,10.0,1.0,0.0,1000,962.375,0,0.0
4915200,2559.129724264145,5431,10.0,1.5,0.0,1000,908.1,0,0.0,10.0,0.5,0.0,1000,950.125,0,0.0
4980736,2595.108514547348,5498,10.0,1.5,0.0,1000,911.85,0,0.0,10.0,0.25,0.0,1000,975.075,0,0.025
5046272,2631.083745241165,5580,10.0,1.5,0.0,1000,897.325,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
5111808,2666.591391324997,5651,10.0,2.75,0.0,1000,760.8,0,0.0,10.0,0.5,0.0,1000,983.275,0,0.0
5177344,2702.275372505188,5723,10.0,1.25,0.0,1000,936.775,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
5242880,2738.488224029541,5802,10.0,2.75,0.0,1000,811.4,0,0.0,10.0,0.25,0.0,1000,999.275,0,0.0
5308416,2774.1572873592377,5876,10.0,0.5,0.0,1000,959.825,0,0.0,10.0,0.5,0.0,1000,974.375,0,0.0
5373952,2809.5842669010162,5943,10.0,1.5,0.0,1000,901.1,0,0.025,10.0,1.25,0.0,1000,915.4,0,0.0
5439488,2845.0662956237793,6021,10.0,1.5,0.0,1000,913.7,0,0.0,0.0,0.0,0.0,1000,1000.0,0,0.0
