timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,32.6899516582489,18,2.0,1.2222222,0.0,244,113.44444444444444,0,0.0,1.0,1.0,0.0,8,8.0,0,0.0
131072,63.381316900253296,34,4.0,1.5588236,0.0,511,257.0882352941176,0,0.0,1.0,1.0,0.0,268,138.0,0,0.0
196608,97.262521982193,48,4.0,1.75,0.0,762,391.475,0,0.0,1.0,1.0,0.0,268,138.0,0,0.0
262144,130.6057050228119,265,2.0,0.85,0.0,1000,998.9,0,0.0,2.0,0.175,0.0,1000,1000.0,0,0.0
327680,166.30174207687378,293,2.0,0.925,0.0,1000,701.8,0,0.0,2.0,0.25,0.0,1000,951.425,0,0.0
393216,201.38877129554749,322,3.0,1.3,0.0,1000,627.525,0,0.0,2.0,0.35,0.0,1000,898.05,0,0.0
458752,236.90894842147827,343,3.0,1.25,0.0,1000,710.625,0,0.0,2.0,0.35,0.0,1000,898.05,0,0.0
524288,272.5549762248993,540,3.0,1.05,0.0,1000,975.05,0,0.0,2.0,0.325,0.0,1000,989.75,0,0.0
589824,308.7756564617157,584,3.0,1.375,0.0,1000,590.3,0,0.0,2.0,0.325,0.0,1000,989.75,0,0.0
655360,344.1132216453552,625,3.0,1.3,0.0,1000,724.75,0,0.0,2.0,0.375,0.0,1000,955.275,0,0.0
720896,379.51737570762634,656,3.0,1.325,0.0,1000,806.55,0,0.0,2.0,0.45,0.0,1000,901.2,0,0.0
786432,414.89229106903076,818,3.0,1.125,0.0,1000,977.175,0,0.0,1.0,0.125,0.0,1000,1000.0,0,0.0
851968,450.7928194999695,870,3.0,1.325,0.0,1000,719.55,0,0.0,1.0,0.125,0.0,1000,1000.0,0,0.0
917504,486.1422128677368,928,4.0,1.45,0.0,1000,762.525,0,0.0,2.0,0.25,0.0,1000,966.9,0,0.0
983040,521.9105381965637,965,3.0,1.35,0.0,1000,805.275,0,0.0,2.0,0.325,0.0,1000,956.625,0,0.0
1048576,557.3969874382019,1109,3.0,1.025,0.0,1000,963.95,0,0.025,3.0,0.325,0.0,1000,996.125,0,0.0
1114112,593.0382580757141,1163,3.0,1.125,0.0,1000,797.45,0,0.0,3.0,0.275,0.0,1000,996.125,0,0.0
1179648,628.8741343021393,1221,3.0,1.25,0.0,1000,865.475,0,0.0,3.0,0.375,0.0,1000,980.05,0,0.0
1245184,664.2732539176941,1267,3.0,1.3,0.0,1000,828.5,0,0.025,2.0,0.275,0.0,1000,980.05,0,0.0
1310720,699.9754025936127,1395,3.0,1.175,0.0,1000,914.425,0,0.0,1.0,0.225,0.0,1000,1000.0,0,0.0
1376256,735.5385541915894,1468,3.0,1.2,0.0,1000,826.4,0,0.0,1.0,0.275,0.0,1000,1000.0,0,0.0
1441792,770.8669247627258,1523,4.0,1.25,0.0,1000,914.45,0,0.0,2.0,0.325,0.0,1000,984.65,0,0.0
1507328,806.0783801078796,1573,3.0,1.7,0.0,1000,793.925,0,0.0,2.0,0.4,0.0,1000,957.925,0,0.0
1572864,841.2721493244171,1680,3.0,1.3,0.0,1000,916.675,0,0.0,1.0,0.225,0.0,1000,1000.0,0,0.0
1638400,876.5061824321747,1760,3.0,1.05,0.0,1000,906.875,0,0.0,1.0,0.25,0.0,1000,978.725,0,0.0
1703936,911.6508340835571,1825,3.0,1.25,0.0,1000,789.825,0,0.0,2.0,0.425,0.0,1000,949.2,0,0.0
1769472,946.9862861633301,1883,4.0,1.625,0.0,1000,857.825,0,0.0,2.0,0.575,0.0,1000,940.775,0,0.0
1835008,982.3281316757202,1979,2.0,0.975,0.0,1000,948.425,0,0.0,2.0,0.3,0.0,1000,989.325,0,0.0
1900544,1017.9348402023315,2048,4.0,1.45,0.0,1000,871.95,0,0.0,2.0,0.325,0.0,1000,989.325,0,0.0
1966080,1054.1195321083069,2123,3.0,1.175,0.0,1000,865.025,0,0.0,2.0,0.45,0.0,1000,975.0,0,0.0
2031616,1090.0426473617554,2174,3.0,1.15,0.0,1000,904.0,0,0.0,2.0,0.55,0.0,1000,947.7,0,0.0
