timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,20.27659320831299,10,2.0,1.5,0.0,242,141.1,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
65536,38.72526025772095,27,2.0,1.5555556,0.0,511,274.81481481481484,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
98304,56.70204305648804,42,2.0,1.575,0.0,749,383.3,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
131072,74.96721768379211,142,3.0,1.2,0.0,1000,936.7,0,0.025,1.0,0.125,0.0,1000,975.075,0,0.0
163840,93.38698554039001,163,3.0,1.325,0.0,1000,653.625,0,0.0,1.0,0.125,0.0,1000,975.075,0,0.0
196608,111.56069993972778,190,3.0,1.25,0.0,1000,606.5,0,0.0,2.0,0.2,0.0,1000,939.4,0,0.0
229376,129.7763648033142,227,3.0,1.475,0.0,1000,637.275,0,0.0,2.0,0.275,0.0,1000,904.925,0,0.0
262144,148.08722448349,294,3.0,1.525,0.0,1000,917.825,0,0.0,1.0,0.25,0.0,1000,1000.0,0,0.0
294912,166.49540543556213,323,3.0,1.4,0.0,1000,695.95,0,0.0,1.0,0.3,0.0,1000,929.125,0,0.0
327680,184.49584293365479,351,3.0,1.35,0.0,1000,722.475,0,0.0,1.0,0.35,0.0,1000,912.0,0,0.0
360448,202.42550778388977,387,3.0,1.375,0.0,1000,808.65,0,0.0,2.0,0.4,0.0,1000,901.075,0,0.0
393216,220.83158779144287,446,3.0,1.0,0.0,1000,935.025,0,0.0,2.0,0.275,0.0,1000,1000.0,0,0.0
425984,239.0022292137146,477,3.0,1.15,0.0,1000,746.0,0,0.0,2.0,0.325,0.0,1000,953.975,0,0.0
458752,257.0979759693146,510,3.0,1.05,0.0,1000,822.575,0,0.0,2.0,0.35,0.0,1000,937.375,0,0.0
491520,274.99081444740295,548,3.0,1.075,0.0,1000,802.525,0,0.0,3.0,0.425,0.0,1000,927.25,0,0.0
524288,293.1744990348816,605,3.0,1.3,0.0,1000,864.675,0,0.0,2.0,0.425,0.0,1000,975.25,0,0.0
557056,311.27395510673523,640,3.0,1.25,0.0,1000,732.7,0,0.0,2.0,0.45,0.0,1000,952.725,0,0.0
589824,329.1650421619415,683,3.0,1.35,0.0,1000,689.525,0,0.0,2.0,0.475,0.0,1000,936.55,0,0.0
622592,347.02430534362793,731,4.0,1.225,0.0,1000,733.325,0,0.025,2.0,0.4,0.0,1000,936.55,0,0.0
655360,364.95172572135925,773,3.0,1.125,0.0,1000,811.7,0,0.0,3.0,0.375,0.0,1000,1000.0,0,0.0
688128,383.0346987247467,808,2.0,1.05,0.0,1000,820.0,0,0.0,3.0,0.35,0.0,1000,1000.0,0,0.0
720896,400.7990598678589,845,3.0,1.4,0.0,1000,784.85,0,0.0,3.0,0.425,0.0,1000,1000.0,0,0.0
753664,418.49805331230164,890,2.0,1.175,0.0,1000,857.375,0,0.0,3.0,0.4,0.0,1000,980.475,0,0.0
786432,436.4683725833893,940,3.0,1.25,0.0,1000,780.5,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
819200,454.30611848831177,972,3.0,1.275,0.0,1000,788.15,0,0.0,2.0,0.275,0.0,1000,990.15,0,0.0
851968,472.5776743888855,1011,3.0,1.4,0.0,1000,732.35,0,0.025,2.0,0.275,0.0,1000,990.15,0,0.0
884736,490.72561025619507,1062,3.0,1.35,0.0,1000,736.1,0,0.0,2.0,0.3,0.0,1000,990.15,0,0.0
917504,508.45603251457214,1104,3.0,1.25,0.0,1000,816.1,0,0.0,2.0,0.45,0.0,1000,950.6,0,0.0
950272,526.6380836963654,1141,3.0,1.2,0.0,1000,738.375,0,0.0,2.0,0.45,0.0,1000,954.575,0,0.0
983040,544.3264284133911,1182,3.0,1.325,0.0,1000,804.4,0,0.0,2.0,0.45,0.0,1000,940.3,0,0.0
1015808,562.6155502796173,1226,2.0,1.25,0.0,1000,788.475,0,0.0,2.0,0.525,0.0,1000,924.825,0,0.0
1048576,580.6966743469238,1268,3.0,1.125,0.0,1000,784.2,0,0.0,2.0,0.275,0.0,1000,1000.0,0,0.0
