timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,37.5284960269928,12,2.0,1.4166666,0.0,242,133.08333333333334,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
131072,71.37447357177734,20,2.0,1.45,0.0,385,198.2,0,0.0,1.0,1.0,0.0,259,259.0,0,0.0
196608,105.60518431663513,30,3.0,1.6333333,0.0,760,326.53333333333336,0,0.0,1.0,1.0,0.0,517,388.0,0,0.0
262144,139.93800950050354,263,3.0,1.175,0.0,1000,971.85,0,0.0,2.0,0.2,0.0,1000,1000.0,0,0.0
327680,174.81789994239807,291,3.0,1.125,0.0,1000,636.4,0,0.0,1.0,0.175,0.0,1000,975.9,0,0.0
393216,208.83680891990662,307,4.0,1.25,0.0,1000,556.8,0,0.0,1.0,0.2,0.0,1000,957.925,0,0.0
458752,245.61148309707642,329,4.0,1.45,0.0,1000,682.7,0,0.0,2.0,0.4,0.0,1000,900.75,0,0.0
524288,280.91978096961975,534,3.0,0.825,0.0,1000,1000.0,0,0.0,1.0,0.3,0.0,1000,1000.0,0,0.0
589824,316.52707147598267,573,3.0,1.15,0.0,1000,661.1,0,0.0,1.0,0.3,0.0,1000,1000.0,0,0.0
655360,352.0858750343323,602,3.0,1.35,0.0,1000,661.8,0,0.025,2.0,0.3,0.0,1000,982.675,0,0.0
720896,387.3991756439209,625,4.0,1.5,0.0,1000,747.9,0,0.025,2.0,0.3,0.0,1000,982.675,0,0.0
786432,422.91993021965027,811,2.0,0.925,0.0,1000,972.65,0,0.0,2.0,0.25,0.0,1000,975.075,0,0.0
851968,458.66763377189636,857,3.0,1.375,0.0,1000,707.75,0,0.0,2.0,0.25,0.0,1000,975.075,0,0.0
917504,494.26785111427307,897,3.0,1.675,0.0,1000,751.625,0,0.0,2.0,0.225,0.0,1000,958.4,0,0.0
983040,530.060421705246,931,3.0,1.475,0.0,1000,865.175,0,0.0,2.0,0.2,0.0,1000,958.4,0,0.0
1048576,565.6596345901489,1097,3.0,1.075,0.0,1000,962.625,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
1114112,601.2679431438446,1148,3.0,1.5,0.0,1000,750.45,0,0.0,2.0,0.3,0.0,1000,955.05,0,0.0
1179648,637.0110604763031,1186,3.0,1.35,0.0,1000,838.55,0,0.0,3.0,0.425,0.0,1000,922.9,0,0.0
1245184,672.607794046402,1242,3.0,1.625,0.0,1000,764.35,0,0.0,3.0,0.475,0.0,1000,903.55,0,0.0
1310720,708.324624300003,1387,3.0,1.15,0.0,1000,984.55,0,0.0,1.0,0.2,0.0,1000,1000.0,0,0.0
1376256,743.531943321228,1436,3.0,1.45,0.0,1000,808.5,0,0.0,1.0,0.15,0.0,1000,978.125,0,0.0
1441792,778.9539272785187,1480,3.0,1.275,0.0,1000,804.85,0,0.0,3.0,0.325,0.0,1000,978.125,0,0.0
1507328,814.2668943405151,1544,3.0,1.375,0.0,1000,899.075,0,0.0,3.0,0.35,0.0,1000,969.0,0,0.0
1572864,849.5656650066376,1678,4.0,1.275,0.0,1000,933.775,0,0.0,1.0,0.125,0.0,1000,1000.0,0,0.0
1638400,885.1565766334534,1735,3.0,1.225,0.0,1000,760.025,0,0.0,1.0,0.1,0.0,1000,1000.0,0,0.0
1703936,920.7726974487305,1784,3.0,1.425,0.0,1000,820.625,0,0.0,1.0,0.1,0.0,1000,985.125,0,0.0
1769472,956.3363065719604,1852,3.0,1.075,0.0,1000,874.15,0,0.0,1.0,0.2,0.0,1000,968.1,0,0.0
1835008,992.7056837081909,1980,4.0,1.325,0.0,1000,826.8,0,0.0,1.0,0.325,0.0,1000,1000.0,0,0.0
1900544,1028.612636089325,2038,3.0,1.225,0.0,1000,828.075,0,0.0,2.0,0.35,0.0,1000,940.775,0,0.0
1966080,1064.059041261673,2094,4.0,1.325,0.0,1000,869.125,0,0.0,2.0,0.45,0.0,1000,874.725,0,0.0
2031616,1099.3066477775574,2168,4.0,1.375,0.0,1000,860.05,0,0.025,2.0,0.525,0.0,1000,874.725,0,0.0
2097152,1134.6629095077515,2275,3.0,1.375,0.0,1000,830.275,0,0.0,2.0,0.35,0.0,1000,989.375,0,0.0
2162688,1169.2938821315765,2342,3.0,1.275,0.0,1000,861.425,0,0.025,2.0,0.35,0.0,1000,998.575,0,0.0
2228224,1204.0467340946198,2393,3.0,1.4,0.0,1000,910.175,0,0.0,1.0,0.35,0.0,1000,957.8,0,0.0
2293760,1238.2562725543976,2456,4.0,1.35,0.0,1000,984.55,0,0.0,1.0,0.325,0.0,1000,957.8,0,0.0
2359296,1272.893747806549,2557,3.0,1.1,0.0,1000,876.925,0,0.0,2.0,0.225,0.0,1000,1000.0,0,0.0
2424832,1307.619402885437,2630,4.0,1.25,0.0,1000,867.725,0,0.0,2.0,0.325,0.0,1000,961.225,0,0.0
2490368,1342.0820446014404,2697,3.0,1.125,0.0,1000,884.025,0,0.0,2.0,0.375,0.0,1000,961.225,0,0.0
2555904,1376.5063729286194,2761,4.0,1.475,0.0,1000,867.575,0,0.0,2.0,0.375,0.0,1000,961.225,0,0.0
2621440,1411.2392919063568,2863,3.0,1.175,0.0,1000,815.8,0,0.0,2.0,0.175,0.0,1000,975.3,0,0.0
2686976,1446.021436214447,2935,4.0,1.0,0.0,1000,825.475,0,0.0,2.0,0.225,0.0,1000,975.3,0,0.0
2752512,1480.8740355968475,3007,3.0,1.3,0.0,1000,841.125,0,0.0,2.0,0.275,0.0,1000,962.95,0,0.0
2818048,1516.0171918869019,3092,3.0,1.35,0.0,1000,842.15,0,0.0,2.0,0.2,0.0,1000,993.875,0,0.0
2883584,1550.80544424057,3169,4.0,1.2,0.0,1000,804.2,0,0.0,4.0,0.375,0.0,1000,951.025,0,0.0
2949120,1585.5876195430756,3249,4.0,1.225,0.0,1000,806.275,0,0.0,4.0,0.35,0.0,1000,951.025,0,0.0
3014656,1620.1142020225525,3326,5.0,1.3,0.0,1000,826.925,0,0.0,4.0,0.475,0.0,1000,940.15,0,0.0
3080192,1654.6971943378448,3396,4.0,1.075,0.0,1000,880.875,0,0.0,1.0,0.275,0.0,1000,994.575,0,0.0
3145728,1689.7844882011414,3472,3.0,1.25,0.0,1000,865.5,0,0.025,1.0,0.2,0.0,1000,994.575,0,0.0
3211264,1725.1546387672424,3541,3.0,1.375,0.0,1000,909.225,0,0.0,1.0,0.25,0.0,1000,1000.0,0,0.0
3276800,1760.9176080226898,3622,3.0,1.025,0.0,1000,888.475,0,0.0,2.0,0.325,0.0,1000,977.325,0,0.0
3342336,1796.0272583961487,3701,3.0,1.075,0.0,1000,837.85,0,0.0,2.0,0.275,0.0,1000,1000.0,0,0.0
3407872,1830.611764907837,3769,3.0,1.375,0.0,1000,845.775,0,0.0,2.0,0.325,0.0,1000,952.1,0,0.0
3473408,1865.4009499549866,3849,3.0,0.975,0.0,1000,829.65,0,0.0,2.0,0.375,0.0,1000,923.4,0,0.0
3538944,1902.2135207653046,3936,3.0,1.0,0.0,1000,890.225,0,0.0,2.0,0.275,0.0,1000,960.8,0,0.0
3604480,1938.954288482666,4005,4.0,1.225,0.0,1000,860.35,0,0.0,2.0,0.2,0.0,1000,995.675,0,0.0
3670016,1975.9726631641388,4071,3.0,1.3,0.0,1000,803.575,0,0.0,2.0,0.275,0.0,1000,972.7,0,0.0
3735552,2012.406411409378,4152,3.0,1.075,0.0,1000,961.325,0,0.0,2.0,0.25,0.0,1000,952.625,0,0.0
3801088,2049.3607034683228,4227,3.0,1.05,0.0,1000,853.925,0,0.0,2.0,0.325,0.0,1000,930.65,0,0.0
3866624,2086.4739763736725,4309,3.0,1.075,0.0,1000,836.85,0,0.0,2.0,0.25,0.0,1000,975.25,0,0.0
3932160,2123.697041749954,4392,3.0,1.225,0.0,1000,745.025,0,0.0,1.0,0.15,0.0,1000,975.25,0,0.0
3997696,2161.3446972370148,4475,3.0,1.125,0.0,1000,873.75,0,0.025,1.0,0.05,0.0,1000,1000.0,0,0.0
4063232,2197.5032250881195,4542,3.0,0.975,0.0,1000,803.0,0,0.0,1.0,0.175,0.0,1000,981.0,0,0.0
4128768,2234.393442630768,4622,5.0,1.25,0.0,1000,887.15,0,0.0,2.0,0.2,0.0,1000,1000.0,0,0.0
4194304,2271.008619070053,4696,2.0,0.85,0.0,1000,874.875,0,0.0,2.0,0.375,0.0,1000,965.675,0,0.0
4259840,2307.4815311431885,4773,2.0,0.925,0.0,1000,867.95,0,0.0,2.0,0.45,0.0,1000,895.125,0,0.0
4325376,2343.986662864685,4845,3.0,1.45,0.0,1000,749.175,0,0.025,2.0,0.325,0.0,1000,934.175,0,0.0
4390912,2380.8608005046844,4927,4.0,0.85,0.0,1000,839.0,0,0.0,2.0,0.1,0.0,1000,1000.0,0,0.0
4456448,2417.6053187847137,5001,3.0,1.275,0.0,1000,783.175,0,0.0,1.0,0.1,0.0,1000,983.275,0,0.0
4521984,2454.1981744766235,5086,3.0,1.25,0.0,1000,838.925,0,0.0,1.0,0.175,0.0,1000,983.275,0,0.0
4587520,2490.406975507736,5163,5.0,1.275,0.0,1000,948.35,0,0.0,1.0,0.2,0.0,1000,997.85,0,0.0
4653056,2526.7225663661957,5228,3.0,1.2,0.0,1000,843.875,0,0.0,1.0,0.15,0.0,1000,1000.0,0,0.0
4718592,2563.552610874176,5300,4.0,1.275,0.0,1000,870.1,0,0.025,2.0,0.225,0.0,1000,1000.0,0,0.0
4784128,2599.6375727653503,5386,4.0,0.95,0.0,1000,903.8,0,0.025,2.0,0.375,0.0,1000,967.5,0,0.0
4849664,2635.1122739315033,5463,3.0,0.975,0.0,1000,901.25,0,0.0,2.0,0.375,0.0,1000,955.425,0,0.0
4915200,2671.252533197403,5520,4.0,1.0,0.0,1000,924.75,0,0.0,2.0,0.125,0.0,1000,1000.0,0,0.0
4980736,2706.9599046707153,5581,3.0,1.0,0.0,1000,939.975,0,0.0,2.0,0.2,0.0,1000,951.725,0,0.0
5046272,2743.323895931244,5679,3.0,1.125,0.0,1000,846.275,0,0.025,2.0,0.125,0.0,1000,951.725,0,0.0
5111808,2780.021209001541,5759,4.0,1.4,0.0,1000,895.2,0,0.0,1.0,0.125,0.0,1000,992.875,0,0.0
5177344,2816.344856262207,5826,4.0,1.325,0.0,1000,773.975,0,0.0,2.0,0.275,0.0,1000,975.15,0,0.0
5242880,2853.7488131523132,5885,4.0,1.15,0.0,1000,924.8,0,0.0,2.0,0.3,0.0,1000,955.875,0,0.0
5308416,2889.6490025520325,5978,3.0,0.9,0.0,1000,947.85,0,0.0,2.0,0.275,0.0,1000,980.725,0,0.0
5373952,2925.696663379669,6049,3.0,1.0,0.0,1000,883.25,0,0.05,2.0,0.225,0.0,1000,993.575,0,0.025
5439488,2962.7501883506775,6124,4.0,1.2,0.0,1000,913.7,0,0.025,1.0,0.2,0.0,1000,1000.0,0,0.0
5505024,2999.359216928482,6190,4.0,1.3,0.0,1000,888.45,0,0.0,2.0,0.325,0.0,1000,919.625,0,0.0
5570560,3035.6256623268127,6281,4.0,0.95,0.0,1000,889.0,0,0.0,2.0,0.375,0.0,1000,944.65,0,0.0
5636096,3072.2653846740723,6349,3.0,0.9,0.0,1000,937.525,0,0.0,1.0,0.125,0.0,1000,1000.0,0,0.0
5701632,3108.687970638275,6419,3.0,1.175,0.0,1000,896.05,0,0.0,2.0,0.225,0.0,1000,951.05,0,0.0
5767168,3145.335468530655,6491,3.0,1.125,0.0,1000,792.625,0,0.0,2.0,0.225,0.0,1000,951.05,0,0.0
5832704,3182.0073137283325,6587,3.0,1.175,0.0,1000,756.55,0,0.0,4.0,0.4,0.0,1000,915.9,0,0.0
5898240,3218.898459672928,6674,2.0,1.15,0.0,1000,785.175,0,0.025,2.0,0.35,0.0,1000,1000.0,0,0.0
5963776,3255.910499572754,6740,3.0,1.325,0.0,1000,743.25,0,0.025,2.0,0.375,0.0,1000,940.575,0,0.0
6029312,3293.247006416321,6802,3.0,1.2,0.0,1000,884.125,0,0.025,2.0,0.275,0.0,1000,972.975,0,0.0
6094848,3330.299382686615,6891,3.0,1.125,0.0,1000,831.275,0,0.025,2.0,0.35,0.0,1000,960.95,0,0.0
6160384,3367.4913713932037,6968,4.0,1.25,0.0,1000,886.2,0,0.0,1.0,0.125,0.0,1000,1000.0,0,0.0
6225920,3403.6777908802032,7030,4.0,1.075,0.0,1000,903.325,0,0.0,1.0,0.175,0.0,1000,985.15,0,0.025
6291456,3440.134707212448,7102,3.0,1.075,0.0,1000,838.8,0,0.0,2.0,0.325,0.0,1000,928.175,0,0.0
6356992,3477.4040303230286,7190,4.0,1.2,0.0,1000,826.25,0,0.0,2.0,0.375,0.0,1000,957.425,0,0.0
6422528,3515.1590683460236,7271,4.0,1.2,0.0,1000,796.95,0,0.0,1.0,0.15,0.0,1000,1000.0,0,0.0
6488064,3552.7930018901825,7342,5.0,1.125,0.0,1000,783.325,0,0.0,2.0,0.275,0.0,1000,977.275,0,0.0
6553600,3589.7398874759674,7416,3.0,0.925,0.0,1000,880.45,0,0.0,2.0,0.3,0.0,1000,1000.0,0,0.0
6619136,3627.8554463386536,7494,4.0,1.2,0.0,1000,883.05,0,0.0,2.0,0.35,0.0,1000,1000.0,0,0.0
6684672,3665.6350984573364,7573,3.0,1.125,0.0,1000,847.15,0,0.0,2.0,0.425,0.0,1000,996.425,0,0.0
6750208,3702.861953496933,7647,5.0,1.125,0.0,1000,758.775,0,0.0,3.0,0.375,0.0,1000,1000.0,0,0.0
6815744,3740.524585723877,7724,4.0,1.2,0.0,1000,928.3,0,0.0,2.0,0.4,0.0,1000,978.65,0,0.0
6881280,3778.7986781597137,7811,4.0,1.325,0.0,1000,864.45,0,0.0,2.0,0.35,0.0,1000,957.075,0,0.0
6946816,3816.881118774414,7883,3.0,1.025,0.0,1000,871.775,0,0.025,2.0,0.15,0.0,1000,992.625,0,0.0
7012352,3854.737664461136,7956,4.0,1.225,0.0,1000,764.4,0,0.0,1.0,0.2,0.0,1000,959.925,0,0.0
7077888,3892.885033607483,8031,3.0,1.525,0.0,1000,908.3,0,0.0,1.0,0.15,0.0,1000,980.4,0,0.0
7143424,3930.797735929489,8111,4.0,1.125,0.0,1000,827.925,0,0.0,2.0,0.275,0.0,1000,925.575,0,0.0
7208960,3968.831401348114,8187,3.0,1.275,0.0,1000,845.375,0,0.025,1.0,0.1,0.0,1000,1000.0,0,0.0
7274496,4007.135599374771,8263,4.0,1.175,0.0,1000,896.925,0,0.0,2.0,0.2,0.0,1000,995.3,0,0.0
7340032,4045.1428723335266,8338,4.0,1.1,0.0,1000,886.775,0,0.0,2.0,0.35,0.0,1000,967.9,0,0.0
7405568,4083.328690290451,8414,3.0,0.875,0.0,1000,832.725,0,0.0,2.0,0.4,0.0,1000,970.0,0,0.0
7471104,4121.666412830353,8491,3.0,1.2,0.0,1000,876.475,0,0.0,2.0,0.3,0.0,1000,1000.0,0,0.0
7536640,4160.133708238602,8573,5.0,1.075,0.0,1000,848.375,0,0.0,1.0,0.225,0.0,1000,1000.0,0,0.0
7602176,4198.601489543915,8642,4.0,1.325,0.0,1000,849.725,0,0.0,2.0,0.25,0.0,1000,975.875,0,0.0
7667712,4236.638962268829,8730,3.0,1.225,0.0,1000,778.3,0,0.0,2.0,0.275,0.0,1000,942.55,0,0.0
7733248,4275.0373711586,8812,4.0,1.15,0.0,1000,840.425,0,0.025,2.0,0.25,0.0,1000,1000.0,0,0.0
7798784,4313.405113220215,8896,3.0,1.125,0.0,1000,781.125,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
7864320,4351.57773566246,8965,3.0,1.225,0.0,1000,857.525,0,0.0,2.0,0.25,0.0,1000,960.4,0,0.0
7929856,4389.475522994995,9051,3.0,1.225,0.0,1000,865.15,0,0.025,3.0,0.25,0.0,1000,952.15,0,0.0
7995392,4427.67670416832,9121,4.0,1.225,0.0,1000,917.225,0,0.0,2.0,0.475,0.0,1000,1000.0,0,0.0
8060928,4465.391396045685,9195,4.0,1.2,0.0,1000,809.975,0,0.025,2.0,0.25,0.0,1000,1000.0,0,0.0
8126464,4503.719280719757,9270,3.0,0.95,0.0,1000,913.975,0,0.0,1.0,0.2,0.0,1000,987.325,0,0.0
8192000,4542.4457194805145,9355,3.0,1.25,0.0,1000,832.1,0,0.025,1.0,0.225,0.0,1000,1000.0,0,0.875
8257536,4581.765503406525,9439,4.0,1.125,0.0,1000,820.375,0,0.0,2.0,0.15,0.0,1000,999.75,0,0.0
8323072,4620.116899251938,9518,4.0,1.15,0.0,1000,823.5,0,0.0,2.0,0.175,0.0,1000,1000.0,0,0.0
8388608,4658.963124513626,9586,4.0,1.25,0.0,1000,888.925,0,0.0,3.0,0.425,0.0,1000,975.15,0,0.0
8454144,4697.787185668945,9660,4.0,1.15,0.0,1000,877.225,0,0.0,1.0,0.15,0.0,1000,994.4,0,0.025
8519680,4735.7017912864685,9744,4.0,1.2,0.0,1000,877.95,0,0.0,2.0,0.2,0.0,1000,985.425,0,0.0
8585216,4773.282649755478,9820,4.0,1.45,0.0,1000,850.425,0,0.025,2.0,0.25,0.0,1000,982.2,0,0.0
8650752,4810.556139707565,9884,3.0,1.15,0.0,1000,873.3,0,0.0,2.0,0.375,0.0,1000,964.45,0,0.0
8716288,4847.829682588577,9969,3.0,1.2,0.0,1000,845.825,0,0.0,1.0,0.15,0.0,1000,988.35,0,0.0
8781824,4882.92223572731,10063,4.0,1.2,0.0,1000,789.875,0,0.0,3.0,0.275,0.0,1000,944.85,0,0.0
8847360,4918.806546926498,10136,3.0,1.1,0.0,1000,807.475,0,0.025,1.0,0.2,0.0,1000,1000.0,0,0.025
8912896,4954.647796630859,10202,4.0,1.225,0.0,1000,800.225,0,0.025,2.0,0.475,0.0,1000,987.05,0,0.0
8978432,4990.301126003265,10279,4.0,1.075,0.0,1000,903.825,0,0.0,2.0,0.25,0.0,1000,995.575,0,0.0
9043968,5025.837097644806,10376,3.0,1.175,0.0,1000,780.7,0,0.0,2.0,0.275,0.0,1000,946.9,0,0.0
9109504,5061.1379199028015,10447,4.0,1.15,0.0,1000,880.7,0,0.0,2.0,0.2,0.0,1000,983.375,0,0.0
9175040,5097.024713754654,10512,3.0,1.225,0.0,1000,824.375,0,0.0,3.0,0.325,0.0,1000,992.475,0,0.0
9240576,5132.059630155563,10593,3.0,1.35,0.0,1000,864.725,0,0.0,2.0,0.225,0.0,1000,991.975,0,0.0
9306112,5167.14235830307,10694,4.0,1.475,0.0,1000,844.75,0,0.025,2.0,0.125,0.0,1000,981.175,0,0.0
9371648,5202.901994228363,10763,4.0,1.225,0.0,1000,848.55,0,0.0,2.0,0.2,0.0,1000,1000.0,0,0.0
9437184,5237.863194227219,10841,3.0,1.1,0.0,1000,816.3,0,0.025,2.0,0.3,0.0,1000,985.375,0,0.0
9502720,5272.82412147522,10925,3.0,1.075,0.0,1000,868.825,0,0.0,2.0,0.225,0.0,1000,1000.0,0,0.0
9568256,5308.010806798935,11021,4.0,1.2,0.0,1000,813.6,0,0.0,2.0,0.15,0.0,1000,972.4,0,0.0
9633792,5343.70489358902,11086,4.0,1.325,0.0,1000,884.25,0,0.0,1.0,0.175,0.0,1000,1000.0,0,0.0
9699328,5378.885173082352,11161,3.0,1.2,0.0,1000,826.55,0,0.0,2.0,0.175,0.0,1000,975.25,0,0.0
9764864,5414.52538895607,11247,4.0,1.25,0.0,1000,794.8,0,0.05,2.0,0.15,0.0,1000,1000.0,0,0.0
9830400,5452.404336452484,11336,3.0,1.125,0.0,1000,812.7,0,0.0,2.0,0.175,0.0,1000,978.8,0,0.025
9895936,5489.570129394531,11407,3.0,1.6,0.0,1000,734.525,0,0.025,2.0,0.275,0.0,1000,985.35,0,0.0
9961472,5527.055728197098,11480,5.0,1.3,0.0,1000,832.4,0,0.0,2.0,0.2,0.0,1000,1000.0,0,0.0
10027008,5564.3098685741425,11566,4.0,1.3,0.0,1000,868.0,0,0.0,2.0,0.325,0.0,1000,1000.0,0,0.0
10092544,5601.211413860321,11657,4.0,1.6,0.0,1000,831.475,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
10158080,5638.784222126007,11722,4.0,1.0,0.0,1000,850.875,0,0.0,2.0,0.225,0.0,1000,1000.0,0,0.0
10223616,5675.743038415909,11798,5.0,1.375,0.0,1000,852.925,0,0.0,3.0,0.4,0.0,1000,985.15,0,0.0
10289152,5713.628274202347,11873,4.0,1.375,0.0,1000,850.6,0,0.0,1.0,0.075,0.0,1000,1000.0,0,0.0
10354688,5751.914440155029,11957,5.0,1.275,0.0,1000,880.25,0,0.0,1.0,0.125,0.0,1000,979.975,0,0.0
10420224,5790.549904346466,12038,5.0,1.225,0.0,1000,731.625,0,0.0,1.0,0.3,0.0,1000,1000.0,0,0.025
10485760,5828.395929574966,12114,4.0,1.275,0.0,1000,801.4,0,0.0,2.0,0.3,0.0,1000,1000.0,0,0.0
10551296,5866.534593820572,12192,4.0,1.25,0.0,1000,874.4,0,0.0,2.0,0.2,0.0,1000,975.175,0,0.0
10616832,5904.748516321182,12286,5.0,1.525,0.0,1000,760.15,0,0.0,2.0,0.175,0.0,1000,980.425,0,0.0
10682368,5943.059231758118,12366,4.0,1.275,0.0,1000,782.725,0,0.025,1.0,0.15,0.0,1000,986.825,0,0.0
10747904,5981.039459466934,12442,3.0,1.1,0.0,1000,838.85,0,0.0,2.0,0.275,0.0,1000,993.55,0,0.0
10813440,6019.043367862701,12521,5.0,1.375,0.0,1000,814.05,0,0.0,2.0,0.25,0.0,1000,999.675,0,0.0
10878976,6057.436055421829,12607,4.0,1.15,0.0,1000,759.175,0,0.0,1.0,0.175,0.0,1000,985.65,0,0.0
10944512,6095.799963474274,12682,3.0,1.175,0.0,1000,886.975,0,0.0,2.0,0.275,0.0,1000,938.125,0,0.0
11010048,6134.048123598099,12753,5.0,1.45,0.0,1000,862.125,0,0.0,1.0,0.2,0.0,1000,1000.0,0,0.0
11075584,6171.706195116043,12836,3.0,0.9,0.0,1000,882.15,0,0.0,2.0,0.4,0.0,1000,1000.0,0,0.0
11141120,6209.4236607551575,12920,4.0,1.15,0.0,1000,855.925,0,0.0,2.0,0.225,0.0,1000,964.8,0,0.0
11206656,6247.114198684692,12995,4.0,1.5,0.0,1000,748.675,0,0.0,2.0,0.275,0.0,1000,976.1,0,0.025
11272192,6284.542812347412,13076,3.0,1.075,0.0,1000,833.775,0,0.0,1.0,0.175,0.0,1000,1000.0,0,0.0
11337728,6322.185135602951,13150,4.0,0.975,0.0,1000,915.65,0,0.0,2.0,0.375,0.0,1000,945.825,0,0.025
11403264,6360.552238941193,13238,4.0,1.2,0.0,1000,843.1,0,0.0,1.0,0.175,0.0,1000,1000.0,0,0.0
11468800,6398.806628227234,13307,4.0,0.975,0.0,1000,896.175,0,0.0,2.0,0.175,0.0,1000,988.75,0,0.025
11534336,6437.313475608826,13385,4.0,1.05,0.0,1000,770.0,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
11599872,6475.509525537491,13467,4.0,1.225,0.0,1000,853.775,0,0.0,2.0,0.225,0.0,1000,962.175,0,0.0
11665408,6514.0778086185455,13560,4.0,1.375,0.0,1000,825.925,0,0.0,1.0,0.05,0.0,1000,1000.0,0,0.0
11730944,6552.2071969509125,13631,3.0,1.1,0.0,1000,891.425,0,0.0,3.0,0.275,0.0,1000,964.425,0,0.0
11796480,6590.559552907944,13714,5.0,1.475,0.0,1000,824.5,0,0.0,1.0,0.225,0.0,1000,1000.0,0,0.0
11862016,6628.838539838791,13789,3.0,1.2,0.0,1000,853.975,0,0.0,2.0,0.375,0.0,1000,972.125,0,0.0
11927552,6667.647011995316,13871,4.0,1.175,0.0,1000,875.15,0,0.0,1.0,0.175,0.0,1000,983.6,0,0.0
11993088,6705.5331337451935,13947,4.0,1.625,0.0,1000,824.025,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
12058624,6744.099912643433,14034,3.0,1.0,0.0,1000,860.875,0,0.0,2.0,0.25,0.0,1000,996.325,0,0.0
12124160,6782.365964174271,14107,5.0,1.6,0.0,1000,898.975,0,0.0,2.0,0.15,0.0,1000,982.175,0,0.0
12189696,6820.890769004822,14185,4.0,1.075,0.0,1000,845.4,0,0.0,2.0,0.2,0.0,1000,998.175,0,0.025
12255232,6859.385603189468,14260,3.0,1.025,0.0,1000,882.4,0,0.0,3.0,0.3,0.0,1000,1000.0,0,0.0
12320768,6897.96696138382,14352,3.0,1.125,0.0,1000,802.975,0,0.0,2.0,0.325,0.0,1000,975.2,0,0.0
12386304,6936.206347465515,14422,4.0,1.325,0.0,1000,830.175,0,0.0,2.0,0.325,0.0,1000,991.05,0,0.0
12451840,6974.442582845688,14503,3.0,1.15,0.0,1000,781.0,0,0.0,2.0,0.325,0.0,1000,995.375,0,0.0
12517376,7012.241752386093,14572,4.0,1.05,0.0,1000,927.35,0,0.0,1.0,0.2,0.0,1000,984.175,0,0.025
12582912,7050.262502908707,14654,4.0,1.525,0.0,1000,834.675,0,0.0,2.0,0.3,0.0,1000,997.625,0,0.0
12648448,7088.570245504379,14726,3.0,1.025,0.0,1000,840.0,0,0.025,2.0,0.325,0.0,1000,979.2,0,0.0
12713984,7126.690673589706,14814,5.0,1.275,0.0,1000,877.6,0,0.0,2.0,0.225,0.0,1000,1000.0,0,0.0
12779520,7165.009482622147,14893,3.0,1.075,0.0,1000,782.85,0,0.0,3.0,0.275,0.0,1000,979.6,0,0.0
12845056,7203.103754758835,14974,4.0,1.15,0.0,1000,849.775,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
12910592,7241.526335000992,15047,4.0,1.275,0.0,1000,850.525,0,0.0,3.0,0.35,0.0,1000,985.75,0,0.0
12976128,7278.1413230896,15135,3.0,1.325,0.0,1000,807.55,0,0.0,2.0,0.325,0.0,1000,985.925,0,0.0
13041664,7314.8028128147125,15205,4.0,1.125,0.0,1000,795.825,0,0.0,2.0,0.175,0.0,1000,1000.0,0,0.0
13107200,7352.301597595215,15278,4.0,1.275,0.0,1000,915.625,0,0.025,2.0,0.1,0.0,1000,1000.0,0,0.0
13172736,7390.146293640137,15354,5.0,1.175,0.0,1000,866.95,0,0.025,2.0,0.125,0.0,1000,998.425,0,0.0
13238272,7426.710826873779,15444,4.0,1.3,0.0,1000,800.75,0,0.0,1.0,0.2,0.0,1000,975.25,0,0.0
13303808,7463.781713247299,15514,4.0,1.375,0.0,1000,817.95,0,0.0,1.0,0.275,0.0,1000,930.775,0,0.0
13369344,7500.836684465408,15595,4.0,1.525,0.0,1000,793.225,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
13434880,7538.300358533859,15674,5.0,1.45,0.0,1000,827.775,0,0.0,2.0,0.2,0.0,1000,980.725,0,0.0
13500416,7575.2898852825165,15761,3.0,1.3,0.0,1000,762.45,0,0.0,2.0,0.3,0.0,1000,986.925,0,0.0
13565952,7612.541194677353,15848,3.0,1.225,0.0,1000,786.65,0,0.0,3.0,0.425,0.0,1000,975.175,0,0.0
13631488,7649.887736558914,15919,4.0,1.125,0.0,1000,877.5,0,0.0,1.0,0.1,0.0,1000,1000.0,0,0.0
13697024,7687.765648126602,15995,5.0,1.4,0.0,1000,860.4,0,0.0,2.0,0.275,0.0,1000,962.95,0,0.0
