timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,22.01771855354309,15,2.0,1.2666667,0.0,238,127.26666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
65536,41.67198348045349,32,3.0,1.53125,0.0,507,272.78125,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
98304,59.72718644142151,45,3.0,1.625,0.0,763,393.725,0,0.0,2.0,1.5,0.0,525,520.0,0,0.0
131072,78.24573922157288,143,3.0,1.025,0.0,1000,960.8,0,0.0,2.0,0.25,0.0,1000,975.175,0,0.0
163840,96.84593057632446,171,3.0,1.2,0.0,1000,621.925,0,0.025,2.0,0.25,0.0,1000,975.175,0,0.0
196608,115.52807831764221,196,3.0,1.275,0.0,1000,590.4,0,0.0,2.0,0.275,0.0,1000,975.175,0,0.0
229376,133.82626271247864,235,4.0,1.675,0.0,1000,620.0,0,0.025,2.0,0.3,0.0,1000,975.175,0,0.0
262144,152.55772376060486,303,3.0,1.2,0.0,1000,936.525,0,0.0,1.0,0.325,0.0,1000,1000.0,0,0.0
294912,170.96591329574585,327,3.0,1.25,0.0,1000,738.8,0,0.0,1.0,0.325,0.0,1000,1000.0,0,0.0
327680,189.6882770061493,354,3.0,1.125,0.0,1000,734.3,0,0.0,2.0,0.4,0.0,1000,948.55,0,0.0
360448,207.89344239234924,396,2.0,1.125,0.0,1000,714.1,0,0.025,2.0,0.375,0.0,1000,948.55,0,0.0
393216,226.67477011680603,468,4.0,1.175,0.0,1000,843.25,0,0.0,2.0,0.35,0.0,1000,995.7,0,0.0
425984,245.30912446975708,488,4.0,1.275,0.0,1000,817.875,0,0.0,2.0,0.425,0.0,1000,949.85,0,0.0
458752,263.45679998397827,524,3.0,1.375,0.0,1000,726.325,0,0.05,3.0,0.5,0.0,1000,892.05,0,0.0
491520,282.19470381736755,562,3.0,1.625,0.0,1000,834.425,0,0.0,3.0,0.55,0.0,1000,881.725,0,0.0
524288,300.30989956855774,625,3.0,1.15,0.0,1000,837.875,0,0.0,2.0,0.325,0.0,1000,1000.0,0,0.0
557056,319.43017411231995,657,3.0,1.375,0.0,1000,675.1,0,0.0,2.0,0.375,0.0,1000,1000.0,0,0.0
589824,337.77843046188354,700,4.0,1.6,0.0,1000,708.575,0,0.0,1.0,0.35,0.0,1000,967.975,0,0.0
622592,356.507675409317,736,3.0,1.625,0.0,1000,756.225,0,0.0,1.0,0.3,0.0,1000,943.15,0,0.0
655360,374.76575231552124,784,3.0,1.225,0.0,1000,880.9,0,0.0,1.0,0.3,0.0,1000,1000.0,0,0.0
688128,393.68750500679016,820,3.0,1.3,0.0,1000,775.95,0,0.0,2.0,0.325,0.0,1000,978.3,0,0.0
720896,411.96352219581604,861,3.0,1.35,0.0,1000,869.5,0,0.0,2.0,0.35,0.0,1000,950.625,0,0.0
753664,430.80680656433105,904,4.0,1.575,0.0,1000,722.9,0,0.0,2.0,0.425,0.0,1000,938.125,0,0.0
786432,448.7402539253235,951,3.0,1.325,0.0,1000,726.575,0,0.0,2.0,0.25,0.0,1000,969.85,0,0.0
819200,467.80133748054504,990,3.0,1.3,0.0,1000,772.075,0,0.0,2.0,0.35,0.0,1000,948.75,0,0.0
851968,486.15101623535156,1031,4.0,1.55,0.0,1000,831.675,0,0.0,2.0,0.3,0.0,1000,973.6,0,0.0
884736,505.04981112480164,1076,4.0,1.575,0.0,1000,703.575,0,0.0,2.0,0.3,0.0,1000,976.225,0,0.0
917504,523.5014202594757,1122,3.0,1.5,0.0,1000,727.7,0,0.0,2.0,0.3,0.0,1000,1000.0,0,0.0
950272,541.8528063297272,1167,3.0,1.325,0.0,1000,754.025,0,0.0,2.0,0.325,0.0,1000,1000.0,0,0.0
983040,560.451278924942,1209,3.0,1.525,0.0,1000,799.025,0,0.0,2.0,0.425,0.0,1000,946.95,0,0.0
1015808,578.922641992569,1246,3.0,1.4,0.0,1000,736.5,0,0.0,3.0,0.525,0.0,1000,913.3,0,0.0
1048576,597.7971377372742,1286,3.0,1.3,0.0,1000,798.275,0,0.0,2.0,0.325,0.0,1000,975.175,0,0.0
1081344,616.0233838558197,1332,3.0,1.3,0.0,1000,853.275,0,0.0,2.0,0.225,0.0,1000,987.85,0,0.0
1114112,634.6476187705994,1379,3.0,1.15,0.0,1000,682.6,0,0.0,2.0,0.2,0.0,1000,987.85,0,0.0
1146880,652.9897620677948,1420,3.0,1.4,0.0,1000,687.35,0,0.0,2.0,0.15,0.0,1000,987.85,0,0.0
1179648,671.6833324432373,1467,3.0,1.45,0.0,1000,760.125,0,0.025,2.0,0.3,0.0,1000,949.075,0,0.0
1212416,690.0413892269135,1512,3.0,1.525,0.0,1000,724.925,0,0.0,2.0,0.325,0.0,1000,949.075,0,0.0
1245184,708.4618566036224,1549,4.0,1.15,0.0,1000,763.35,0,0.0,2.0,0.425,0.0,1000,936.0,0,0.0
1277952,726.6462934017181,1592,3.0,1.2,0.0,1000,796.0,0,0.0,2.0,0.45,0.0,1000,936.325,0,0.0
1310720,745.5007679462433,1638,3.0,1.35,0.0,1000,743.6,0,0.0,1.0,0.2,0.0,1000,1000.0,0,0.0
1343488,764.0522439479828,1680,2.0,1.075,0.0,1000,715.725,0,0.0,3.0,0.35,0.0,1000,979.2,0,0.0
1376256,783.3067989349365,1718,3.0,1.15,0.0,1000,865.375,0,0.025,3.0,0.4,0.0,1000,979.2,0,0.0
1409024,801.9142575263977,1761,4.0,1.5,0.0,1000,768.3,0,0.0,2.0,0.175,0.0,1000,993.975,0,0.0
1441792,820.318755865097,1813,3.0,1.325,0.0,1000,673.9,0,0.025,2.0,0.25,0.0,1000,925.975,0,0.0
1474560,838.8709425926208,1853,3.0,1.175,0.0,1000,798.875,0,0.0,2.0,0.275,0.0,1000,889.425,0,0.0
1507328,857.5438656806946,1886,3.0,1.175,0.0,1000,828.075,0,0.0,2.0,0.3,0.0,1000,865.825,0,0.025
1540096,875.9394264221191,1929,3.0,1.0,0.0,1000,827.675,0,0.0,1.0,0.05,0.0,1000,1000.0,0,0.0
1572864,894.5830631256104,1964,3.0,1.1,0.0,1000,951.575,0,0.0,1.0,0.075,0.0,1000,1000.0,0,0.0
1605632,912.7127661705017,2005,4.0,1.25,0.0,1000,890.575,0,0.0,2.0,0.2,0.0,1000,987.325,0,0.0
1638400,931.6382491588593,2042,3.0,1.325,0.0,1000,772.95,0,0.075,2.0,0.3,0.0,1000,976.1,0,0.025
1671168,949.7528879642487,2089,4.0,1.0,0.0,1000,805.975,0,0.025,1.0,0.2,0.0,1000,1000.0,0,0.0
1703936,968.6629602909088,2135,4.0,0.95,0.0,1000,765.75,0,0.025,1.0,0.25,0.0,1000,953.125,0,0.0
1736704,987.0098731517792,2173,3.0,1.2,0.0,1000,781.875,0,0.0,1.0,0.225,0.0,1000,953.125,0,0.0
1769472,1005.4825520515442,2214,4.0,1.3,0.0,1000,727.725,0,0.0,1.0,0.175,0.0,1000,953.125,0,0.0
1802240,1024.143521785736,2261,3.0,1.0,0.0,1000,783.55,0,0.0,1.0,0.25,0.0,1000,1000.0,0,0.0
1835008,1042.4438779354095,2299,3.0,1.15,0.0,1000,804.15,0,0.0,1.0,0.25,0.0,1000,998.9,0,0.0
1867776,1061.34889960289,2339,4.0,1.275,0.0,1000,780.225,0,0.025,1.0,0.225,0.0,1000,989.05,0,0.0
1900544,1079.7272322177887,2376,3.0,1.225,0.0,1000,763.85,0,0.0,1.0,0.3,0.0,1000,959.75,0,0.0
1933312,1098.1801447868347,2426,3.0,1.1,0.0,1000,771.05,0,0.0,2.0,0.4,0.0,1000,1000.0,0,0.0
1966080,1116.5148022174835,2472,4.0,1.15,0.0,1000,743.3,0,0.0,2.0,0.275,0.0,1000,1000.0,0,0.025
1998848,1135.3950004577637,2514,4.0,1.4,0.0,1000,698.575,0,0.0,2.0,0.25,0.0,1000,979.3,0,0.025
2031616,1153.7149958610535,2553,3.0,1.3,0.0,1000,830.825,0,0.0,2.0,0.25,0.0,1000,979.3,0,0.025
2064384,1172.587994337082,2596,4.0,1.175,0.0,1000,773.475,0,0.025,1.0,0.075,0.0,1000,1000.0,0,0.0
2097152,1190.8343753814697,2634,4.0,1.275,0.0,1000,819.825,0,0.025,1.0,0.075,0.0,1000,1000.0,0,0.0
2129920,1209.6876106262207,2688,3.0,1.3,0.0,1000,770.25,0,0.0,3.0,0.2,0.0,1000,996.3,0,0.0
2162688,1228.045753955841,2723,3.0,1.2,0.0,1000,769.175,0,0.0,3.0,0.325,0.0,1000,987.4,0,0.0
2195456,1246.79780459404,2756,3.0,1.325,0.0,1000,803.675,0,0.0,2.0,0.25,0.0,1000,1000.0,0,0.0
2228224,1265.3489305973053,2797,4.0,1.15,0.0,1000,821.8,0,0.0,2.0,0.3,0.0,1000,979.85,0,0.0
2260992,1283.958842754364,2844,3.0,1.2,0.0,1000,852.175,0,0.0,2.0,0.45,0.0,1000,979.85,0,0.0
2293760,1302.6182429790497,2879,4.0,1.35,0.0,1000,736.65,0,0.0,2.0,0.4,0.0,1000,1000.0,0,0.0
2326528,1321.1192598342896,2926,3.0,1.25,0.0,1000,727.9,0,0.0,2.0,0.25,0.0,1000,988.425,0,0.0
2359296,1339.7181911468506,2967,4.0,1.275,0.0,1000,752.875,0,0.0,2.0,0.325,0.0,1000,968.175,0,0.025
2392064,1358.1464505195618,3008,3.0,1.3,0.0,1000,815.5,0,0.0,3.0,0.4,0.0,1000,959.05,0,0.025
2424832,1376.804445028305,3050,4.0,1.275,0.0,1000,799.925,0,0.025,3.0,0.3,0.0,1000,990.875,0,0.025
2457600,1395.309288740158,3089,4.0,1.325,0.0,1000,762.325,0,0.0,2.0,0.175,0.0,1000,975.15,0,0.0
2490368,1414.2322702407837,3130,4.0,1.275,0.0,1000,818.975,0,0.0,2.0,0.25,0.0,1000,975.15,0,0.0
2523136,1432.4347591400146,3180,4.0,1.025,0.0,1000,679.05,0,0.0,1.0,0.225,0.0,1000,961.625,0,0.0
2555904,1451.4763667583466,3216,3.0,1.175,0.0,1000,803.5,0,0.0,1.0,0.25,0.0,1000,972.4,0,0.0
2588672,1470.2252922058105,3250,4.0,1.225,0.0,1000,818.6,0,0.0,2.0,0.325,0.0,1000,1000.0,0,0.0
2621440,1489.0551316738129,3292,3.0,1.0,0.0,1000,832.7,0,0.0,2.0,0.375,0.0,1000,992.6,0,0.0
2654208,1507.4891760349274,3332,3.0,1.2,0.0,1000,851.625,0,0.0,2.0,0.45,0.0,1000,992.6,0,0.0
2686976,1526.0972049236298,3376,3.0,1.075,0.0,1000,788.25,0,0.0,2.0,0.425,0.0,1000,1000.0,0,0.0
2719744,1545.5002958774567,3419,4.0,1.1,0.0,1000,841.35,0,0.0,2.0,0.25,0.0,1000,975.0,0,0.0
2752512,1563.9457957744598,3453,3.0,1.275,0.0,1000,766.85,0,0.025,2.0,0.45,0.0,1000,956.025,0,0.0
2785280,1582.8661725521088,3492,3.0,1.15,0.0,1000,867.825,0,0.0,2.0,0.425,0.0,1000,981.025,0,0.0
2818048,1601.1401646137238,3538,3.0,1.05,0.0,1000,748.7,0,0.025,2.0,0.15,0.0,1000,1000.0,0,0.0
2850816,1619.6862859725952,3590,3.0,1.3,0.0,1000,752.7,0,0.0,1.0,0.1,0.0,1000,1000.0,0,0.0
2883584,1638.0583415031433,3632,3.0,1.375,0.0,1000,695.25,0,0.0,2.0,0.3,0.0,1000,965.825,0,0.0
2916352,1656.610298871994,3681,3.0,1.25,0.0,1000,601.625,0,0.0,2.0,0.35,0.0,1000,965.825,0,0.0
2949120,1675.2129337787628,3725,4.0,1.225,0.0,1000,635.925,0,0.0,2.0,0.275,0.0,1000,1000.0,0,0.0
