timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,39.3470664024353,274,10.0,4.0,0.0,246,50.95,0,0.0,10.0,4.5,0.0,247,54.375,0,0.0
131072,72.45346069335938,416,10.0,4.5,0.0,489,207.875,0,0.0,10.0,5.0,0.0,496,176.075,0,0.0
196608,104.7818956375122,559,10.0,5.75,0.0,720,288.775,0,0.0,10.0,4.5,0.0,744,241.225,0,0.0
262144,136.9518916606903,725,10.0,2.25,0.0,1000,554.775,0,0.0,10.0,2.5,0.0,1000,693.55,0,0.0
327680,168.96928644180298,893,10.0,1.75,0.0,1000,537.7,0,0.0,10.0,3.5,0.0,1000,341.8,0,0.0
393216,202.00769758224487,1123,10.0,4.5,0.0,1000,298.7,0,0.0,10.0,4.5,0.0,1000,341.575,0,0.0
458752,235.01664519309998,1347,10.0,5.0,0.0,1000,216.55,0,0.025,10.0,4.25,0.0,1000,309.925,0,0.0
524288,268.1206257343292,1506,10.0,3.5,0.0,1000,278.9,0,0.05,10.0,5.25,0.0,1000,265.925,0,0.0
589824,301.2365140914917,1656,10.0,3.0,0.0,1000,415.925,0,0.025,10.0,4.25,0.0,1000,237.5,0,0.0
655360,333.93925952911377,1900,10.0,3.75,0.0,1000,401.825,0,0.0,10.0,4.25,0.0,1000,275.3,0,0.0
720896,367.29228019714355,2187,10.0,3.25,0.0,1000,346.425,0,0.0,10.0,4.25,0.0,1000,288.8,0,0.0
786432,400.5160565376282,2431,10.0,4.75,0.0,1000,198.35,0,0.025,10.0,4.25,0.0,1000,237.2,0,0.0
851968,433.353976726532,2766,10.0,6.5,0.0,1000,177.725,0,0.025,10.0,5.25,0.0,1000,282.575,0,0.0
917504,466.4908187389374,3191,10.0,4.75,0.0,1000,92.25,0,0.0,10.0,6.0,0.0,1000,189.625,0,0.05
983040,499.26561284065247,3685,10.0,5.75,0.0,1000,142.05,0,0.025,10.0,6.5,0.0,1000,171.775,0,0.025
1048576,531.9857738018036,4100,10.0,6.5,0.0,1000,139.5,0,0.0,10.0,6.0,0.0,1000,111.3,0,0.0
1114112,564.9287211894989,4504,10.0,6.25,0.0,1000,139.925,0,0.0,10.0,5.5,0.0,1000,130.05,0,0.0
1179648,597.5803062915802,4859,10.0,6.0,0.0,1000,214.475,0,0.0,10.0,5.75,0.0,1000,174.525,0,0.025
1245184,630.3495111465454,5161,10.0,5.25,0.0,1000,275.4,0,0.0,10.0,5.5,0.0,1000,216.775,0,0.0
1310720,663.3148498535156,5520,10.0,6.0,0.0,1000,174.05,0,0.0,10.0,6.25,0.0,1000,258.45,0,0.0
1376256,696.5028502941132,5892,10.0,5.0,0.0,1000,232.35,0,0.025,10.0,5.75,0.0,1000,177.95,0,0.025
1441792,729.3645794391632,6279,10.0,4.0,0.0,1000,220.675,0,0.025,10.0,5.0,0.0,1000,99.125,0,0.0
1507328,762.3318128585815,6655,10.0,6.5,0.0,1000,79.95,0,0.0,10.0,5.5,0.0,1000,174.825,0,0.0
1572864,795.6225216388702,6955,10.0,6.0,0.0,1000,199.775,0,0.0,10.0,5.0,0.0,1000,248.175,0,0.025
1638400,828.5090553760529,7277,10.0,5.25,0.0,1000,164.8,0,0.0,10.0,6.0,0.0,1000,129.925,0,0.0
1703936,860.7607223987579,7706,10.0,7.0,0.0,1000,241.45,0,0.025,10.0,5.75,0.0,1000,235.25,0,0.0
1769472,892.5651779174805,8095,10.0,5.5,0.0,1000,165.225,0,0.0,10.0,7.0,0.0,1000,121.975,0,0.0
1835008,924.2992217540741,8487,10.0,6.25,0.0,688,49.95,0,0.0,10.0,6.75,0.0,1000,123.125,0,0.025
1900544,954.5878438949585,8851,10.0,6.25,0.0,1000,170.8,0,0.0,10.0,6.0,0.0,1000,89.05,0,0.0
1966080,985.073676109314,9251,10.0,4.75,0.0,1000,201.325,0,0.0,10.0,5.0,0.0,1000,242.3,0,0.0
2031616,1015.4065470695496,9672,10.0,4.75,0.0,1000,159.325,0,0.0,10.0,5.75,0.0,1000,190.15,0,0.0
2097152,1047.0037350654602,10061,10.0,6.75,0.0,1000,96.25,0,0.0,10.0,6.25,0.0,1000,113.0,0,0.0
2162688,1077.3936216831207,10430,10.0,6.5,0.0,1000,77.925,0,0.0,10.0,5.0,0.0,1000,131.725,0,0.0
2228224,1107.7599477767944,10800,10.0,6.75,0.0,1000,270.4,0,0.0,10.0,4.5,0.0,1000,166.675,0,0.0
2293760,1140.6185331344604,11239,10.0,5.75,0.0,1000,135.5,0,0.0,10.0,6.0,0.0,1000,180.35,0,0.0
2359296,1173.51185297966,11737,10.0,6.25,0.0,1000,111.275,0,0.025,10.0,5.75,0.0,1000,189.925,0,0.0
2424832,1206.8422780036926,12136,10.0,5.5,0.0,1000,213.1,0,0.0,10.0,6.25,0.0,1000,125.075,0,0.025
2490368,1240.425673007965,12556,10.0,6.5,0.0,1000,132.55,0,0.0,10.0,6.75,0.0,1000,146.25,0,0.0
2555904,1274.054503917694,13006,10.0,6.5,0.0,1000,112.175,0,0.0,10.0,6.5,0.0,1000,172.925,0,0.0
2621440,1307.1636958122253,13476,10.0,5.0,0.0,1000,249.875,0,0.0,10.0,5.5,0.0,1000,147.55,0,0.0
2686976,1340.0988488197327,13973,10.0,7.25,0.0,1000,109.325,0,0.0,10.0,6.0,0.0,1000,110.65,0,0.0
