timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,39.118587255477905,145,10.0,2.5,0.0,204,57.725,0,0.0,10.0,2.25,0.0,246,57.625,0,0.0
131072,72.154789686203,223,10.0,1.25,0.0,486,214.075,0,0.0,10.0,2.0,0.0,509,242.775,0,0.0
196608,104.6655764579773,273,10.0,2.5,0.0,765,435.025,0,0.0,10.0,2.75,0.0,754,360.25,0,0.0
262144,137.45981121063232,462,10.0,1.0,0.0,1000,727.5,0,0.0,10.0,1.0,0.0,1000,639.05,0,0.025
327680,169.68279266357422,610,10.0,1.5,0.0,1000,411.65,0,0.0,10.0,1.25,0.0,1000,442.975,0,0.0
393216,202.50063920021057,698,10.0,1.0,0.0,1000,509.6,0,0.0,10.0,1.75,0.0,1000,448.925,0,0.0
458752,234.91649293899536,784,10.0,1.25,0.0,1000,397.75,0,0.0,10.0,1.5,0.0,1000,430.575,0,0.0
524288,267.58494234085083,934,10.0,0.25,0.0,1000,723.725,0,0.0,10.0,0.75,0.0,1000,719.575,0,0.0
589824,299.67554330825806,1083,10.0,1.5,0.0,1000,456.425,0,0.0,10.0,0.5,0.0,1000,430.775,0,0.0
655360,331.7970697879791,1184,10.0,1.25,0.0,1000,484.9,0,0.0,10.0,2.0,0.0,1000,420.7,0,0.025
720896,364.3431510925293,1286,10.0,1.0,0.0,1000,442.975,0,0.0,10.0,2.25,0.0,1000,426.775,0,0.025
786432,397.27171087265015,1436,10.0,1.0,0.0,1000,628.375,0,0.0,10.0,1.0,0.0,1000,632.175,0,0.0
851968,429.8254590034485,1600,10.0,1.25,0.0,1000,534.9,0,0.0,10.0,0.75,0.0,1000,484.225,0,0.0
917504,462.52430987358093,1707,10.0,1.0,0.0,1000,503.975,0,0.0,10.0,1.75,0.0,1000,434.675,0,0.0
983040,495.2448761463165,1840,10.0,1.25,0.0,1000,481.975,0,0.0,10.0,1.75,0.0,1000,375.525,0,0.0
1048576,527.722754240036,1982,10.0,0.5,0.0,1000,585.75,0,0.0,10.0,1.5,0.0,1000,424.65,0,0.0
1114112,559.6351675987244,2111,10.0,1.75,0.0,1000,498.7,0,0.0,10.0,2.25,0.0,1000,452.625,0,0.0
1179648,591.4533081054688,2231,10.0,1.5,0.0,1000,508.075,0,0.0,10.0,1.75,0.0,1000,372.275,0,0.0
1245184,623.3717761039734,2370,10.0,2.0,0.0,1000,537.1,0,0.0,10.0,2.25,0.0,1000,564.725,0,0.0
1310720,655.5860276222229,2529,10.0,1.75,0.0,1000,356.275,0,0.0,10.0,1.25,0.0,1000,468.95,0,0.0
1376256,687.8665299415588,2682,10.0,2.75,0.0,1000,477.575,0,0.0,10.0,1.75,0.0,1000,528.525,0,0.0
1441792,719.7927181720734,2818,10.0,2.0,0.0,1000,613.05,0,0.025,10.0,2.25,0.0,1000,516.95,0,0.0
1507328,752.1603126525879,2967,10.0,2.25,0.0,1000,435.15,0,0.0,10.0,1.5,0.0,1000,565.375,0,0.0
1572864,784.385573387146,3124,10.0,1.5,0.0,1000,591.525,0,0.0,10.0,1.75,0.0,1000,364.2,0,0.0
1638400,816.9298830032349,3256,10.0,2.0,0.0,1000,381.975,0,0.0,10.0,0.75,0.0,1000,541.725,0,0.0
1703936,850.2169504165649,3412,10.0,1.5,0.0,1000,431.55,0,0.025,10.0,1.75,0.0,1000,289.35,0,0.0
1769472,883.4654521942139,3546,10.0,1.75,0.0,1000,350.325,0,0.0,10.0,1.75,0.0,1000,497.35,0,0.0
1835008,916.1129109859467,3717,10.0,1.25,0.0,1000,371.05,0,0.0,10.0,1.5,0.0,1000,418.675,0,0.0
1900544,948.0839622020721,3861,10.0,2.5,0.0,1000,383.15,0,0.0,10.0,1.25,0.0,1000,554.75,0,0.025
1966080,979.824063539505,4031,10.0,2.25,0.0,1000,346.825,0,0.0,10.0,2.25,0.0,1000,367.15,0,0.0
2031616,1011.5966608524323,4190,10.0,3.25,0.0,1000,390.4,0,0.0,10.0,1.0,0.0,1000,492.65,0,0.0
2097152,1044.2157936096191,4370,10.0,2.0,0.0,1000,352.3,0,0.0,10.0,1.75,0.0,1000,373.325,0,0.0
2162688,1076.3750131130219,4500,10.0,1.25,0.0,1000,453.075,0,0.0,10.0,2.75,0.0,1000,371.25,0,0.0
2228224,1107.926206111908,4632,10.0,3.75,0.0,1000,457.6,0,0.0,10.0,1.75,0.0,1000,379.2,0,0.0
2293760,1140.2798659801483,4768,10.0,1.25,0.0,1000,551.325,0,0.0,10.0,2.25,0.0,1000,425.675,0,0.0
2359296,1172.801608800888,4918,10.0,2.75,0.0,1000,396.525,0,0.0,10.0,2.75,0.0,1000,475.225,0,0.0
2424832,1205.4483034610748,5094,10.0,1.5,0.0,1000,454.475,0,0.0,10.0,2.0,0.0,1000,440.7,0,0.0
2490368,1238.1827850341797,5255,10.0,3.0,0.0,1000,388.25,0,0.0,10.0,2.25,0.0,1000,374.225,0,0.0
2555904,1271.1190779209137,5386,10.0,2.75,0.0,1000,477.875,0,0.0,10.0,1.75,0.0,1000,479.1,0,0.025
2621440,1303.7957911491394,5528,10.0,1.75,0.0,1000,490.6,0,0.0,10.0,2.25,0.0,1000,382.225,0,0.0
2686976,1336.1840732097626,5688,10.0,3.25,0.0,1000,444.125,0,0.0,10.0,2.5,0.0,1000,354.175,0,0.0
2752512,1368.7757151126862,5866,10.0,1.75,0.0,1000,299.325,0,0.0,10.0,2.0,0.0,1000,379.275,0,0.0
