timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,35.47115731239319,559,10.0,2.25,0.0,202,62.375,0,0.025,10.0,2.0,0.0,253,86.3,0,0.0
131072,65.24483156204224,1287,10.0,2.5,0.0,323,97.275,0,0.0,10.0,1.75,0.0,486,94.55,0,0.0
196608,95.06357789039612,2120,10.0,1.75,0.0,297,94.325,0,0.0,10.0,1.25,0.0,352,78.575,0,0.0
262144,124.97933316230774,3100,10.0,4.25,0.0,276,80.775,0,0.0,10.0,1.5,0.0,286,66.9,0,0.0
327680,154.264990568161,4266,10.0,3.25,0.0,175,44.5,0,0.0,10.0,3.0,0.0,239,60.15,0,0.0
393216,183.98726081848145,5408,10.0,2.25,0.0,196,68.0,0,0.0,10.0,2.75,0.0,114,42.85,0,0.0
458752,213.71185636520386,6649,10.0,3.0,0.0,221,55.825,0,0.025,10.0,2.5,0.0,155,48.775,0,0.0
524288,243.63298344612122,7866,10.0,1.75,0.0,372,64.05,0,0.0,10.0,2.75,0.0,214,61.9,0,0.025
589824,273.41557121276855,9210,10.0,2.25,0.0,181,41.0,0,0.0,10.0,2.25,0.0,239,66.05,0,0.0
655360,303.4700448513031,10557,10.0,2.75,0.0,362,64.45,0,0.0,10.0,3.0,0.0,275,54.6,0,0.025
720896,333.60593581199646,11875,10.0,1.75,0.0,324,62.65,0,0.0,10.0,2.0,0.0,322,61.6,0,0.025
786432,363.7145788669586,13151,10.0,3.25,0.0,116,34.125,0,0.0,10.0,2.75,0.0,263,49.2,0,0.0
851968,394.07572531700134,14608,10.0,2.5,0.0,426,53.875,0,0.025,10.0,2.25,0.0,177,48.275,0,0.0
917504,424.4687626361847,15911,10.0,2.25,0.0,265,49.725,0,0.0,10.0,3.25,0.0,196,41.5,0,0.0
983040,454.43444895744324,17165,10.0,3.25,0.0,243,50.8,0,0.0,10.0,2.5,0.0,282,54.475,0,0.0
1048576,484.7892327308655,18327,10.0,4.0,0.0,284,42.375,0,0.05,10.0,2.5,0.0,289,60.8,0,0.0
1114112,515.2958958148956,19665,10.0,2.75,0.0,253,53.0,0,0.0,10.0,3.25,0.0,255,61.15,0,0.0
1179648,545.0740666389465,20894,10.0,3.5,0.0,267,57.75,0,0.0,10.0,2.5,0.0,354,68.475,0,0.0
1245184,574.842547416687,22090,10.0,2.0,0.0,403,77.675,0,0.0,10.0,3.5,0.0,349,51.4,0,0.0
1310720,604.7181220054626,23325,10.0,4.0,0.0,294,53.1,0,0.0,10.0,2.75,0.0,231,55.1,0,0.0
1376256,634.9643743038177,24662,10.0,3.75,0.0,343,45.175,0,0.0,10.0,2.25,0.0,330,73.2,0,0.0
1441792,665.0478882789612,25930,10.0,3.75,0.0,231,43.4,0,0.025,10.0,3.25,0.0,172,49.425,0,0.025
1507328,695.3303971290588,27201,10.0,3.75,0.0,213,41.925,0,0.025,10.0,3.25,0.0,309,38.825,0,0.025
1572864,725.7064278125763,28565,10.0,3.5,0.0,143,32.7,0,0.0,10.0,3.0,0.0,223,47.675,0,0.0
1638400,755.9404394626617,29839,10.0,2.75,0.0,354,66.775,0,0.0,10.0,4.5,0.0,270,40.95,0,0.0
1703936,786.0995254516602,31118,10.0,3.0,0.0,235,41.5,0,0.0,10.0,3.0,0.0,285,61.1,0,0.0
1769472,816.7140688896179,32374,10.0,3.0,0.0,181,44.625,0,0.0,10.0,3.0,0.0,309,50.2,0,0.0
1835008,847.3014197349548,33670,10.0,2.5,0.0,323,43.175,0,0.0,10.0,4.0,0.0,153,36.625,0,0.0
1900544,877.8442118167877,34976,10.0,2.25,0.0,308,61.625,0,0.0,10.0,3.5,0.0,198,43.05,0,0.0
1966080,908.2279615402222,36278,10.0,2.25,0.0,402,68.025,0,0.0,10.0,5.0,0.0,192,37.2,0,0.0
2031616,938.2381162643433,37641,10.0,2.5,0.0,162,44.475,0,0.0,10.0,3.25,0.0,451,57.175,0,0.0
2097152,967.8627023696899,38919,10.0,3.25,0.0,274,55.225,0,0.0,10.0,1.5,0.0,176,41.925,0,0.025
2162688,996.9944732189178,40258,10.0,4.0,0.0,307,40.125,0,0.0,10.0,2.75,0.0,325,58.45,0,0.025
2228224,1026.826547384262,41647,10.0,3.25,0.0,189,40.025,0,0.0,10.0,2.5,0.0,152,53.025,0,0.025
2293760,1056.8835179805756,43038,10.0,2.75,0.0,192,50.375,0,0.05,10.0,3.5,0.0,293,49.975,0,0.0
2359296,1086.7922558784485,44347,10.0,3.25,0.0,247,47.4,0,0.0,10.0,2.25,0.0,176,41.275,0,0.0
2424832,1116.9166514873505,45676,10.0,3.75,0.0,316,56.65,0,0.0,10.0,2.75,0.0,226,58.4,0,0.0
2490368,1146.9070768356323,46939,10.0,4.5,0.0,327,46.025,0,0.0,10.0,2.0,0.0,241,47.725,0,0.05
2555904,1177.1204643249512,48186,10.0,3.75,0.0,329,58.3,0,0.0,10.0,3.0,0.0,476,56.725,0,0.0
2621440,1207.671659231186,49503,10.0,3.25,0.0,277,49.975,0,0.0,10.0,2.5,0.0,290,53.9,0,0.0
2686976,1238.3104574680328,50821,10.0,1.75,0.0,307,51.7,0,0.025,10.0,2.5,0.0,149,38.1,0,0.0
2752512,1268.5848109722137,52053,10.0,2.5,0.0,192,58.075,0,0.0,10.0,3.75,0.0,349,45.875,0,0.0
2818048,1298.936360359192,53287,10.0,3.5,0.0,221,39.875,0,0.0,10.0,2.25,0.0,405,85.425,0,0.0
2883584,1329.3983840942383,54540,10.0,3.5,0.0,383,54.375,0,0.025,10.0,3.75,0.0,230,57.575,0,0.0
2949120,1359.0097558498383,55660,10.0,3.0,0.0,267,63.7,0,0.0,10.0,3.5,0.0,397,60.45,0,0.05
3014656,1388.3114302158356,56767,10.0,2.0,0.0,269,59.925,0,0.0,10.0,4.0,0.0,167,36.025,0,0.025
3080192,1417.6677265167236,57797,10.0,3.5,0.0,348,59.625,0,0.0,10.0,3.25,0.0,261,49.85,0,0.0
3145728,1447.4670538902283,58857,10.0,3.0,0.0,280,61.825,0,0.025,10.0,3.0,0.0,301,81.825,0,0.0
3211264,1477.2005586624146,59886,10.0,3.75,0.0,409,68.6,0,0.0,10.0,3.5,0.0,260,61.0,0,0.0
3276800,1506.5223722457886,60939,10.0,3.5,0.0,321,55.725,0,0.0,10.0,3.5,0.0,394,71.1,0,0.0
3342336,1536.342674255371,61843,10.0,3.0,0.0,311,50.275,0,0.0,10.0,4.0,0.0,413,68.55,0,0.0
3407872,1566.2712242603302,62787,10.0,4.25,0.0,500,80.9,0,0.025,10.0,4.0,0.0,500,74.25,0,0.0
3473408,1596.449684381485,63698,10.0,3.75,0.0,500,88.85,0,0.0,10.0,5.0,0.0,302,73.425,0,0.0
3538944,1626.3915238380432,64587,10.0,2.5,0.0,434,86.275,0,0.0,10.0,3.5,0.0,500,85.65,0,0.0
3604480,1656.5097262859344,65434,10.0,3.75,0.0,341,75.4,0,0.0,10.0,3.75,0.0,500,90.275,0,0.0
3670016,1686.5561714172363,66249,10.0,3.0,0.0,349,80.8,0,0.0,10.0,3.75,0.0,405,83.25,0,0.025
3735552,1716.3849053382874,67031,10.0,5.5,0.0,368,66.825,0,0.025,10.0,4.75,0.0,256,58.625,0,0.0
3801088,1745.428834438324,67859,10.0,3.0,0.0,433,83.05,0,0.0,10.0,3.25,0.0,500,92.125,0,0.0
3866624,1775.5207960605621,68738,10.0,4.25,0.0,500,100.125,0,0.0,10.0,3.25,0.0,355,72.825,0,0.0
3932160,1805.260799407959,69523,10.0,3.75,0.0,500,70.075,0,0.0,10.0,4.0,0.0,427,69.825,0,0.0
3997696,1834.728490114212,70369,10.0,3.5,0.0,500,92.425,0,0.0,10.0,5.0,0.0,468,84.3,0,0.0
4063232,1864.2857875823975,71213,10.0,4.75,0.0,228,60.475,0,0.0,10.0,4.25,0.0,223,66.475,0,0.0
4128768,1893.6376931667328,72056,10.0,3.25,0.0,447,93.075,0,0.025,10.0,3.5,0.0,279,86.35,0,0.0
4194304,1923.667406320572,72878,10.0,4.75,0.0,276,53.6,0,0.025,10.0,5.0,0.0,210,60.3,0,0.0
4259840,1953.267389535904,73718,10.0,3.75,0.0,233,71.425,0,0.0,10.0,3.5,0.0,419,79.4,0,0.025
4325376,1983.264854669571,74488,10.0,4.0,0.0,500,116.6,0,0.025,10.0,3.75,0.0,500,102.55,0,0.0
4390912,2013.342683315277,75299,10.0,4.25,0.0,332,76.775,0,0.0,10.0,5.0,0.0,500,86.3,0,0.0
4456448,2043.5949025154114,76052,10.0,4.25,0.0,334,88.725,0,0.0,10.0,5.5,0.0,387,66.575,0,0.0
4521984,2073.720455646515,76789,10.0,4.75,0.0,452,109.425,0,0.0,10.0,4.25,0.0,312,83.525,0,0.0
4587520,2103.35654091835,77529,10.0,4.0,0.0,500,107.425,0,0.025,10.0,4.5,0.0,468,89.675,0,0.0
4653056,2133.484581232071,78295,10.0,5.25,0.0,359,78.0,0,0.0,10.0,4.75,0.0,352,75.775,0,0.0
4718592,2163.386212825775,79107,10.0,3.75,0.0,403,87.1,0,0.0,10.0,4.5,0.0,500,59.2,0,0.0
4784128,2193.3797750473022,79990,10.0,5.0,0.0,337,81.05,0,0.0,10.0,5.0,0.0,500,81.075,0,0.0
4849664,2222.737946510315,80895,10.0,4.25,0.0,256,59.775,0,0.0,10.0,5.5,0.0,274,57.9,0,0.025
4915200,2252.5271320343018,81835,10.0,4.0,0.0,395,83.5,0,0.0,10.0,4.75,0.0,287,80.725,0,0.0
4980736,2282.4115669727325,82688,10.0,4.5,0.0,500,83.05,0,0.0,10.0,5.25,0.0,401,73.575,0,0.0
