timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,36.06197786331177,410,10.0,0.75,0.0,249,89.325,0,0.025,10.0,1.25,0.0,250,88.825,0,0.0
131072,66.95407032966614,895,10.0,1.75,0.0,498,149.525,0,0.0,10.0,1.75,0.0,400,128.25,0,0.0
196608,97.46026587486267,1482,10.0,0.75,0.0,488,98.775,0,0.025,10.0,1.5,0.0,485,115.9,0,0.0
262144,127.74316430091858,2213,10.0,1.0,0.0,470,108.725,0,0.0,10.0,0.5,0.0,500,84.3,0,0.0
327680,157.82263827323914,2986,10.0,2.25,0.0,235,75.525,0,0.0,10.0,0.75,0.0,409,83.7,0,0.0
393216,188.25598096847534,3808,10.0,2.0,0.0,408,92.3,0,0.0,10.0,2.25,0.0,339,81.15,0,0.0
458752,217.90405797958374,4600,10.0,1.0,0.0,320,83.725,0,0.0,10.0,1.0,0.0,361,72.575,0,0.025
524288,247.91581225395203,5395,10.0,2.25,0.0,418,87.6,0,0.0,10.0,2.0,0.0,449,95.55,0,0.0
589824,277.7475435733795,6213,10.0,2.25,0.0,202,65.1,0,0.0,10.0,1.25,0.0,202,74.675,0,0.0
655360,307.70672631263733,7090,10.0,1.25,0.0,231,70.575,0,0.0,10.0,1.0,0.0,352,94.4,0,0.0
720896,337.8372082710266,7903,10.0,2.0,0.0,300,72.275,0,0.0,10.0,0.5,0.0,411,73.175,0,0.0
786432,368.0516700744629,8686,10.0,1.75,0.0,236,73.25,0,0.0,10.0,2.0,0.0,331,71.65,0,0.0
851968,399.1987159252167,9568,10.0,1.5,0.0,495,88.45,0,0.0,10.0,1.75,0.0,494,95.9,0,0.0
917504,430.1112496852875,10419,10.0,1.75,0.0,247,70.65,0,0.0,10.0,1.25,0.0,361,84.65,0,0.0
983040,460.8055558204651,11245,10.0,2.0,0.0,238,67.475,0,0.0,10.0,1.75,0.0,401,91.25,0,0.0
1048576,492.0716094970703,12017,10.0,1.75,0.0,353,89.45,0,0.025,10.0,0.25,0.0,365,104.45,0,0.0
1114112,522.8544507026672,12791,10.0,2.25,0.0,500,84.025,0,0.0,10.0,1.75,0.0,500,92.275,0,0.0
1179648,553.0165569782257,13485,10.0,2.75,0.0,264,67.15,0,0.0,10.0,1.25,0.0,500,103.325,0,0.0
1245184,583.2728681564331,14112,10.0,2.75,0.0,377,99.85,0,0.025,10.0,2.0,0.0,500,100.25,0,0.0
1310720,612.7230272293091,14754,10.0,1.75,0.0,500,94.45,0,0.0,10.0,1.5,0.0,381,127.625,0,0.025
1376256,642.5229058265686,15414,10.0,1.75,0.0,500,105.3,0,0.0,10.0,1.5,0.0,497,99.125,0,0.0
1441792,672.6766500473022,15980,10.0,1.25,0.0,498,113.7,0,0.0,10.0,1.75,0.0,500,107.1,0,0.0
1507328,702.8421938419342,16620,10.0,1.0,0.0,500,153.55,0,0.0,10.0,2.25,0.0,500,91.9,0,0.0
1572864,732.6099581718445,17260,10.0,2.25,0.0,353,87.4,0,0.0,10.0,1.5,0.0,500,112.75,0,0.0
1638400,763.2026987075806,17828,10.0,2.0,0.0,500,80.875,0,0.0,10.0,1.75,0.0,500,105.0,0,0.0
1703936,793.9034485816956,18353,10.0,1.0,0.0,500,110.55,0,0.025,10.0,1.25,0.0,500,108.575,0,0.0
1769472,824.5420169830322,18893,10.0,1.25,0.0,500,146.425,0,0.025,10.0,0.75,0.0,500,103.55,0,0.0
1835008,854.9981927871704,19402,10.0,1.5,0.0,407,140.95,0,0.0,10.0,2.25,0.0,500,125.4,0,0.0
1900544,886.0467405319214,19982,10.0,1.0,0.0,500,107.775,0,0.025,10.0,0.75,0.0,500,110.1,0,0.025
1966080,917.2387812137604,20582,10.0,1.25,0.0,500,99.5,0,0.0,10.0,1.0,0.0,500,111.075,0,0.0
2031616,947.3782324790955,21223,10.0,2.5,0.0,500,82.55,0,0.0,10.0,1.0,0.0,336,100.05,0,0.025
2097152,977.492666721344,21893,10.0,1.5,0.0,456,94.3,0,0.0,10.0,0.75,0.0,500,122.35,0,0.0
2162688,1007.6303672790527,22500,10.0,0.5,0.0,500,114.225,0,0.0,10.0,1.75,0.0,500,113.125,0,0.0
2228224,1038.0983390808105,23189,10.0,1.0,0.0,425,109.225,0,0.0,10.0,2.75,0.0,396,105.1,0,0.0
2293760,1068.480805158615,23894,10.0,1.5,0.0,424,98.85,0,0.0,10.0,2.75,0.0,471,90.125,0,0.0
2359296,1098.9813029766083,24571,10.0,2.75,0.0,486,66.275,0,0.0,10.0,1.5,0.0,500,109.5,0,0.0
2424832,1129.7886424064636,25243,10.0,1.5,0.0,500,101.35,0,0.025,10.0,2.5,0.0,500,56.425,0,0.0
2490368,1159.7908687591553,25835,10.0,1.5,0.0,500,83.725,0,0.0,10.0,2.75,0.0,391,95.95,0,0.025
2555904,1189.826570034027,26431,10.0,1.5,0.0,500,105.375,0,0.0,10.0,1.5,0.0,500,99.55,0,0.0
2621440,1220.168032169342,27077,10.0,1.5,0.0,308,88.475,0,0.0,10.0,1.0,0.0,500,129.025,0,0.05
