timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,22.671680212020874,55,10.0,10.0,0.0,247,98.05,0,0.0,10.0,10.0,0.0,2,2.0,0,0.0
65536,43.025097608566284,162,10.0,2.0,0.0,500,443.9,0,0.025,10.0,0.25,0.0,500,493.925,0,0.0
98304,63.62495422363281,235,10.0,6.25,0.0,500,269.625,0,0.0,10.0,1.25,0.0,500,444.9,0,0.0
131072,83.95548748970032,334,10.0,2.5,0.0,500,424.875,0,0.0,10.0,0.5,0.0,500,481.8,0,0.0
163840,104.30279326438904,428,10.0,6.5,0.0,500,243.5,0,0.0,10.0,2.25,0.0,500,396.975,0,0.0
196608,125.15949034690857,528,10.0,5.0,0.0,500,321.35,0,0.0,10.0,0.75,0.0,500,462.6,0,0.0
229376,145.05123281478882,629,10.0,5.25,0.0,500,296.1,0,0.0,10.0,1.5,0.0,500,427.975,0,0.0
262144,166.1280586719513,740,10.0,5.0,0.0,500,318.175,0,0.0,10.0,0.25,0.0,500,487.55,0,0.0
294912,186.17747974395752,855,10.0,5.0,0.0,500,313.975,0,0.0,10.0,1.5,0.0,500,430.95,0,0.0
327680,207.34655237197876,951,10.0,4.5,0.0,500,319.5,0,0.025,10.0,0.25,0.0,500,495.125,0,0.0
360448,227.175607919693,1060,10.0,4.25,0.0,500,338.625,0,0.0,10.0,1.25,0.0,500,441.7,0,0.0
393216,249.10689854621887,1158,10.0,4.0,0.0,500,361.55,0,0.0,10.0,0.5,0.0,500,475.075,0,0.0
425984,268.80053067207336,1266,10.0,5.75,0.0,500,277.0,0,0.025,10.0,2.0,0.0,500,407.425,0,0.0
458752,290.4819107055664,1354,10.0,5.0,0.0,500,321.45,0,0.025,10.0,0.5,0.0,500,491.525,0,0.0
491520,310.2544000148773,1460,10.0,3.75,0.0,500,357.7,0,0.0,10.0,1.75,0.0,500,434.0,0,0.0
524288,332.2683455944061,1575,10.0,6.5,0.0,500,238.425,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
557056,352.334997177124,1676,10.0,3.75,0.0,500,354.825,0,0.025,10.0,1.0,0.0,500,463.35,0,0.0
589824,374.15703225135803,1793,10.0,4.5,0.0,500,334.275,0,0.025,10.0,0.25,0.0,500,496.425,0,0.0
622592,394.1052556037903,1880,10.0,5.5,0.0,500,303.25,0,0.0,10.0,1.5,0.0,500,444.95,0,0.0
655360,415.2957544326782,1998,10.0,4.75,0.0,500,329.3,0,0.025,10.0,0.5,0.0,500,484.175,0,0.0
688128,435.4868538379669,2093,10.0,6.75,0.0,500,279.525,0,0.0,10.0,0.5,0.0,500,483.15,0,0.0
