timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,47.7290313243866,54,10.0,10.0,0.0,249,82.225,0,0.0,10.0,10.0,0.0,2,1.25,0,0.0
131072,93.87358355522156,293,10.0,1.25,0.0,500,477.375,0,0.025,10.0,0.25,0.0,500,487.7,0,0.0
196608,139.6960964202881,390,10.0,6.5,0.0,500,253.275,0,0.0,10.0,1.5,0.0,500,426.725,0,0.0
262144,186.14367938041687,602,10.0,1.25,0.0,500,461.725,0,0.0,10.0,1.0,0.0,500,456.9,0,0.0
327680,231.692138671875,721,10.0,4.25,0.0,500,338.325,0,0.0,10.0,2.5,0.0,500,379.625,0,0.0
393216,277.16299629211426,932,10.0,2.25,0.0,500,420.875,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
458752,321.7594757080078,1090,10.0,4.25,0.0,500,327.25,0,0.0,10.0,1.25,0.0,500,442.275,0,0.0
524288,367.4196367263794,1283,10.0,3.25,0.0,500,375.55,0,0.0,10.0,0.25,0.0,500,487.6,0,0.0
589824,412.80159306526184,1452,10.0,5.0,0.0,500,307.975,0,0.0,10.0,2.0,0.0,500,406.85,0,0.0
655360,458.548707485199,1604,10.0,1.25,0.0,500,465.15,0,0.025,10.0,0.5,0.0,500,475.1,0,0.0
720896,504.615754365921,1789,10.0,3.25,0.0,500,363.3,0,0.025,10.0,2.25,0.0,500,396.45,0,0.0
786432,550.5249879360199,1979,10.0,3.75,0.0,500,375.225,0,0.0,10.0,0.25,0.0,500,487.575,0,0.0
851968,595.7044298648834,2133,10.0,2.75,0.0,500,399.75,0,0.0,10.0,1.0,0.0,500,454.025,0,0.0
917504,641.5035715103149,2312,10.0,3.75,0.0,500,336.7,0,0.0,10.0,0.25,0.0,500,487.525,0,0.0
983040,686.9359180927277,2482,10.0,3.75,0.0,500,360.05,0,0.0,10.0,2.5,0.0,500,392.4,0,0.0
1048576,733.01495885849,2668,10.0,2.5,0.0,500,403.85,0,0.025,10.0,0.25,0.0,500,487.525,0,0.0
1114112,778.6594474315643,2821,10.0,4.0,0.0,500,329.325,0,0.0,10.0,0.75,0.0,500,469.85,0,0.0
1179648,824.4928288459778,3013,10.0,2.75,0.0,500,395.4,0,0.025,10.0,0.5,0.0,500,483.9,0,0.0
1245184,870.0517926216125,3169,10.0,4.25,0.0,500,325.625,0,0.0,10.0,2.25,0.0,500,404.05,0,0.0
1310720,915.9900982379913,3349,10.0,2.25,0.0,500,395.5,0,0.0,10.0,0.25,0.0,500,496.625,0,0.0
1376256,961.5210616588593,3523,10.0,2.5,0.0,500,394.175,0,0.0,10.0,1.75,0.0,500,439.325,0,0.0
1441792,1007.4833693504333,3688,10.0,3.5,0.0,500,353.65,0,0.0,10.0,1.5,0.0,500,452.55,0,0.0
1507328,1053.6018738746643,3871,10.0,4.5,0.0,500,323.325,0,0.0,10.0,1.75,0.0,500,428.35,0,0.0
1572864,1099.1952126026154,4045,10.0,3.5,0.0,500,346.25,0,0.0,10.0,0.5,0.0,500,475.05,0,0.0
1638400,1144.6881265640259,4223,10.0,2.75,0.0,500,381.925,0,0.0,10.0,2.0,0.0,500,429.2,0,0.0
1703936,1190.846394777298,4395,10.0,3.25,0.0,500,360.65,0,0.0,10.0,0.25,0.0,500,487.7,0,0.0
1769472,1236.7586336135864,4583,10.0,3.25,0.0,500,374.575,0,0.0,10.0,1.25,0.0,500,448.875,0,0.0
1835008,1282.5378313064575,4753,10.0,4.25,0.0,500,341.875,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1900544,1328.3514404296875,4932,10.0,2.75,0.0,500,380.875,0,0.0,10.0,1.75,0.0,500,430.3,0,0.0
1966080,1374.0557217597961,5127,10.0,5.25,0.0,500,274.875,0,0.0,10.0,0.25,0.0,500,487.55,0,0.0
2031616,1418.941843509674,5293,10.0,2.0,0.0,500,436.975,0,0.0,10.0,0.5,0.0,500,480.4,0,0.0
2097152,1463.973363161087,5479,10.0,3.5,0.0,500,370.9,0,0.0,10.0,0.75,0.0,500,473.475,0,0.0
2162688,1509.8278822898865,5670,10.0,3.75,0.0,500,365.425,0,0.0,10.0,0.75,0.0,500,467.125,0,0.0
