timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,46.82767200469971,25,10.0,10.0,0.0,247,115.72,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
131072,87.18397688865662,262,10.0,1.0,0.0,500,487.25,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
196608,127.1304566860199,334,10.0,7.75,0.0,500,213.5,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
262144,167.98282432556152,542,10.0,1.5,0.0,500,465.925,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
327680,208.50110721588135,661,10.0,5.75,0.0,500,292.8,0,0.0,10.0,0.5,0.0,500,476.3,0,0.0
393216,249.3140003681183,853,10.0,2.5,0.0,500,414.875,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
458752,290.33723163604736,975,10.0,3.25,0.0,500,365.825,0,0.0,10.0,0.25,0.0,500,488.45,0,0.0
524288,330.9055941104889,1172,10.0,2.5,0.0,500,396.65,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
589824,371.70804834365845,1299,10.0,2.5,0.0,500,392.125,0,0.0,10.0,0.25,0.0,500,488.75,0,0.0
655360,412.5181200504303,1498,10.0,2.0,0.0,500,432.275,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
720896,452.7190878391266,1620,10.0,4.0,0.0,500,337.975,0,0.0,10.0,0.25,0.0,500,489.05,0,0.0
786432,492.9714295864105,1809,10.0,1.75,0.0,500,426.725,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
851968,533.7498090267181,1928,10.0,1.75,0.0,500,429.875,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
917504,573.7941360473633,2114,10.0,1.25,0.0,500,455.025,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
983040,613.7183389663696,2239,10.0,2.25,0.0,500,394.975,0,0.0,10.0,1.25,0.0,500,448.35,0,0.0
1048576,654.2518689632416,2428,10.0,2.25,0.0,500,401.025,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
1114112,694.9205293655396,2559,10.0,2.0,0.0,500,424.55,0,0.0,10.0,1.0,0.0,500,459.8,0,0.0
1179648,735.8018450737,2746,10.0,2.5,0.0,500,380.075,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1245184,773.5696022510529,2879,10.0,2.5,0.0,500,394.25,0,0.0,10.0,0.5,0.0,500,479.3,0,0.0
1310720,811.7402498722076,3057,10.0,0.5,0.0,500,475.5,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1376256,849.601794719696,3189,10.0,3.25,0.0,500,375.3,0,0.025,10.0,0.5,0.0,500,481.15,0,0.0
1441792,887.4773397445679,3372,10.0,1.5,0.0,500,449.25,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1507328,925.4030947685242,3496,10.0,2.5,0.0,500,401.875,0,0.0,10.0,0.75,0.0,500,472.55,0,0.0
1572864,963.5214130878448,3679,10.0,2.0,0.0,500,408.275,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1638400,1001.4408850669861,3818,10.0,3.0,0.0,500,391.725,0,0.0,10.0,0.75,0.0,500,473.7,0,0.0
1703936,1039.3372828960419,3999,10.0,2.5,0.0,500,387.475,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1769472,1077.3254039287567,4142,10.0,1.75,0.0,500,422.825,0,0.025,10.0,0.5,0.0,500,480.25,0,0.0
1835008,1116.9169840812683,4299,10.0,1.75,0.0,500,441.425,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
1900544,1154.6469848155975,4451,10.0,2.0,0.0,500,408.0,0,0.0,10.0,0.5,0.0,500,480.15,0,0.0
1966080,1192.4243488311768,4616,10.0,2.0,0.0,500,422.125,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
2031616,1230.2543165683746,4774,10.0,4.0,0.0,500,339.1,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2097152,1268.2316825389862,4944,10.0,2.0,0.0,500,427.125,0,0.025,10.0,0.75,0.0,500,495.45,0,0.0
2162688,1306.2125391960144,5079,10.0,0.75,0.0,500,475.0,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2228224,1344.148630142212,5240,10.0,1.25,0.0,500,448.95,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2293760,1381.9295382499695,5392,10.0,3.25,0.0,500,373.525,0,0.0,10.0,0.75,0.0,500,483.65,0,0.0
2359296,1419.9989483356476,5568,10.0,2.75,0.0,500,391.1,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2424832,1458.4520213603973,5723,10.0,1.5,0.0,500,440.725,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2490368,1496.5242357254028,5906,10.0,1.75,0.0,500,427.625,0,0.0,10.0,0.25,0.0,500,496.1,0,0.0
2555904,1534.3714838027954,6053,10.0,2.5,0.0,500,391.575,0,0.0,10.0,0.25,0.0,500,493.25,0,0.0
2621440,1572.245817899704,6236,10.0,2.25,0.0,500,416.075,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2686976,1610.19766163826,6399,10.0,3.0,0.0,500,380.3,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2752512,1648.3071963787079,6566,10.0,2.75,0.0,500,382.4,0,0.0,10.0,0.5,0.0,500,499.95,0,0.0
2818048,1686.275587797165,6730,10.0,3.0,0.0,500,388.175,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2883584,1724.1861350536346,6887,10.0,3.0,0.0,500,400.175,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
2949120,1762.3610112667084,7054,10.0,2.75,0.0,500,384.35,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3014656,1801.243271112442,7213,10.0,2.75,0.0,500,384.3,0,0.0,10.0,0.5,0.0,500,476.15,0,0.0
3080192,1839.2205958366394,7360,10.0,1.25,0.0,500,438.875,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3145728,1877.0296804904938,7522,10.0,2.0,0.0,500,413.625,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3211264,1914.8756082057953,7680,10.0,2.75,0.0,500,385.55,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3276800,1952.869826555252,7837,10.0,2.25,0.0,500,412.775,0,0.0,10.0,0.75,0.0,500,469.35,0,0.0
3342336,1990.9501473903656,8006,10.0,1.5,0.0,500,441.5,0,0.0,10.0,0.25,0.0,500,495.05,0,0.0
3407872,2028.8763756752014,8160,10.0,2.0,0.0,500,420.375,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3473408,2066.637384414673,8314,10.0,1.25,0.0,500,455.125,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
3538944,2104.449113845825,8475,10.0,2.5,0.0,500,399.65,0,0.0,10.0,0.25,0.0,500,495.15,0,0.0
3604480,2142.967038869858,8645,10.0,2.5,0.0,500,386.35,0,0.025,0.0,0.0,0.0,500,500.0,0,0.0
3670016,2181.007703781128,8802,10.0,3.25,0.0,500,374.5,0,0.025,10.0,0.25,0.0,500,489.65,0,0.0
3735552,2218.732215642929,8969,10.0,1.5,0.0,500,440.225,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
