timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,19.99791669845581,66,10.0,10.0,0.0,197,57.025,0,0.0,10.0,10.0,0.0,2,2.0,0,0.0
65536,38.2223174571991,174,10.0,4.0,0.0,500,399.725,0,0.0,10.0,0.5,0.0,500,475.075,0,0.0
98304,55.950788497924805,245,10.0,6.5,0.0,500,252.2,0,0.0,10.0,1.0,0.0,500,450.75,0,0.0
131072,74.1071240901947,363,10.0,4.0,0.0,500,359.1,0,0.0,10.0,0.75,0.0,500,476.1,0,0.0
163840,91.85593128204346,454,10.0,6.25,0.0,500,254.825,0,0.0,10.0,1.5,0.0,500,440.525,0,0.0
196608,109.7898178100586,566,10.0,4.25,0.0,500,318.75,0,0.0,10.0,0.5,0.0,500,482.1,0,0.0
229376,127.82287621498108,685,10.0,6.0,0.0,500,265.3,0,0.0,10.0,1.75,0.0,500,425.35,0,0.0
262144,145.55900597572327,794,10.0,3.5,0.0,500,367.625,0,0.0,10.0,1.0,0.0,500,464.825,0,0.0
294912,163.68207550048828,903,10.0,5.25,0.0,500,283.625,0,0.0,10.0,1.75,0.0,500,437.225,0,0.0
327680,181.46985054016113,1006,10.0,5.5,0.0,500,295.95,0,0.0,10.0,0.5,0.0,500,482.975,0,0.0
360448,199.3848397731781,1106,10.0,5.0,0.0,500,288.75,0,0.0,10.0,1.25,0.0,500,448.625,0,0.0
393216,217.23895502090454,1218,10.0,4.75,0.0,500,303.05,0,0.0,10.0,0.25,0.0,500,495.45,0,0.0
425984,235.08327317237854,1357,10.0,6.25,0.0,500,237.05,0,0.0,10.0,1.25,0.0,500,451.325,0,0.0
458752,252.94121932983398,1473,10.0,4.75,0.0,500,328.3,0,0.0,10.0,0.25,0.0,500,495.8,0,0.0
491520,270.61045837402344,1569,10.0,4.25,0.0,500,324.525,0,0.0,10.0,2.5,0.0,500,404.025,0,0.0
524288,288.4192202091217,1681,10.0,4.75,0.0,500,317.475,0,0.0,10.0,1.75,0.0,500,436.175,0,0.0
557056,306.58378076553345,1786,10.0,6.5,0.0,500,251.1,0,0.0,10.0,2.5,0.0,500,406.65,0,0.0
589824,324.18050813674927,1907,10.0,5.25,0.0,500,306.325,0,0.0,10.0,0.5,0.0,500,484.0,0,0.0
622592,342.07794713974,2008,10.0,6.25,0.0,500,240.575,0,0.0,10.0,2.5,0.0,500,400.9,0,0.0
655360,359.7159368991852,2127,10.0,5.25,0.0,500,290.575,0,0.0,10.0,1.0,0.0,500,457.45,0,0.025
