timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,36.39349031448364,74,10.0,10.0,0.0,251,71.375,0,0.0,10.0,10.0,0.0,1,1.0,0,0.0
131072,70.49913191795349,307,10.0,2.25,0.0,500,429.925,0,0.0,10.0,0.25,0.0,500,487.55,0,0.0
196608,104.85817551612854,429,10.0,7.5,0.0,500,193.625,0,0.0,10.0,0.5,0.0,500,475.5,0,0.0
262144,140.18166971206665,637,10.0,3.0,0.0,500,384.15,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
327680,176.41062116622925,782,10.0,5.0,0.0,500,311.525,0,0.0,10.0,2.0,0.0,500,404.675,0,0.0
393216,215.09308528900146,989,10.0,3.25,0.0,500,365.1,0,0.025,10.0,0.75,0.0,500,469.6,0,0.0
458752,253.26855778694153,1119,10.0,3.5,0.0,500,384.825,0,0.0,10.0,1.5,0.0,500,428.075,0,0.025
524288,291.28691840171814,1313,10.0,1.5,0.0,500,430.85,0,0.0,10.0,0.25,0.0,500,487.525,0,0.0
589824,329.5267698764801,1463,10.0,2.75,0.0,500,385.35,0,0.0,10.0,1.75,0.0,500,418.3,0,0.0
655360,367.89927434921265,1651,10.0,2.25,0.0,500,401.075,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
720896,406.0885181427002,1808,10.0,3.25,0.0,500,380.675,0,0.0,10.0,2.5,0.0,500,391.95,0,0.0
786432,444.36032700538635,1978,10.0,3.25,0.0,500,354.175,0,0.0,10.0,1.0,0.0,500,450.25,0,0.0
851968,482.29040908813477,2161,10.0,2.5,0.0,500,382.8,0,0.0,10.0,1.75,0.0,500,420.025,0,0.0
917504,520.6216225624084,2334,10.0,4.75,0.0,500,343.425,0,0.0,10.0,0.25,0.0,500,495.825,0,0.0
983040,558.784187078476,2534,10.0,2.5,0.0,500,395.175,0,0.0,10.0,1.75,0.0,500,428.325,0,0.0
1048576,596.5682668685913,2699,10.0,2.0,0.0,500,415.675,0,0.0,10.0,0.25,0.0,500,487.525,0,0.0
1114112,635.2242140769958,2891,10.0,3.75,0.0,500,341.425,0,0.0,10.0,2.5,0.0,500,394.25,0,0.0
1179648,673.6627016067505,3051,10.0,3.0,0.0,500,400.575,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
1245184,712.5166380405426,3241,10.0,3.75,0.0,500,375.525,0,0.0,10.0,2.0,0.0,500,408.9,0,0.0
1310720,751.0355634689331,3420,10.0,3.5,0.0,500,378.85,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
