timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
32768,18.608991146087646,65,10.0,10.0,0.0,252,107.075,0,0.0,10.0,10.0,0.0,5,3.5,0,0.0
65536,35.32355308532715,176,10.0,3.25,0.0,500,410.2,0,0.025,10.0,0.5,0.0,500,481.475,0,0.0
98304,51.951106786727905,274,10.0,7.0,0.0,500,201.625,0,0.0,10.0,0.75,0.0,500,469.325,0,0.025
131072,68.71794986724854,381,10.0,4.75,0.0,500,361.45,0,0.0,10.0,0.75,0.0,500,469.4,0,0.0
163840,86.36406564712524,494,10.0,6.25,0.0,500,242.625,0,0.0,10.0,1.25,0.0,500,446.3,0,0.0
196608,104.64746284484863,593,10.0,5.0,0.0,500,302.0,0,0.0,10.0,1.5,0.0,500,432.825,0,0.0
229376,122.47920179367065,697,10.0,5.5,0.0,500,276.575,0,0.0,10.0,1.25,0.0,500,448.05,0,0.0
262144,140.30045366287231,796,10.0,4.5,0.0,500,322.6,0,0.0,10.0,1.0,0.0,500,450.225,0,0.0
294912,158.16378498077393,903,10.0,5.0,0.0,500,306.825,0,0.0,10.0,2.0,0.0,500,410.55,0,0.025
327680,176.0152542591095,1026,10.0,6.0,0.0,500,230.15,0,0.0,10.0,0.75,0.0,500,470.175,0,0.0
360448,194.08290648460388,1126,10.0,4.5,0.0,500,312.975,0,0.025,10.0,1.0,0.0,500,454.65,0,0.0
393216,211.7653350830078,1238,10.0,5.5,0.0,500,287.45,0,0.0,10.0,1.0,0.0,500,466.2,0,0.0
425984,229.86034083366394,1328,10.0,4.0,0.0,500,341.925,0,0.0,10.0,2.5,0.0,500,409.8,0,0.0
458752,247.75528740882874,1450,10.0,5.75,0.0,500,278.2,0,0.0,10.0,0.75,0.0,500,480.125,0,0.0
491520,265.5117874145508,1552,10.0,5.5,0.0,500,276.425,0,0.0,10.0,1.5,0.0,500,440.85,0,0.0
524288,283.4399883747101,1679,10.0,5.5,0.0,500,267.025,0,0.0,10.0,1.25,0.0,500,455.275,0,0.0
557056,301.2172820568085,1803,10.0,7.25,0.0,500,195.225,0,0.05,10.0,1.75,0.0,500,423.0,0,0.0
589824,319.0462951660156,1915,10.0,5.25,0.0,500,321.075,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
622592,336.8980219364166,2037,10.0,7.0,0.0,500,208.825,0,0.025,10.0,2.0,0.0,500,415.1,0,0.0
655360,354.5143506526947,2146,10.0,4.75,0.0,500,301.375,0,0.025,10.0,1.5,0.0,500,435.425,0,0.0
688128,372.482617855072,2260,10.0,5.25,0.0,500,301.775,0,0.0,10.0,1.5,0.0,500,432.975,0,0.0
720896,390.1911976337433,2364,10.0,4.5,0.0,500,309.125,0,0.0,10.0,0.5,0.0,500,475.1,0,0.0
753664,408.1579797267914,2473,10.0,4.0,0.0,500,337.625,0,0.025,10.0,1.5,0.0,500,445.675,0,0.0
786432,425.8019971847534,2578,10.0,5.25,0.0,500,273.95,0,0.0,10.0,0.75,0.0,500,462.7,0,0.0
819200,444.0568919181824,2683,10.0,3.75,0.0,500,364.025,0,0.0,10.0,1.25,0.0,500,452.4,0,0.0
851968,461.7227566242218,2782,10.0,6.5,0.0,500,253.7,0,0.0,10.0,1.25,0.0,500,465.625,0,0.0
884736,479.3595190048218,2885,10.0,4.25,0.0,500,331.325,0,0.0,10.0,1.25,0.0,500,449.2,0,0.0
917504,497.2110948562622,2987,10.0,4.75,0.0,500,309.725,0,0.0,10.0,0.75,0.0,500,462.725,0,0.0
950272,514.8624680042267,3103,10.0,5.25,0.0,500,293.0,0,0.0,10.0,1.5,0.0,500,437.975,0,0.0
983040,532.8316004276276,3201,10.0,5.25,0.0,500,297.4,0,0.0,10.0,1.0,0.0,500,471.4,0,0.0
1015808,550.4371905326843,3318,10.0,5.0,0.0,500,291.1,0,0.0,10.0,1.5,0.0,500,440.575,0,0.0
1048576,568.5973291397095,3421,10.0,4.75,0.0,500,300.775,0,0.025,10.0,1.0,0.0,500,464.875,0,0.0
1081344,586.2967884540558,3543,10.0,5.25,0.0,500,290.95,0,0.0,10.0,1.25,0.0,500,442.85,0,0.0
1114112,604.7373781204224,3645,10.0,3.75,0.0,500,361.55,0,0.0,10.0,1.0,0.0,500,461.4,0,0.0
1146880,622.6486167907715,3740,10.0,4.5,0.0,500,346.1,0,0.0,10.0,2.5,0.0,500,398.525,0,0.0
1179648,640.5008635520935,3862,10.0,4.75,0.0,500,316.05,0,0.0,10.0,1.75,0.0,500,428.6,0,0.025
1212416,658.3533248901367,3954,10.0,5.0,0.0,500,304.975,0,0.0,10.0,1.0,0.0,500,464.15,0,0.0
1245184,675.8943228721619,4057,10.0,4.75,0.0,500,302.525,0,0.0,10.0,1.25,0.0,500,454.475,0,0.0
1277952,694.2793383598328,4165,10.0,5.0,0.0,500,283.9,0,0.0,10.0,1.25,0.0,500,444.5,0,0.0
1310720,713.2206633090973,4279,10.0,5.25,0.0,500,282.35,0,0.0,10.0,0.75,0.0,500,474.7,0,0.0
1343488,731.9327392578125,4402,10.0,6.75,0.0,500,233.2,0,0.025,10.0,0.75,0.0,500,475.25,0,0.0
1376256,750.7434558868408,4508,10.0,4.75,0.0,500,316.275,0,0.0,10.0,2.0,0.0,500,445.775,0,0.0
1409024,769.5116209983826,4608,10.0,3.5,0.0,500,341.925,0,0.0,10.0,0.25,0.0,500,487.6,0,0.025
1441792,788.1960000991821,4731,10.0,5.5,0.0,500,291.975,0,0.0,10.0,1.25,0.0,500,447.275,0,0.0
1474560,807.2362418174744,4830,10.0,5.0,0.0,500,318.5,0,0.0,10.0,0.5,0.0,500,475.1,0,0.0
1507328,826.0281949043274,4975,10.0,5.0,0.0,500,284.175,0,0.0,10.0,1.0,0.0,500,459.675,0,0.0
1540096,844.8230993747711,5081,10.0,5.25,0.0,500,285.15,0,0.0,10.0,0.75,0.0,500,463.6,0,0.0
