timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,34.37583589553833,67,10.0,10.0,0.0,248,81.125,0,0.0,10.0,10.0,0.0,3,1.6666666666666667,0,0.0
131072,67.0394458770752,287,10.0,1.0,0.0,500,477.425,0,0.025,10.0,0.75,0.0,500,468.975,0,0.0
196608,99.09848427772522,392,10.0,5.5,0.0,500,260.125,0,0.0,10.0,1.25,0.0,500,438.625,0,0.0
262144,131.62165522575378,601,10.0,1.75,0.0,500,445.95,0,0.0,10.0,0.25,0.0,500,487.525,0,0.0
327680,165.47039222717285,733,10.0,3.0,0.0,500,378.675,0,0.0,10.0,1.75,0.0,500,416.125,0,0.0
393216,199.47251749038696,941,10.0,2.75,0.0,500,387.525,0,0.025,10.0,0.25,0.0,500,494.75,0,0.0
458752,233.55385732650757,1084,10.0,3.5,0.0,500,356.7,0,0.0,10.0,1.0,0.0,500,459.6,0,0.0
524288,269.1167893409729,1281,10.0,3.25,0.0,500,374.5,0,0.025,10.0,0.25,0.0,500,487.525,0,0.0
589824,305.15604066848755,1429,10.0,3.75,0.0,500,368.625,0,0.0,10.0,2.0,0.0,500,408.975,0,0.0
655360,344.1355574131012,1629,10.0,3.0,0.0,500,379.075,0,0.0,0.0,0.0,0.0,500,500.0,0,0.0
720896,382.43625044822693,1789,10.0,4.0,0.0,500,330.55,0,0.0,10.0,1.25,0.0,500,451.25,0,0.0
786432,420.80042910575867,1985,10.0,4.0,0.0,500,346.175,0,0.0,10.0,0.5,0.0,500,475.05,0,0.0
851968,459.42263293266296,2154,10.0,4.5,0.0,500,325.35,0,0.025,10.0,1.75,0.0,500,423.675,0,0.0
917504,497.89991450309753,2322,10.0,2.5,0.0,500,380.35,0,0.025,10.0,0.5,0.0,500,475.2,0,0.0
983040,536.2306392192841,2497,10.0,3.25,0.0,500,366.825,0,0.0,10.0,3.5,0.0,500,353.8,0,0.0
1048576,574.5945043563843,2659,10.0,2.25,0.0,500,421.075,0,0.0,10.0,1.0,0.0,500,467.3,0,0.0
1114112,612.8615765571594,2853,10.0,3.25,0.0,500,391.825,0,0.0,10.0,2.75,0.0,500,393.6,0,0.0
