timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,34.283947229385376,167,2.0,0.25,0.0,233,79.975,0,0.0,13.0,0.8,0.0,250,98.025,0,0.0
131072,62.83970355987549,275,13.0,1.1,0.0,511,258.15,0,0.0,13.0,0.975,0.0,507,253.8,0,0.025
196608,90.5781672000885,423,13.0,1.85,0.0,728,368.975,0,0.0,3.0,0.875,0.0,761,322.3,0,0.0
262144,118.65765500068665,637,13.0,1.175,0.0,1000,513.025,0,0.0,13.0,1.325,0.0,1000,484.625,0,0.0
327680,146.21514630317688,842,3.0,1.025,0.0,1000,397.275,0,0.0,3.0,0.8,0.0,1000,410.7,0,0.0
393216,174.83592057228088,971,13.0,1.875,0.0,1000,256.875,0,0.0,13.0,1.1,0.0,1000,270.55,0,0.0
458752,203.32689762115479,1098,3.0,0.925,0.0,1000,452.675,0,0.0,3.0,0.9,0.0,1000,323.15,0,0.0
524288,231.74140787124634,1254,13.0,1.65,0.0,1000,591.15,0,0.0,3.0,0.9,0.0,1000,463.4,0,0.0
589824,260.07482266426086,1476,3.0,1.0,0.0,1000,328.275,0,0.0,13.0,1.45,0.0,1000,400.75,0,0.0
655360,287.7926697731018,1656,13.0,1.325,0.0,1000,322.225,0,0.025,13.0,2.0,0.0,1000,426.55,0,0.0
720896,315.83779525756836,1840,13.0,1.15,0.0,1000,256.5,0,0.0,13.0,1.225,0.0,1000,261.475,0,0.05
786432,343.3671627044678,1998,13.0,1.225,0.0,1000,364.425,0,0.0,13.0,1.175,0.0,1000,381.625,0,0.0
851968,370.9711027145386,2182,13.0,1.55,0.0,1000,337.55,0,0.0,3.0,1.025,0.0,1000,261.95,0,0.0
917504,398.7905888557434,2361,13.0,1.325,0.0,1000,387.75,0,0.025,13.0,1.4,0.0,1000,356.8,0,0.0
983040,426.36815071105957,2526,3.0,1.0,0.0,1000,381.925,0,0.0,13.0,1.425,0.0,1000,399.45,0,0.025
1048576,453.6733400821686,2653,13.0,1.525,0.0,1000,455.625,0,0.0,13.0,1.375,0.0,1000,372.325,0,0.0
1114112,481.91170930862427,2805,13.0,1.625,0.0,1000,472.825,0,0.025,13.0,1.5,0.0,1000,395.75,0,0.0
1179648,510.18081545829773,2967,13.0,1.975,0.0,1000,374.725,0,0.0,13.0,1.65,0.0,1000,403.45,0,0.0
1245184,538.3180181980133,3113,13.0,2.225,0.0,1000,532.8,0,0.0,13.0,2.025,0.0,1000,443.775,0,0.0
1310720,566.3156297206879,3251,13.0,2.375,0.0,1000,399.75,0,0.0,13.0,1.75,0.0,1000,426.35,0,0.0
1376256,594.3681063652039,3424,13.0,3.1,0.0,1000,482.15,0,0.025,13.0,1.8,0.0,1000,485.275,0,0.0
1441792,622.4157981872559,3582,13.0,2.075,0.0,1000,389.975,0,0.025,13.0,2.375,0.0,1000,385.15,0,0.0
1507328,650.1063003540039,3718,13.0,2.625,0.0,1000,461.525,0,0.0,13.0,2.425,0.0,1000,441.45,0,0.0
1572864,677.6740930080414,3865,13.0,1.95,0.0,1000,526.4,0,0.05,13.0,2.675,0.0,1000,448.25,0,0.025
1638400,705.2790944576263,4016,13.0,3.35,0.0,1000,505.175,0,0.025,13.0,2.825,0.0,1000,477.425,0,0.0
1703936,732.8116533756256,4178,13.0,2.35,0.0,1000,427.55,0,0.025,13.0,1.9,0.0,1000,428.5,0,0.0
1769472,760.532698392868,4327,13.0,3.65,0.0,1000,477.9,0,0.0,13.0,3.425,0.0,1000,521.875,0,0.0
1835008,788.2807369232178,4479,10.0,2.0,0.0,1000,576.95,0,0.0,13.0,2.7,0.0,1000,479.95,0,0.0
