timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,37.41693878173828,196,4.0,0.8,0.0,250,99.95,0,0.0,3.0,0.65,0.0,254,94.075,0,0.0
131072,69.10435342788696,368,5.0,1.0,0.0,512,252.475,0,0.025,3.0,1.125,0.0,465,210.375,0,0.0
196608,100.23018622398376,587,5.0,1.3,0.0,730,310.175,0,0.0,6.0,0.9,0.0,738,196.075,0,0.0
262144,132.00013041496277,789,4.0,1.4,0.0,1000,415.95,0,0.0,3.0,1.275,0.0,1000,443.15,0,0.0
327680,163.08030223846436,971,5.0,1.225,0.0,1000,281.25,0,0.0,7.0,1.35,0.0,1000,297.225,0,0.0
393216,193.93508386611938,1117,4.0,1.15,0.0,1000,257.45,0,0.0,5.0,1.475,0.0,1000,317.375,0,0.0
458752,225.4717926979065,1268,3.0,0.95,0.0,1000,471.75,0,0.025,5.0,1.625,0.0,1000,427.6,0,0.0
524288,256.0939757823944,1431,5.0,1.125,0.0,1000,372.5,0,0.0,3.0,0.925,0.0,1000,279.95,0,0.0
589824,286.96556305885315,1619,4.0,1.25,0.0,1000,449.325,0,0.0,5.0,1.275,0.0,1000,528.175,0,0.0
655360,317.9962921142578,1785,4.0,0.975,0.0,1000,359.925,0,0.025,3.0,0.975,0.0,1000,267.725,0,0.0
720896,348.5211172103882,1939,4.0,1.075,0.0,1000,410.3,0,0.0,5.0,1.1,0.0,1000,340.0,0,0.0
786432,379.7975797653198,2111,4.0,1.125,0.0,1000,459.625,0,0.0,4.0,1.15,0.0,1000,471.025,0,0.0
851968,410.8933951854706,2286,4.0,1.275,0.0,1000,429.025,0,0.0,3.0,0.975,0.0,1000,319.45,0,0.0
917504,442.3219735622406,2433,4.0,0.975,0.0,1000,406.525,0,0.0,6.0,1.325,0.0,1000,496.1,0,0.0
983040,474.0300588607788,2578,4.0,1.15,0.0,1000,419.025,0,0.0,6.0,1.6,0.0,1000,351.625,0,0.0
1048576,505.6246192455292,2727,4.0,1.175,0.0,1000,474.9,0,0.025,4.0,1.175,0.0,1000,545.125,0,0.0
1114112,537.8511323928833,2867,4.0,1.375,0.0,1000,507.0,0,0.0,5.0,1.525,0.0,1000,515.575,0,0.0
1179648,569.6868813037872,2977,4.0,1.4,0.0,1000,548.775,0,0.0,5.0,1.575,0.0,1000,588.475,0,0.0
1245184,601.0834629535675,3102,6.0,1.325,0.0,1000,460.1,0,0.0,6.0,1.225,0.0,1000,423.475,0,0.0
1310720,632.2749922275543,3221,6.0,1.775,0.0,1000,579.975,0,0.0,5.0,1.875,0.0,1000,549.55,0,0.0
1376256,662.8990588188171,3358,4.0,1.425,0.0,1000,566.425,0,0.0,6.0,1.5,0.0,1000,452.575,0,0.0
1441792,693.4443712234497,3499,6.0,1.85,0.0,1000,513.925,0,0.025,5.0,1.725,0.0,1000,584.025,0,0.0
1507328,724.2826328277588,3627,5.0,1.325,0.0,1000,514.525,0,0.025,5.0,1.875,0.0,1000,523.6,0,0.0
1572864,755.0693714618683,3747,6.0,1.9,0.0,1000,632.4,0,0.0,6.0,1.775,0.0,1000,568.225,0,0.0
1638400,785.6797940731049,3889,6.0,1.5,0.0,1000,448.8,0,0.0,6.0,1.85,0.0,1000,563.325,0,0.0
1703936,816.8982830047607,4019,6.0,1.625,0.0,1000,531.375,0,0.0,5.0,1.6,0.0,1000,487.875,0,0.0
1769472,848.0219492912292,4147,6.0,1.75,0.0,1000,454.95,0,0.0,4.0,1.275,0.0,1000,422.725,0,0.0
1835008,879.1708788871765,4299,5.0,1.1,0.0,1000,389.5,0,0.0,5.0,1.45,0.0,1000,426.15,0,0.0
1900544,910.31187915802,4453,5.0,1.175,0.0,1000,455.2,0,0.025,5.0,1.225,0.0,1000,448.575,0,0.0
1966080,940.6009738445282,4608,8.0,1.575,0.0,1000,463.675,0,0.0,6.0,1.5,0.0,1000,426.825,0,0.0
2031616,970.9849891662598,4743,6.0,2.2,0.0,1000,536.65,0,0.0,6.0,1.5,0.0,1000,402.625,0,0.025
2097152,1000.9895732402802,4918,5.0,1.95,0.0,1000,467.675,0,0.0,8.0,1.75,0.0,1000,453.875,0,0.0
2162688,1031.1316294670105,5074,5.0,1.375,0.0,1000,338.125,0,0.0,5.0,1.775,0.0,1000,436.15,0,0.0
2228224,1061.5770320892334,5202,5.0,1.8,0.0,1000,483.075,0,0.0,5.0,1.2,0.0,1000,446.725,0,0.0
2293760,1092.165908575058,5363,6.0,1.725,0.0,1000,454.8,0,0.0,4.0,1.275,0.0,1000,411.55,0,0.0
2359296,1123.414495229721,5501,7.0,1.8,0.0,1000,488.125,0,0.0,5.0,1.35,0.0,1000,441.5,0,0.0
2424832,1154.5524792671204,5648,5.0,1.175,0.0,1000,413.85,0,0.0,5.0,1.975,0.0,1000,515.475,0,0.0
2490368,1185.4299657344818,5783,7.0,2.375,0.0,1000,522.125,0,0.0,5.0,1.85,0.0,1000,506.925,0,0.0
