timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,28.42642331123352,116,10.0,3.25,0.0,252,128.075,0,0.0,10.0,2.0,0.0,249,136.875,0,0.0
131072,51.82028937339783,384,10.0,4.25,0.0,472,262.025,0,0.05,10.0,1.75,0.0,480,203.975,0,0.05
196608,74.87236976623535,797,10.0,2.25,0.0,692,220.375,0,0.0,10.0,4.5,0.0,700,200.45,0,0.025
262144,98.31087183952332,1371,10.0,4.0,0.0,794,121.55,0,0.0,10.0,3.5,0.0,454,128.875,0,0.025
327680,121.93614602088928,2094,10.0,3.5,0.0,1000,129.125,0,0.0,10.0,4.5,0.0,242,81.275,0,0.0
393216,145.2544572353363,2943,10.0,3.5,0.0,166,64.375,0,0.0,10.0,3.0,0.0,257,85.375,0,0.0
458752,168.9427523612976,3874,10.0,3.5,0.0,251,58.8,0,0.0,10.0,2.5,0.0,212,64.225,0,0.0
524288,192.62376284599304,5002,10.0,4.5,0.0,121,49.7,0,0.0,10.0,4.0,0.0,126,50.975,0,0.0
589824,215.84239840507507,6248,10.0,3.75,0.0,132,52.075,0,0.0,10.0,3.25,0.0,112,48.95,0,0.0
655360,239.34239840507507,7611,10.0,3.0,0.0,127,42.425,0,0.0,10.0,4.25,0.0,66,35.375,0,0.025
720896,262.55697298049927,9035,10.0,3.5,0.0,113,40.3,0,0.0,10.0,3.75,0.0,1000,67.0,0,0.0
786432,285.7424349784851,10454,10.0,3.25,0.0,86,41.3,0,0.0,10.0,3.5,0.0,101,44.0,0,0.0
851968,309.0990869998932,11840,10.0,4.5,0.0,1000,61.95,0,0.0,10.0,3.5,0.0,106,43.8,0,0.0
917504,332.40689420700073,13275,10.0,5.0,0.0,72,37.4,0,0.0,10.0,4.75,0.0,66,36.775,0,0.025
983040,355.6093626022339,14715,10.0,3.0,0.0,154,41.925,0,0.0,10.0,3.25,0.0,74,36.625,0,0.0
1048576,378.82875084877014,16142,10.0,4.0,0.0,1000,68.1,0,0.0,10.0,3.75,0.0,102,37.425,0,0.0
1114112,402.37573862075806,17641,10.0,5.0,0.0,74,34.0,0,0.0,10.0,3.25,0.0,112,40.975,0,0.025
1179648,425.56525230407715,19136,10.0,4.0,0.0,78,44.25,0,0.0,10.0,3.5,0.0,91,37.275,0,0.0
1245184,448.62392377853394,20650,10.0,4.0,0.0,1000,64.05,0,0.0,10.0,3.0,0.0,1000,61.425,0,0.0
1310720,471.8227484226227,22247,10.0,2.5,0.0,161,39.6,0,0.0,10.0,3.5,0.0,87,36.425,0,0.0
1376256,494.99457144737244,23937,10.0,3.75,0.0,92,38.375,0,0.025,10.0,5.5,0.0,85,38.25,0,0.0
1441792,517.9780592918396,25640,10.0,3.5,0.0,76,37.1,0,0.025,10.0,4.0,0.0,66,37.075,0,0.0
1507328,540.9503929615021,27318,10.0,6.25,0.0,103,33.225,0,0.0,10.0,4.0,0.0,77,32.925,0,0.0
1572864,564.0996239185333,29062,10.0,4.5,0.0,99,35.85,0,0.0,10.0,4.0,0.0,84,35.725,0,0.0
1638400,587.1064569950104,30918,10.0,5.25,0.0,68,30.175,0,0.0,10.0,5.25,0.0,70,31.225,0,0.0
1703936,610.1067657470703,32685,10.0,3.5,0.0,97,38.225,0,0.0,10.0,3.75,0.0,1000,54.475,0,0.0
1769472,633.0130882263184,34397,10.0,5.0,0.0,137,30.95,0,0.025,10.0,2.5,0.0,66,32.8,0,0.0
1835008,656.0646424293518,36087,10.0,5.75,0.0,71,34.575,0,0.0,10.0,3.25,0.0,80,32.575,0,0.025
1900544,678.7116963863373,37785,10.0,6.0,0.0,84,35.3,0,0.0,10.0,4.25,0.0,114,39.075,0,0.0
1966080,701.2673189640045,39473,10.0,5.5,0.0,1000,65.15,0,0.025,10.0,5.75,0.0,95,35.5,0,0.0
2031616,723.8007297515869,41105,10.0,4.5,0.0,78,38.05,0,0.0,10.0,4.25,0.0,136,39.825,0,0.0
2097152,746.4944505691528,42781,10.0,3.25,0.0,95,39.425,0,0.0,10.0,4.0,0.0,84,36.0,0,0.0
2162688,769.3738725185394,44456,10.0,4.0,0.0,110,31.675,0,0.0,10.0,5.0,0.0,159,42.175,0,0.0
2228224,792.1065545082092,46088,10.0,5.75,0.0,79,33.975,0,0.0,10.0,4.5,0.0,116,35.125,0,0.0
2293760,814.8104596138,47678,10.0,4.75,0.0,99,37.825,0,0.0,10.0,4.5,0.0,147,42.25,0,0.0
2359296,837.6032269001007,49296,10.0,4.25,0.0,103,40.85,0,0.0,10.0,3.25,0.0,128,40.95,0,0.0
2424832,860.6776473522186,50870,10.0,4.25,0.0,344,47.15,0,0.0,10.0,4.75,0.0,230,43.25,0,0.0
2490368,883.5927042961121,52344,10.0,5.0,0.0,1000,65.3,0,0.0,10.0,5.0,0.0,77,32.875,0,0.05
2555904,906.4354326725006,53818,10.0,4.75,0.0,146,45.775,0,0.025,10.0,4.5,0.0,141,46.2,0,0.0
2621440,929.2375450134277,55316,10.0,4.0,0.0,236,40.075,0,0.0,10.0,4.0,0.0,213,46.8,0,0.0
2686976,952.0780301094055,56764,10.0,3.75,0.0,1000,66.8,0,0.025,10.0,3.75,0.0,175,37.7,0,0.0
2752512,975.0655980110168,58222,10.0,4.25,0.0,167,48.65,0,0.0,10.0,5.0,0.0,135,32.675,0,0.0
2818048,998.0316343307495,59700,10.0,5.25,0.0,1000,61.7,0,0.0,10.0,5.5,0.0,200,50.825,0,0.025
2883584,1020.9129505157471,61150,10.0,5.5,0.0,155,46.275,0,0.0,10.0,5.5,0.0,160,42.125,0,0.0
2949120,1043.723432302475,62565,10.0,3.5,0.0,1000,63.75,0,0.0,10.0,3.75,0.0,177,44.0,0,0.0
3014656,1066.5036256313324,63874,10.0,4.75,0.0,206,44.175,0,0.0,10.0,4.25,0.0,174,44.575,0,0.0
3080192,1089.480613231659,65217,10.0,4.75,0.0,149,38.925,0,0.0,10.0,6.25,0.0,1000,69.3,0,0.0
3145728,1112.3760352134705,66620,10.0,5.25,0.0,1000,69.525,0,0.0,10.0,4.0,0.0,185,43.05,0,0.0
3211264,1135.1506464481354,68065,10.0,6.0,0.0,83,39.025,0,0.0,10.0,4.5,0.0,254,50.65,0,0.0
3276800,1157.8308482170105,69446,10.0,4.5,0.0,246,48.85,0,0.0,10.0,4.5,0.0,1000,67.225,0,0.0
3342336,1180.4968738555908,70730,10.0,4.75,0.0,291,49.925,0,0.0,10.0,4.5,0.0,176,55.375,0,0.0
3407872,1203.4736721515656,72095,10.0,4.5,0.0,141,45.7,0,0.025,10.0,5.0,0.0,163,45.5,0,0.0
3473408,1226.1106560230255,73430,10.0,4.75,0.0,177,43.775,0,0.0,10.0,4.0,0.0,179,48.425,0,0.0
3538944,1248.901647567749,74807,10.0,4.75,0.0,160,45.475,0,0.0,10.0,4.75,0.0,1000,67.075,0,0.0
3604480,1271.6871020793915,76198,10.0,5.0,0.0,189,51.475,0,0.0,10.0,5.0,0.0,1000,72.15,0,0.0
3670016,1294.3101170063019,77595,10.0,3.5,0.0,1000,60.325,0,0.0,10.0,5.0,0.0,250,46.5,0,0.0
3735552,1316.9901311397552,78988,10.0,5.25,0.0,136,41.8,0,0.0,10.0,5.25,0.0,1000,61.475,0,0.0
3801088,1339.6519119739532,80321,10.0,4.25,0.0,98,36.85,0,0.0,10.0,4.0,0.0,678,55.925,0,0.0
3866624,1362.3262214660645,81631,10.0,5.75,0.0,161,48.5,0,0.0,10.0,3.75,0.0,105,41.6,0,0.0
3932160,1384.9008793830872,82949,10.0,5.25,0.0,193,46.175,0,0.0,10.0,5.25,0.0,205,48.225,0,0.0
3997696,1407.3724446296692,84259,10.0,5.5,0.0,158,42.5,0,0.0,10.0,5.5,0.0,116,41.65,0,0.025
4063232,1429.9731259346008,85604,10.0,4.5,0.0,160,50.45,0,0.0,10.0,6.25,0.0,1000,66.475,0,0.025
4128768,1452.5107271671295,86956,10.0,5.0,0.0,1000,68.55,0,0.025,10.0,5.25,0.0,143,40.5,0,0.0
4194304,1475.2814173698425,88279,10.0,5.75,0.0,113,40.0,0,0.0,10.0,6.75,0.0,150,42.4,0,0.0
4259840,1497.9107089042664,89591,10.0,4.0,0.0,240,49.975,0,0.0,10.0,4.25,0.0,237,51.2,0,0.0
4325376,1520.648288011551,90923,10.0,6.25,0.0,132,44.9,0,0.0,10.0,4.25,0.0,105,47.925,0,0.0
4390912,1543.2461812496185,92196,10.0,5.0,0.0,180,48.125,0,0.0,10.0,4.75,0.0,1000,78.325,0,0.0
4456448,1566.4189109802246,93497,10.0,6.75,0.0,188,44.2,0,0.0,10.0,5.5,0.0,139,46.075,0,0.0
4521984,1589.6266815662384,94694,10.0,3.5,0.0,112,45.0,0,0.0,10.0,6.25,0.0,196,63.475,0,0.0
4587520,1612.3709363937378,95897,10.0,5.25,0.0,197,41.95,0,0.025,10.0,5.25,0.0,450,63.3,0,0.0
4653056,1635.36274600029,97011,10.0,5.5,0.0,149,46.625,0,0.0,10.0,5.75,0.0,186,52.3,0,0.0
4718592,1658.4096133708954,98085,10.0,6.75,0.0,260,54.75,0,0.0,10.0,5.5,0.0,150,48.4,0,0.0
4784128,1681.5519695281982,99075,10.0,4.75,0.0,115,53.65,0,0.0,10.0,5.75,0.0,156,60.15,0,0.0
4849664,1704.7455415725708,100138,10.0,6.0,0.0,266,55.575,0,0.025,10.0,6.75,0.0,294,63.25,0,0.0
4915200,1728.0210268497467,101169,10.0,6.0,0.0,415,53.575,0,0.0,10.0,5.25,0.0,352,53.65,0,0.0
4980736,1750.9028663635254,102214,10.0,5.75,0.0,1000,91.45,0,0.025,10.0,6.5,0.0,523,58.35,0,0.0
5046272,1774.286379814148,103281,10.0,5.0,0.0,1000,103.25,0,0.0,10.0,5.25,0.0,338,60.1,0,0.0
5111808,1797.4929020404816,104352,10.0,7.0,0.0,217,47.775,0,0.0,10.0,5.5,0.0,137,40.05,0,0.0
