timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,29.980270385742188,258,10.0,0.5,0.0,248,138.175,0,0.0,10.0,1.5,0.0,244,114.825,0,0.0
131072,55.50536870956421,732,10.0,2.0,0.0,421,150.95,0,0.0,10.0,1.25,0.0,389,162.525,0,0.0
196608,80.04446578025818,1381,10.0,0.5,0.0,518,113.925,0,0.025,10.0,1.25,0.0,615,110.4,0,0.0
262144,104.83440566062927,2239,10.0,0.5,0.0,339,79.1,0,0.025,10.0,1.25,0.0,178,72.8,0,0.0
327680,129.08492827415466,3299,10.0,1.75,0.0,301,62.925,0,0.0,10.0,1.5,0.0,227,63.475,0,0.0
393216,152.74793529510498,4663,10.0,1.75,0.0,79,37.675,0,0.0,10.0,2.0,0.0,291,55.0,0,0.0
458752,176.78366994857788,6027,10.0,1.25,0.0,130,39.325,0,0.0,10.0,2.0,0.0,111,39.875,0,0.025
524288,200.230859041214,7561,10.0,1.75,0.0,72,36.5,0,0.0,10.0,3.0,0.0,1000,59.85,0,0.0
589824,223.62632274627686,9190,10.0,2.0,0.0,154,38.475,0,0.0,10.0,1.25,0.0,101,41.1,0,0.0
655360,247.17771196365356,10734,10.0,2.5,0.0,144,33.45,0,0.0,10.0,1.0,0.0,150,37.325,0,0.0
720896,270.70474123954773,12146,10.0,1.5,0.0,63,35.1,0,0.0,10.0,0.75,0.0,1000,89.725,0,0.0
786432,294.2507185935974,13399,10.0,1.75,0.0,539,53.025,0,0.025,10.0,2.0,0.0,124,39.475,0,0.0
851968,317.47370433807373,14518,10.0,2.25,0.0,288,52.9,0,0.0,10.0,1.25,0.0,1000,68.85,0,0.0
917504,341.49861884117126,15509,10.0,2.75,0.0,1000,91.575,0,0.0,10.0,2.0,0.0,113,46.525,0,0.0
983040,364.8615915775299,16109,10.0,2.25,0.0,1000,96.5,0,0.0,10.0,2.25,0.0,189,60.175,0,0.0
1048576,388.0184006690979,16464,10.0,2.75,0.0,288,100.225,0,0.0,10.0,1.75,0.0,319,92.2,0,0.0
1114112,411.4924125671387,16795,10.0,1.5,0.0,1000,158.475,0,0.0,10.0,1.0,0.0,1000,205.525,0,0.0
1179648,435.06143164634705,17129,10.0,2.0,0.0,1000,184.8,0,0.0,10.0,1.0,0.0,1000,184.625,0,0.0
1245184,458.8473391532898,17420,10.0,2.5,0.0,1000,154.2,0,0.0,10.0,1.25,0.0,1000,229.325,0,0.025
1310720,482.1341640949249,17615,10.0,2.75,0.0,1000,191.375,0,0.0,10.0,1.25,0.0,1000,226.75,0,0.0
1376256,505.3900797367096,17807,10.0,2.0,0.0,1000,304.45,0,0.0,10.0,2.25,0.0,1000,281.125,0,0.0
1441792,528.7805695533752,18017,10.0,1.75,0.0,1000,415.325,0,0.0,10.0,1.5,0.0,1000,254.95,0,0.0
1507328,552.2320399284363,18225,10.0,4.0,0.0,1000,280.7,0,0.0,10.0,2.0,0.0,1000,335.425,0,0.025
1572864,575.4692106246948,18502,10.0,3.0,0.0,1000,306.275,0,0.0,10.0,1.75,0.0,1000,225.275,0,0.0
1638400,598.6058597564697,18792,10.0,2.25,0.0,1000,223.85,0,0.0,10.0,2.75,0.0,1000,278.175,0,0.0
1703936,621.7379841804504,19131,10.0,3.5,0.0,1000,149.275,0,0.0,10.0,1.75,0.0,1000,252.3,0,0.0
1769472,645.338681936264,19387,10.0,2.25,0.0,1000,242.675,0,0.0,10.0,3.75,0.0,1000,263.45,0,0.0
1835008,668.6567270755768,19581,10.0,3.0,0.0,1000,242.025,0,0.0,10.0,3.25,0.0,961,179.625,0,0.0
1900544,691.9773468971252,19794,10.0,1.75,0.0,1000,256.675,0,0.0,10.0,3.25,0.0,1000,332.025,0,0.025
1966080,715.3289678096771,19988,10.0,2.75,0.0,1000,361.7,0,0.025,10.0,2.75,0.0,1000,367.775,0,0.0
2031616,738.7786521911621,20172,10.0,2.5,0.0,1000,389.6,0,0.0,10.0,3.25,0.0,1000,355.525,0,0.0
2097152,762.4101717472076,20297,10.0,2.5,0.0,1000,489.125,0,0.0,10.0,4.5,0.0,1000,342.475,0,0.0
2162688,785.9529411792755,20407,10.0,3.25,0.0,1000,506.725,0,0.0,10.0,2.25,0.0,1000,591.875,0,0.025
2228224,809.4223532676697,20564,10.0,3.5,0.0,1000,377.725,0,0.0,10.0,4.0,0.0,1000,482.4,0,0.0
2293760,832.8127861022949,20694,10.0,2.25,0.0,1000,542.025,0,0.0,10.0,2.5,0.0,1000,557.55,0,0.0
2359296,856.4138188362122,20813,10.0,4.0,0.0,1000,444.375,0,0.0,10.0,3.25,0.0,1000,594.5,0,0.0
2424832,880.2081255912781,20923,10.0,2.25,0.0,1000,571.975,0,0.0,10.0,4.25,0.0,1000,381.4,0,0.0
2490368,903.7686250209808,21052,10.0,3.25,0.0,1000,530.05,0,0.0,10.0,1.5,0.0,1000,577.375,0,0.0
2555904,927.2124574184418,21189,10.0,3.25,0.0,1000,558.675,0,0.0,10.0,3.5,0.0,1000,445.225,0,0.0
2621440,950.6273663043976,21345,10.0,4.0,0.0,1000,419.75,0,0.0,10.0,3.5,0.0,1000,325.125,0,0.0
2686976,974.1596357822418,21466,10.0,3.5,0.0,1000,476.55,0,0.0,10.0,2.75,0.0,1000,546.925,0,0.05
2752512,997.9153625965118,21577,10.0,3.0,0.0,1000,590.65,0,0.0,10.0,3.5,0.0,1000,529.675,0,0.0
2818048,1021.571063041687,21658,10.0,2.25,0.0,1000,680.45,0,0.0,10.0,2.25,0.0,1000,682.7,0,0.0
2883584,1045.1177787780762,21783,10.0,2.25,0.0,1000,619.125,0,0.0,10.0,2.75,0.0,1000,534.975,0,0.025
2949120,1068.670034646988,21899,10.0,2.5,0.0,1000,648.85,0,0.025,10.0,2.5,0.0,1000,672.3,0,0.0
3014656,1092.3043422698975,22022,10.0,3.5,0.0,1000,522.575,0,0.0,10.0,3.75,0.0,1000,531.925,0,0.025
3080192,1116.159556388855,22133,10.0,3.25,0.0,1000,520.25,0,0.0,10.0,2.25,0.0,1000,574.725,0,0.0
3145728,1139.8516907691956,22287,10.0,3.25,0.0,1000,444.4,0,0.0,10.0,1.75,0.0,1000,716.925,0,0.025
3211264,1163.3617660999298,22394,10.0,2.5,0.0,1000,657.6,0,0.025,10.0,3.5,0.0,1000,547.275,0,0.0
3276800,1186.7780718803406,22486,10.0,2.5,0.0,1000,655.225,0,0.0,10.0,2.5,0.0,1000,628.5,0,0.0
3342336,1210.2472059726715,22575,10.0,2.5,0.0,1000,649.6,0,0.025,10.0,2.75,0.0,1000,638.85,0,0.05
3407872,1233.8503425121307,22764,10.0,4.25,0.0,1000,487.4,0,0.0,10.0,3.25,0.0,1000,533.775,0,0.0
3473408,1257.2566826343536,22876,10.0,2.5,0.0,1000,549.075,0,0.0,10.0,3.0,0.0,1000,551.65,0,0.0
3538944,1280.5875885486603,23001,10.0,2.75,0.0,1000,543.925,0,0.0,10.0,2.5,0.0,1000,495.0,0,0.025
