timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,45.23144006729126,26,3.0,1.1923077,0.0,256,233.3846153846154,0,0.038461538461538464,3.0,0.8695652,0.0,256,229.2173913043478,0,0.043478260869565216
131072,85.88513684272766,244,9.0,3.7,0.0,504,337.45,0,0.0,10.0,3.5,0.0,494,342.0,0,0.0
196608,126.39826369285583,446,14.0,4.725,0.0,608,354.725,0,0.0,14.0,4.1,0.0,595,330.375,0,0.0
262144,166.4756679534912,658,30.0,4.75,0.0,869,331.575,0,0.0,10.0,4.8,0.0,522,336.65,0,0.0
327680,206.0924105644226,885,12.0,4.55,0.0,539,307.55,0,0.0,17.0,4.5,0.0,588,302.45,0,0.0
393216,245.2450234889984,1112,14.0,4.1,0.0,519,274.55,0,0.025,11.0,3.85,0.0,507,280.875,0,0.0
458752,284.5600483417511,1354,12.0,4.175,0.0,516,272.0,0,0.0,11.0,4.15,0.0,431,279.0,0,0.0
524288,323.283887386322,1596,10.0,4.7,0.0,407,279.425,0,0.0,30.0,4.575,0.0,538,260.925,0,0.0
589824,361.4188859462738,1856,8.0,4.025,0.0,374,260.0,0,0.0,9.0,3.725,0.0,425,257.05,0,0.025
655360,399.2913432121277,2119,12.0,4.2,0.0,433,246.125,0,0.025,16.0,4.3,0.0,458,261.05,0,0.0
720896,437.3713757991791,2384,14.0,4.05,0.0,457,250.375,0,0.0,15.0,4.9,0.0,463,265.5,0,0.0
786432,475.0901622772217,2611,13.0,4.425,0.0,502,271.55,0,0.0,10.0,3.95,0.0,440,264.6,0,0.0
851968,512.3026316165924,2837,15.0,4.425,0.0,497,272.3,0,0.0,15.0,5.15,0.0,496,295.45,0,0.0
917504,549.119247674942,3055,10.0,4.6,0.0,494,303.1,0,0.0,19.0,4.3,0.0,667,287.375,0,0.0
983040,586.075122833252,3269,15.0,4.475,0.0,560,301.575,0,0.0,13.0,4.275,0.0,661,295.2,0,0.0
1048576,622.849002122879,3488,17.0,4.5,0.0,608,312.175,0,0.0,15.0,4.025,0.0,547,303.275,0,0.0
1114112,659.3489332199097,3679,12.0,4.125,0.0,547,323.25,0,0.025,11.0,4.4,0.0,494,326.05,0,0.0
1179648,696.1874840259552,3858,14.0,4.25,0.0,672,347.5,0,0.025,13.0,4.575,0.0,534,350.125,0,0.0
1245184,733.2629091739655,4051,12.0,4.25,0.0,614,345.85,0,0.0,10.0,3.6,0.0,552,323.9,0,0.0
1310720,770.6828808784485,4233,13.0,4.375,0.0,660,362.275,0,0.0,9.0,3.85,0.0,560,333.95,0,0.0
1376256,807.9895894527435,4421,14.0,4.2,0.0,694,360.925,0,0.0,14.0,3.925,0.0,614,347.075,0,0.0
1441792,845.3394362926483,4591,10.0,3.35,0.0,525,340.65,0,0.0,15.0,4.125,0.0,826,368.175,0,0.0
1507328,882.1060826778412,4754,16.0,4.625,0.0,880,432.725,0,0.0,11.0,3.45,0.0,657,398.475,0,0.0
1572864,920.1621305942535,4905,11.0,4.3,0.0,694,425.725,0,0.0,12.0,3.625,0.0,690,420.45,0,0.0
1638400,958.6499767303467,5058,16.0,3.825,0.0,816,419.575,0,0.0,10.0,3.525,0.0,790,421.325,0,0.0
1703936,997.3536441326141,5205,13.0,4.85,0.0,867,481.95,0,0.0,10.0,3.9,0.0,760,435.625,0,0.0
1769472,1035.3410346508026,5351,11.0,3.975,0.0,720,445.075,0,0.0,8.0,3.225,0.0,691,424.475,0,0.0
1835008,1074.274235010147,5491,16.0,4.0,0.0,759,437.025,0,0.0,9.0,3.525,0.0,690,440.175,0,0.0
1900544,1112.8670163154602,5618,10.0,3.425,0.0,707,447.95,0,0.0,10.0,4.125,0.0,747,493.1,0,0.0
1966080,1151.773847579956,5759,17.0,4.175,0.0,925,459.7,0,0.0,14.0,4.875,0.0,854,509.225,0,0.0
2031616,1190.6966462135315,5908,11.0,3.1,0.0,757,432.35,0,0.0,12.0,4.275,0.0,867,499.225,0,0.0
2097152,1230.6495461463928,6035,14.0,3.325,0.0,790,469.3,0,0.0,8.0,3.15,0.0,707,451.375,0,0.0
2162688,1270.2807886600494,6173,9.0,3.25,0.0,808,486.825,0,0.05,11.0,3.35,0.0,787,481.3,0,0.0
2228224,1310.4343976974487,6303,10.0,3.4,0.0,797,505.6,0,0.0,8.0,3.525,0.0,713,504.05,0,0.0
2293760,1350.8725221157074,6421,9.0,2.35,0.0,878,497.475,0,0.0,8.0,2.825,0.0,820,493.675,0,0.0
2359296,1391.37557554245,6552,11.0,3.55,0.0,928,533.525,0,0.0,10.0,3.1,0.0,755,500.65,0,0.0
2424832,1431.5663113594055,6667,10.0,3.625,0.0,832,550.875,0,0.0,9.0,2.975,0.0,798,504.575,0,0.0
2490368,1471.5094995498657,6795,9.0,3.4,0.0,774,550.475,0,0.0,8.0,2.775,0.0,774,503.825,0,0.0
2555904,1511.1636083126068,6898,10.0,3.575,0.0,854,562.25,0,0.0,10.0,3.2,0.0,773,535.95,0,0.0
2621440,1550.380699634552,7036,9.0,3.25,0.0,962,545.3,0,0.0,11.0,2.175,0.0,898,477.425,0,0.025
2686976,1589.5391566753387,7164,18.0,4.1,0.0,1307,560.225,0,0.0,12.0,3.425,0.0,868,523.525,0,0.0
2752512,1628.7411246299744,7282,11.0,2.7,0.0,737,500.175,0,0.0,10.0,3.25,0.0,882,544.925,0,0.0
2818048,1668.1236989498138,7414,9.0,2.75,0.0,747,512.25,0,0.0,10.0,3.075,0.0,827,541.35,0,0.0
2883584,1707.0831303596497,7513,11.0,3.55,0.0,947,580.375,0,0.0,7.0,2.525,0.0,867,523.075,0,0.025
2949120,1745.4867968559265,7651,10.0,2.975,0.0,980,565.625,0,0.0,9.0,2.9,0.0,920,566.05,0,0.0
3014656,1783.6591053009033,7760,6.0,2.175,0.0,814,508.025,0,0.025,10.0,2.6,0.0,951,529.325,0,0.0
3080192,1820.9500396251678,7900,7.0,2.75,0.0,785,513.1,0,0.0,9.0,2.4,0.0,800,483.075,0,0.025
3145728,1858.2805035114288,8018,9.0,3.675,0.0,814,547.45,0,0.0,10.0,2.9,0.0,776,506.35,0,0.025
3211264,1895.728260755539,8142,7.0,2.75,0.0,694,518.925,0,0.0,8.0,3.025,0.0,776,533.95,0,0.0
3276800,1933.0074133872986,8255,10.0,2.5,0.0,787,513.125,0,0.0,9.0,3.0,0.0,840,530.25,0,0.0
3342336,1969.8884961605072,8390,8.0,2.975,0.0,855,538.2,0,0.0,7.0,2.75,0.0,920,524.675,0,0.025
3407872,2006.9149904251099,8516,10.0,3.075,0.0,827,520.75,0,0.0,12.0,3.925,0.0,1014,583.9,0,0.025
