timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,44.92408013343811,21,3.0,0.8095238,0.0,256,218.0952380952381,0,0.047619047619047616,3.0,0.5882353,0.0,255,227.2941176470588,0,0.0
131072,84.42327237129211,247,7.0,2.5,0.0,480,355.675,0,0.0,7.0,2.2,0.0,504,349.325,0,0.0
196608,123.43335795402527,450,14.0,3.0,0.0,748,348.875,0,0.0,10.0,2.55,0.0,651,334.45,0,0.0
262144,162.34241795539856,656,9.0,2.775,0.0,640,331.05,0,0.0,9.0,3.45,0.0,535,338.5,0,0.0
327680,200.80375361442566,857,11.0,3.55,0.0,547,326.3,0,0.0,11.0,2.9,0.0,554,308.55,0,0.0
393216,238.99839973449707,1076,13.0,3.25,0.0,560,299.275,0,0.0,11.0,3.5,0.0,446,303.575,0,0.0
458752,276.9091808795929,1326,8.0,2.65,0.0,404,278.65,0,0.0,13.0,4.075,0.0,546,313.6,0,0.0
524288,314.5983781814575,1572,11.0,3.425,0.0,441,285.175,0,0.0,9.0,2.775,0.0,440,255.675,0,0.0
589824,351.8609356880188,1822,10.0,2.85,0.0,440,258.025,0,0.0,11.0,2.45,0.0,404,252.8,0,0.025
655360,389.08997225761414,2084,10.0,3.55,0.0,367,262.525,0,0.025,12.0,3.675,0.0,494,276.4,0,0.025
720896,425.7916386127472,2356,11.0,2.725,0.0,400,246.55,0,0.0,8.0,2.725,0.0,393,246.325,0,0.0
786432,462.2307963371277,2594,10.0,3.0,0.0,413,255.225,0,0.0,13.0,2.925,0.0,507,245.725,0,0.0
851968,498.65662240982056,2840,15.0,4.125,0.0,506,288.875,0,0.0,18.0,3.075,0.0,667,277.85,0,0.0
917504,535.2337095737457,3073,7.0,3.05,0.0,427,279.7,0,0.0,10.0,3.35,0.0,446,285.625,0,0.0
983040,571.7558596134186,3287,14.0,3.9,0.0,560,304.525,0,0.0,16.0,2.625,0.0,491,285.925,0,0.0
1048576,608.438570022583,3484,12.0,2.65,0.0,573,283.625,0,0.0,15.0,3.8,0.0,521,316.75,0,0.0
1114112,645.3212287425995,3692,11.0,2.875,0.0,576,309.65,0,0.0,14.0,2.975,0.0,494,303.35,0,0.0
1179648,681.9030241966248,3903,9.0,2.75,0.0,494,334.75,0,0.0,8.0,2.375,0.0,560,311.225,0,0.0
1245184,717.788482427597,4083,9.0,2.3,0.0,454,296.125,0,0.0,18.0,2.725,0.0,760,311.1,0,0.0
1310720,753.1410653591156,4267,10.0,2.825,0.0,539,347.025,0,0.0,10.0,2.375,0.0,627,338.625,0,0.0
1376256,788.182272195816,4458,9.0,2.675,0.0,469,343.6,0,0.0,6.0,2.175,0.0,480,320.875,0,0.025
1441792,823.7509276866913,4651,17.0,3.05,0.0,800,366.125,0,0.025,10.0,3.225,0.0,589,348.925,0,0.0
1507328,860.1216986179352,4823,8.0,2.975,0.0,483,350.725,0,0.0,6.0,2.55,0.0,467,338.7,0,0.0
1572864,896.3110105991364,5003,10.0,3.075,0.0,605,368.025,0,0.0,10.0,2.85,0.0,569,344.2,0,0.0
1638400,932.772173166275,5179,19.0,3.825,0.0,730,373.375,0,0.0,16.0,3.35,0.0,790,361.875,0,0.025
1703936,969.6179473400116,5364,13.0,2.85,0.0,599,364.6,0,0.0,9.0,2.85,0.0,576,347.575,0,0.0
1769472,1007.1450846195221,5536,9.0,2.975,0.0,525,357.35,0,0.0,8.0,2.75,0.0,614,366.375,0,0.0
1835008,1044.6586439609528,5712,12.0,3.15,0.0,720,360.675,0,0.0,12.0,3.175,0.0,667,356.45,0,0.0
1900544,1082.3246004581451,5864,14.0,3.275,0.0,690,399.975,0,0.0,12.0,3.275,0.0,558,395.85,0,0.0
1966080,1120.102443933487,6022,9.0,2.925,0.0,684,418.15,0,0.0,12.0,4.2,0.0,720,416.875,0,0.025
2031616,1158.0165665149689,6188,17.0,3.775,0.0,746,404.575,0,0.0,9.0,2.65,0.0,639,389.875,0,0.0
2097152,1196.1571459770203,6351,14.0,3.05,0.0,627,390.625,0,0.0,8.0,2.4,0.0,587,382.175,0,0.0
2162688,1234.5334498882294,6508,11.0,2.975,0.0,615,394.825,0,0.0,18.0,3.55,0.0,942,415.6,0,0.025
2228224,1273.1420888900757,6661,9.0,3.25,0.0,600,425.475,0,0.0,12.0,2.825,0.0,556,399.85,0,0.0
2293760,1311.9018926620483,6804,8.0,3.475,0.0,615,427.85,0,0.0,9.0,3.175,0.0,703,435.975,0,0.0
2359296,1350.9193694591522,6970,9.0,2.85,0.0,692,429.075,0,0.0,8.0,2.4,0.0,627,402.8,0,0.025
2424832,1390.0489456653595,7110,9.0,3.0,0.0,697,410.825,0,0.0,12.0,3.025,0.0,707,442.725,0,0.0
2490368,1429.0125796794891,7260,8.0,2.975,0.0,720,429.3,0,0.0,9.0,3.525,0.0,680,444.35,0,0.0
2555904,1467.757655620575,7415,14.0,3.1,0.0,687,440.375,0,0.0,10.0,3.025,0.0,760,427.825,0,0.0
2621440,1506.3349936008453,7548,8.0,2.825,0.0,720,449.4,0,0.0,13.0,3.175,0.0,1000,464.975,0,0.0
2686976,1544.7656300067902,7688,13.0,3.45,0.0,800,453.125,0,0.0,15.0,3.275,0.0,787,457.8,0,0.0
2752512,1583.505850315094,7828,13.0,3.575,0.0,734,470.4,0,0.0,10.0,3.325,0.0,670,484.375,0,0.0
2818048,1621.5709068775177,7969,11.0,3.0,0.0,720,455.825,0,0.0,12.0,3.475,0.0,754,507.975,0,0.0
2883584,1659.4790060520172,8099,9.0,2.575,0.0,734,460.2,0,0.0,7.0,2.3,0.0,764,487.275,0,0.0
2949120,1697.0235044956207,8233,18.0,3.35,0.0,1040,515.9,0,0.0,9.0,2.775,0.0,707,480.7,0,0.0
3014656,1734.050181388855,8358,13.0,2.4,0.0,807,478.7,0,0.0,9.0,3.0,0.0,867,500.45,0,0.0
3080192,1770.955803155899,8495,12.0,2.825,0.0,774,471.85,0,0.0,8.0,2.375,0.0,734,492.85,0,0.0
3145728,1807.6346616744995,8640,10.0,2.625,0.0,814,481.85,0,0.0,10.0,2.35,0.0,827,472.5,0,0.0
3211264,1844.1614890098572,8777,7.0,2.575,0.0,707,444.7,0,0.0,12.0,3.125,0.0,880,494.425,0,0.0
3276800,1880.3707118034363,8905,8.0,2.75,0.0,827,472.875,0,0.0,10.0,2.425,0.0,675,459.625,0,0.0
3342336,1916.2718760967255,9049,9.0,2.3,0.0,704,468.875,0,0.0,7.0,2.375,0.0,676,471.425,0,0.0
3407872,1952.3384668827057,9181,6.0,2.1,0.0,662,476.575,0,0.0,7.0,2.9,0.0,707,473.025,0,0.0
3473408,1988.0917377471924,9332,8.0,2.775,0.0,774,462.35,0,0.025,12.0,2.925,0.0,800,470.075,0,0.0
3538944,2024.219084262848,9465,14.0,2.925,0.0,840,471.325,0,0.0,9.0,2.85,0.0,692,461.525,0,0.0
3604480,2060.2675819396973,9612,11.0,3.65,0.0,800,467.8,0,0.0,8.0,2.675,0.0,734,436.55,0,0.0
3670016,2096.8603081703186,9763,12.0,3.975,0.0,800,488.025,0,0.0,14.0,3.525,0.0,887,441.025,0,0.0
3735552,2132.908087015152,9912,11.0,3.625,0.0,633,448.825,0,0.0,9.0,3.475,0.0,627,448.625,0,0.0
3801088,2168.957788705826,10067,7.0,3.425,0.0,654,436.525,0,0.0,10.0,3.15,0.0,782,434.975,0,0.0
3866624,2205.206300973892,10224,12.0,3.4,0.0,672,444.7,0,0.0,16.0,3.625,0.0,887,427.55,0,0.0
3932160,2241.8023731708527,10373,10.0,3.65,0.0,587,431.6,0,0.0,15.0,3.3,0.0,840,441.25,0,0.0
3997696,2278.75239777565,10525,14.0,3.025,0.0,774,412.05,0,0.0,10.0,3.75,0.0,790,436.775,0,0.0
4063232,2315.513576745987,10695,13.0,3.475,0.0,854,407.2,0,0.0,10.0,2.9,0.0,711,405.4,0,0.0
4128768,2352.6880354881287,10858,10.0,3.075,0.0,672,409.025,0,0.0,10.0,3.575,0.0,654,413.2,0,0.0
4194304,2390.1598703861237,11022,9.0,2.8,0.0,614,372.65,0,0.0,13.0,3.975,0.0,654,414.4,0,0.025
4259840,2427.9587891101837,11190,13.0,3.075,0.0,840,389.8,0,0.0,13.0,4.125,0.0,628,434.2,0,0.0
4325376,2465.6922767162323,11354,14.0,4.05,0.0,787,413.5,0,0.0,10.0,3.025,0.0,536,363.95,0,0.0
4390912,2503.6274843215942,11521,30.0,3.85,0.0,690,394.475,0,0.0,13.0,3.475,0.0,680,399.75,0,0.0
4456448,2541.854387521744,11677,13.0,3.625,0.0,680,391.925,0,0.0,10.0,3.775,0.0,739,424.025,0,0.0
4521984,2580.1963534355164,11850,10.0,3.5,0.0,614,405.75,0,0.0,8.0,4.025,0.0,654,407.65,0,0.0
4587520,2619.454137325287,12010,11.0,3.55,0.0,760,377.85,0,0.025,12.0,3.375,0.0,654,388.975,0,0.0
4653056,2658.888335466385,12163,14.0,3.7,0.0,614,421.1,0,0.0,8.0,2.975,0.0,600,396.25,0,0.0
4718592,2698.4194486141205,12321,8.0,3.275,0.0,614,415.95,0,0.0,17.0,3.925,0.0,797,410.6,0,0.0
4784128,2737.408718109131,12487,9.0,3.325,0.0,614,402.275,0,0.0,14.0,3.025,0.0,639,388.2,0,0.0
4849664,2776.18753862381,12633,14.0,4.0,0.0,787,450.65,0,0.0,14.0,3.725,0.0,720,437.975,0,0.0
4915200,2814.9106764793396,12781,14.0,3.775,0.0,640,408.05,0,0.025,10.0,3.325,0.0,619,408.15,0,0.0
4980736,2853.3213653564453,12948,10.0,3.575,0.0,639,430.925,0,0.025,12.0,3.6,0.0,734,454.675,0,0.0
5046272,2891.3950395584106,13106,9.0,3.275,0.0,583,407.725,0,0.0,7.0,2.8,0.0,719,423.525,0,0.0
5111808,2929.7038464546204,13248,12.0,3.75,0.0,694,447.55,0,0.025,12.0,3.775,0.0,694,455.2,0,0.0
5177344,2967.884953737259,13411,10.0,3.4,0.0,720,418.7,0,0.0,8.0,2.35,0.0,587,403.775,0,0.0
5242880,3006.4791316986084,13573,9.0,4.05,0.0,694,428.125,0,0.0,12.0,4.1,0.0,654,422.625,0,0.0
5308416,3044.1753175258636,13725,12.0,4.0,0.0,680,433.85,0,0.0,13.0,3.15,0.0,787,426.2,0,0.0
5373952,3081.378383398056,13869,13.0,4.1,0.0,787,444.4,0,0.0,11.0,3.775,0.0,760,409.4,0,0.0
5439488,3118.336879968643,14026,16.0,4.0,0.0,827,435.75,0,0.025,9.0,3.4,0.0,707,432.175,0,0.0
5505024,3156.3449449539185,14175,17.0,3.85,0.0,774,427.75,0,0.0,14.0,4.35,0.0,814,431.875,0,0.0
5570560,3193.3069911003113,14321,14.0,3.35,0.0,720,422.7,0,0.025,8.0,3.3,0.0,640,424.525,0,0.0
5636096,3230.797264814377,14490,15.0,4.0,0.0,854,453.75,0,0.0,11.0,3.775,0.0,724,431.275,0,0.0
5701632,3267.957995414734,14650,15.0,3.475,0.0,774,398.3,0,0.0,13.0,3.25,0.0,627,416.025,0,0.0
5767168,3304.757599592209,14802,10.0,3.225,0.0,694,424.225,0,0.0,12.0,3.9,0.0,627,427.175,0,0.0
5832704,3341.250897169113,14962,8.0,3.45,0.0,627,412.45,0,0.0,11.0,3.625,0.0,720,406.675,0,0.0
5898240,3377.7847311496735,15134,8.0,3.35,0.0,627,399.125,0,0.0,13.0,4.075,0.0,733,433.5,0,0.025
5963776,3414.294840335846,15285,17.0,3.15,0.0,901,413.325,0,0.0,9.0,3.525,0.0,639,405.225,0,0.025
6029312,3450.867154121399,15428,10.0,3.35,0.0,694,424.525,0,0.0,12.0,3.875,0.0,654,427.175,0,0.0
6094848,3487.0368254184723,15587,9.0,3.375,0.0,694,431.175,0,0.0,11.0,3.975,0.0,852,455.3,0,0.0
6160384,3522.918521165848,15749,13.0,3.975,0.0,654,432.775,0,0.025,14.0,4.6,0.0,680,488.675,0,0.0
6225920,3559.2617213726044,15881,8.0,3.2,0.0,683,438.35,0,0.0,11.0,3.15,0.0,787,447.625,0,0.0
6291456,3595.796975374222,16035,9.0,3.275,0.0,680,411.5,0,0.0,13.0,3.35,0.0,787,446.0,0,0.0
6356992,3632.2696871757507,16183,9.0,3.85,0.0,734,444.7,0,0.0,13.0,4.1,0.0,720,461.5,0,0.0
6422528,3667.9408881664276,16344,11.0,3.475,0.0,746,407.95,0,0.0,12.0,3.725,0.0,694,425.3,0,0.0
6488064,3704.1267490386963,16511,10.0,3.125,0.0,690,402.625,0,0.0,11.0,4.325,0.0,652,414.575,0,0.0
6553600,3740.647387266159,16669,11.0,3.575,0.0,614,388.825,0,0.0,13.0,3.525,0.0,707,409.175,0,0.0
