timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,76.98286080360413,438,1.04,0.58199996,0.0,214,96.775,0,0.025,1.52,0.55,0.0,244,100.775,0,0.0
131072,148.08639526367188,981,1.8399999,0.62099993,0.0,318,120.2,0,0.025,1.16,0.64,0.0,285,117.9,0,0.0
196608,220.06221532821655,1506,1.24,0.60899997,0.0,232,115.45,0,0.0,1.4,0.682,0.0,274,120.125,0,0.0
262144,292.29918599128723,2072,2.08,0.68899995,0.0,354,119.675,0,0.0,1.1599998,0.61099994,0.0,233,106.9,0,0.0
327680,364.3921527862549,2613,1.5999999,0.68999994,0.0,340,126.125,0,0.0,1.52,0.634,0.0,305,118.975,0,0.0
393216,435.9560263156891,3120,1.4,0.694,0.0,296,118.15,0,0.0,2.0,0.66099995,0.0,356,113.5,0,0.025
458752,508.63937163352966,3641,1.76,0.62399995,0.0,276,106.925,0,0.0,1.3199999,0.6769999,0.0,239,113.625,0,0.0
524288,580.3242285251617,4192,1.88,0.741,0.0,441,139.75,0,0.0,1.48,0.67099994,0.0,306,131.825,0,0.0
589824,651.5186364650726,4687,2.36,0.756,0.0,472,144.9,0,0.0,1.7199999,0.61099994,0.0,408,116.425,0,0.0
655360,721.4251248836517,5190,1.2,0.579,0.0,296,124.975,0,0.025,1.7199999,0.706,0.0,373,136.725,0,0.025
720896,791.7358121871948,5668,1.68,0.68099993,0.0,480,121.125,0,0.025,1.16,0.574,0.0,341,110.375,0,0.0
786432,861.4363706111908,6155,1.6399999,0.66899997,0.0,278,117.775,0,0.0,1.56,0.65699995,0.0,353,120.2,0,0.0
851968,929.8197114467621,6654,1.9999999,0.7379999,0.0,335,135.6,0,0.0,2.16,0.78599995,0.0,429,140.15,0,0.0
917504,997.2676813602448,7132,2.08,0.825,0.0,299,131.65,0,0.0,2.52,0.695,0.0,337,129.1,0,0.0
983040,1061.852735042572,7612,1.9199998,0.78199995,0.0,440,153.875,0,0.0,1.9599999,0.776,0.0,362,144.175,0,0.0
