timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,72.55510830879211,484,1.4,0.60599995,0.0,240,90.8,0,0.0,1.2399999,0.60099995,0.0,232,95.6,0,0.0
131072,143.10659766197205,1052,2.08,0.688,0.0,457,131.35,0,0.0,1.64,0.71,0.0,375,125.65,0,0.0
196608,212.27498316764832,1608,1.9599999,0.70100003,0.0,607,129.15,0,0.025,1.88,0.70100003,0.0,330,110.175,0,0.0
262144,282.96917605400085,2184,1.2,0.62499994,0.0,574,114.8,0,0.0,1.04,0.5429999,0.0,315,96.925,0,0.0
327680,353.7354311943054,2779,1.7199998,0.58299994,0.0,339,109.1,0,0.0,1.3999999,0.66,0.0,308,114.275,0,0.025
393216,424.1061632633209,3345,2.08,0.605,0.0,566,113.075,0,0.05,1.56,0.66499996,0.0,238,105.625,0,0.0
458752,494.47834968566895,3937,1.3599999,0.688,0.0,358,127.8,0,0.0,1.9999999,0.75299996,0.0,318,116.375,0,0.0
524288,564.6748247146606,4534,2.1999998,0.71799994,0.0,329,117.475,0,0.025,1.8799999,0.701,0.0,628,138.625,0,0.025
589824,634.346184015274,5110,1.28,0.60999995,0.0,294,112.45,0,0.0,1.28,0.59099996,0.0,246,99.2,0,0.0
655360,704.8375084400177,5701,1.28,0.65999997,0.0,256,114.05,0,0.0,1.3599999,0.606,0.0,339,116.775,0,0.0
720896,775.4027507305145,6259,1.3199999,0.626,0.0,503,117.3,0,0.0,1.56,0.654,0.0,330,116.45,0,0.025
786432,845.3680398464203,6803,1.4399999,0.687,0.0,863,137.0,0,0.025,1.48,0.626,0.0,272,105.225,0,0.0
851968,915.7943544387817,7350,1.56,0.708,0.0,516,121.075,0,0.0,1.72,0.651,0.0,462,116.55,0,0.0
917504,988.2379946708679,7911,1.56,0.633,0.0,302,107.775,0,0.0,1.8,0.745,0.0,363,116.6,0,0.0
983040,1062.636344909668,8462,1.36,0.649,0.0,400,133.425,0,0.0,1.4399999,0.608,0.0,294,112.175,0,0.0
1048576,1138.8518261909485,8995,1.4399999,0.63199997,0.0,234,103.525,0,0.0,1.64,0.68399996,0.0,330,111.4,0,0.025
1114112,1215.4755339622498,9538,1.76,0.643,0.0,346,113.85,0,0.0,1.28,0.66099995,0.0,205,93.65,0,0.0
1179648,1292.97843003273,10074,2.3999999,0.75999993,0.0,334,124.9,0,0.0,1.4399999,0.705,0.0,565,147.425,0,0.025
1245184,1371.089635848999,10611,1.9599998,0.669,0.0,1000,129.325,0,0.0,1.88,0.745,0.0,318,119.9,0,0.0
1310720,1450.5537910461426,11166,1.6399999,0.6999999,0.0,398,117.9,0,0.0,1.4399998,0.73899996,0.0,306,121.825,0,0.0
1376256,1528.3240337371826,11713,2.04,0.82,0.0,352,131.75,0,0.025,1.5999999,0.699,0.0,268,103.575,0,0.0
1441792,1604.9822990894318,12252,1.8399999,0.8119999,0.0,318,121.175,0,0.025,2.2399998,0.8629999,0.0,407,143.325,0,0.025
1507328,1677.204348564148,12792,1.92,0.78499997,0.0,298,111.775,0,0.025,1.64,0.75699997,0.0,220,108.575,0,0.0
1572864,1749.2649264335632,13333,2.08,0.73899996,0.0,361,118.75,0,0.0,2.32,0.7139999,0.0,384,108.75,0,0.0
1638400,1820.7455184459686,13870,2.12,0.79699993,0.0,266,123.625,0,0.0,1.76,0.746,0.0,348,111.55,0,0.0
1703936,1891.5406711101532,14423,1.44,0.745,0.0,302,118.45,0,0.0,1.6799998,0.8129999,0.0,275,114.875,0,0.0
1769472,1962.4845135211945,14956,2.4799998,0.778,0.0,452,120.925,0,0.0,2.6,0.82699996,0.0,699,135.7,0,0.0
1835008,2032.5075767040253,15490,2.24,0.84299994,0.0,320,104.875,0,0.0,1.9599999,0.775,0.0,208,101.475,0,0.0
1900544,2103.9853739738464,16005,2.44,0.991,0.0,447,144.1,0,0.0,1.7599999,0.974,0.0,288,122.9,0,0.0
1966080,2174.3456060886383,16571,2.12,0.89699996,0.0,302,113.875,0,0.0,2.56,0.77000004,0.0,508,128.8,0,0.0
2031616,2245.4546089172363,17125,2.1999998,0.87999994,0.0,306,120.4,0,0.0,2.04,0.87700003,0.0,320,130.375,0,0.0
2097152,2316.2022354602814,17661,2.04,0.859,0.0,267,119.025,0,0.025,1.8,0.936,0.0,354,127.375,0,0.025
2162688,2387.2647235393524,18168,2.48,0.93099993,0.0,330,118.725,0,0.025,2.32,0.858,0.0,368,116.225,0,0.025
2228224,2458.6306641101837,18696,2.44,0.943,0.0,445,126.425,0,0.0,2.3999999,0.95999986,0.0,348,121.0,0,0.05
2293760,2530.1144568920135,19233,1.76,0.899,0.0,228,123.85,0,0.05,1.9999999,0.91099995,0.0,366,114.075,0,0.0
2359296,2603.399220228195,19784,2.2,0.867,0.0,986,129.975,0,0.0,1.9999999,1.0090001,0.0,363,128.05,0,0.0
2424832,2676.1846449375153,20328,1.9999999,0.89399993,0.0,758,127.225,0,0.0,1.6,0.93899995,0.0,257,117.325,0,0.0
2490368,2748.93798995018,20840,1.8399999,0.9269999,0.0,496,122.2,0,0.0,2.56,0.844,0.0,282,114.275,0,0.0
2555904,2822.7043347358704,21386,2.28,0.972,0.0,286,123.575,0,0.0,2.36,1.0270001,0.0,372,132.55,0,0.0
2621440,2896.1235370635986,21921,2.36,0.8699999,0.0,261,104.6,0,0.025,2.04,0.8539999,0.0,294,117.675,0,0.025
2686976,2969.9315950870514,22412,2.7199998,1.0749999,0.0,396,132.725,0,0.0,1.9599999,0.9,0.0,302,108.65,0,0.0
2752512,3043.4000754356384,22947,2.4799998,0.9529999,0.0,301,123.5,0,0.025,2.04,0.837,0.0,225,97.925,0,0.0
2818048,3115.4421198368073,23447,2.44,1.0119998,0.0,239,121.975,0,0.0,2.12,0.932,0.0,316,118.55,0,0.0
2883584,3187.6153407096863,23942,2.7199998,1.203,0.0,475,144.9,0,0.0,2.6,0.958,0.0,402,137.45,0,0.0
2949120,3259.4409458637238,24499,2.2399998,0.98499995,0.0,307,111.475,0,0.0,2.4799998,1.151,0.0,387,122.025,0,0.0
3014656,3330.853034257889,25013,2.36,1.0849999,0.0,230,117.125,0,0.0,2.1999998,0.95199996,0.0,229,105.05,0,0.0
3080192,3403.3007440567017,25533,2.16,1.2,0.0,391,151.7,0,0.0,2.6799998,1.083,0.0,284,127.8,0,0.0
3145728,3473.8190586566925,26053,2.8399997,1.102,0.0,359,127.275,0,0.0,2.3600001,1.2169999,0.0,932,155.825,0,0.0
3211264,3545.4059801101685,26554,2.2799997,1.2709999,0.0,388,147.725,0,0.025,2.8,1.309,0.0,338,158.275,0,0.0
3276800,3619.8968477249146,27033,2.3999999,1.2639999,0.0,511,142.625,0,0.0,2.6,1.1609999,0.0,460,131.675,0,0.0
3342336,3691.2939088344574,27530,2.6399999,1.39,0.0,370,147.975,0,0.0,2.48,1.2850001,0.0,304,136.125,0,0.0
3407872,3764.869381904602,28031,3.12,1.364,0.0,411,135.875,0,0.0,2.52,1.3029999,0.0,312,119.575,0,0.0
3473408,3843.7783875465393,28522,2.76,1.28,0.0,371,145.8,0,0.0,3.1599998,1.3869998,0.0,815,174.075,0,0.0
3538944,3919.020958185196,28998,2.96,1.25,0.0,315,130.225,0,0.0,2.8399997,1.18,0.0,438,126.675,0,0.0
3604480,3994.365121126175,29482,2.36,1.2109998,0.0,392,141.025,0,0.0,2.32,1.2879999,0.0,270,138.525,0,0.0
3670016,4067.8775968551636,29952,2.84,1.352,0.0,581,148.25,0,0.0,2.6,1.4039999,0.0,554,163.125,0,0.0
3735552,4143.8605444431305,30437,2.72,1.3359998,0.0,246,127.6,0,0.0,2.6,1.2759999,0.0,266,112.85,0,0.0
3801088,4223.572573184967,30915,3.2799997,1.3089999,0.0,528,138.025,0,0.025,2.32,1.162,0.0,220,115.0,0,0.0
3866624,4303.162588119507,31390,2.84,1.431,0.0,336,142.425,0,0.0,3.2799997,1.416,0.0,586,150.225,0,0.0
3932160,4380.079895019531,31866,2.9199998,1.278,0.0,257,130.95,0,0.0,2.6799998,1.583,0.0,476,164.625,0,0.0
3997696,4452.802496671677,32345,3.0,1.4919999,0.0,344,146.45,0,0.0,2.8799999,1.4519999,0.0,337,145.35,0,0.0
4063232,4529.626830339432,32805,2.9599998,1.2929999,0.0,315,120.75,0,0.0,2.6799998,1.43,0.0,369,144.65,0,0.0
4128768,4602.218403577805,33237,3.3199997,1.7579998,0.0,379,166.275,0,0.0,2.9199998,1.5639999,0.0,268,151.3,0,0.0
4194304,4680.474878549576,33693,3.04,1.5469999,0.0,380,130.45,0,0.05,2.8799999,1.573,0.0,438,151.1,0,0.025
4259840,4751.88911986351,34137,2.8399997,1.508,0.0,377,148.025,0,0.0,2.92,1.6470001,0.0,390,150.425,0,0.025
4325376,4822.417704820633,34579,2.7599998,1.6019999,0.0,292,148.225,0,0.025,2.96,1.4399999,0.0,376,133.075,0,0.0
4390912,4898.773166418076,35017,3.56,1.6099999,0.0,449,147.15,0,0.025,3.56,1.917,0.0,466,169.075,0,0.025
4456448,4969.671908855438,35473,3.3199997,1.662,0.0,434,158.65,0,0.0,3.3199997,1.661,0.0,384,160.95,0,0.0
4521984,5043.014955997467,35939,3.1599998,1.743,0.0,315,156.05,0,0.0,3.36,1.4359999,0.0,389,129.3,0,0.0
4587520,5118.1724808216095,36374,2.9999998,1.7509998,0.0,375,151.825,0,0.0,3.12,1.7899997,0.0,540,183.4,0,0.0
4653056,5188.23641705513,36800,3.04,1.662,0.0,278,139.325,0,0.0,2.8799999,1.5899999,0.0,310,144.225,0,0.0
4718592,5265.303138971329,37259,3.2399998,1.8849999,0.0,470,176.55,0,0.0,2.96,1.4459999,0.0,484,135.675,0,0.05
4784128,5345.345048666,37733,3.6799998,1.6529999,0.0,529,135.675,0,0.0,3.56,1.45,0.0,383,124.3,0,0.025
4849664,5415.24187541008,38188,3.2399998,1.5239999,0.0,408,130.65,0,0.0,3.6799998,1.6159999,0.0,347,149.025,0,0.0
4915200,5504.234783887863,38636,3.3599997,1.5439999,0.0,378,131.625,0,0.0,3.2400002,1.618,0.0,335,149.95,0,0.025
4980736,5581.608903884888,39069,3.6,1.8779999,0.0,451,166.775,0,0.0,3.3999996,1.6700001,0.0,289,134.45,0,0.0
5046272,5653.6007351875305,39512,3.5199997,2.0089998,0.0,388,163.3,0,0.0,3.4,1.647,0.0,428,142.325,0,0.0
5111808,5730.48434138298,39959,3.44,1.8329998,0.0,332,146.85,0,0.0,4.08,1.8939998,0.0,574,167.9,0,0.0
5177344,5807.978664636612,40415,3.7599998,1.8059998,0.0,330,150.25,0,0.0,3.36,1.849,0.0,758,186.075,0,0.025
5242880,5886.794702291489,40831,3.52,1.431,0.0,396,122.525,0,0.025,3.6799998,1.7789999,0.0,366,148.2,0,0.0
5308416,5967.773992538452,41276,3.4399998,1.6689999,0.0,675,154.25,0,0.0,3.4799998,1.9449999,0.0,416,163.3,0,0.0
5373952,6044.850783109665,41725,3.56,1.7459999,0.0,276,133.4,0,0.0,3.1999998,1.7789999,0.0,1000,170.175,0,0.0
5439488,6125.403678655624,42140,3.36,1.698,0.0,414,131.15,0,0.025,3.4399998,1.5839999,0.0,1000,157.25,0,0.0
5505024,6201.146682500839,42575,3.7599998,1.7599999,0.0,350,131.125,0,0.0,3.48,2.0089998,0.0,1000,177.25,0,0.0
5570560,6278.538636922836,42979,3.1999998,1.6699998,0.0,258,130.775,0,0.0,3.1999998,1.8,0.0,572,166.4,0,0.0
5636096,6351.075974941254,43401,3.2399998,1.9169998,0.0,419,169.55,0,0.0,3.6399999,1.868,0.0,353,152.25,0,0.0
5701632,6422.359566926956,43811,3.1199996,1.791,0.0,394,154.7,0,0.0,3.84,2.0059998,0.0,446,177.475,0,0.0
5767168,6497.642443180084,44243,3.9199998,1.9869999,0.0,378,174.225,0,0.0,3.7199998,2.221,0.0,746,209.075,0,0.0
5832704,6568.723240852356,44664,3.32,1.852,0.0,1000,172.825,0,0.0,3.48,1.7489998,0.0,300,141.65,0,0.0
5898240,6642.7543885707855,45088,3.7199998,1.949,0.0,431,158.05,0,0.025,3.5999997,1.7789999,0.0,276,139.725,0,0.025
5963776,6715.296981573105,45526,3.7599998,1.6819999,0.0,1000,153.45,0,0.0,3.3999999,1.9329998,0.0,391,163.925,0,0.0
6029312,6788.19033074379,45988,3.3999996,1.6509998,0.0,314,129.225,0,0.0,3.7199998,1.927,0.0,468,160.9,0,0.0
6094848,6862.874064445496,46410,3.56,2.046,0.0,292,161.425,0,0.0,3.2799997,1.6099999,0.0,409,135.075,0,0.0
