timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,68.84694194793701,49,10.0,4.25,0.0,251,157.525,0,0.0,10.0,3.5,0.0,254,160.225,0,0.0
131072,131.18811750411987,181,10.0,4.5,0.0,499,331.775,0,0.025,10.0,5.25,0.0,512,324.525,0,0.025
196608,192.34777355194092,370,10.0,5.5,0.0,743,361.1,0,0.025,10.0,5.25,0.0,762,362.9,0,0.0
262144,251.38740825653076,681,10.0,5.5,0.0,1000,310.025,0,0.0,10.0,5.5,0.0,1000,357.2,0,0.0
327680,312.44893074035645,1048,10.0,6.25,0.0,741,183.725,0,0.0,10.0,5.5,0.0,716,165.1,0,0.025
393216,370.9254286289215,1467,10.0,3.25,0.0,637,182.2,0,0.0,10.0,3.75,0.0,778,164.575,0,0.0
458752,427.65246629714966,1969,10.0,5.25,0.0,498,131.25,0,0.0,10.0,4.75,0.0,375,118.8,0,0.0
524288,482.68833112716675,2609,10.0,6.5,0.0,281,105.525,0,0.0,10.0,4.25,0.0,288,91.15,0,0.0
589824,536.4572627544403,3331,10.0,4.25,0.0,406,102.65,0,0.0,10.0,4.25,0.0,234,78.725,0,0.0
655360,590.6212379932404,4107,10.0,5.0,0.0,222,84.7,0,0.0,10.0,4.75,0.0,567,89.925,0,0.0
720896,645.2828159332275,4974,10.0,5.5,0.0,181,77.525,0,0.0,10.0,5.0,0.0,169,61.775,0,0.025
786432,698.8617010116577,5831,10.0,3.5,0.0,149,71.375,0,0.0,10.0,6.75,0.0,419,62.45,0,0.0
851968,752.9852261543274,6807,10.0,5.75,0.0,202,69.575,0,0.075,10.0,5.25,0.0,170,66.075,0,0.0
917504,807.2022235393524,7823,10.0,6.0,0.0,214,70.675,0,0.025,10.0,6.0,0.0,219,69.775,0,0.0
983040,862.1614892482758,8797,10.0,6.5,0.0,220,70.675,0,0.0,10.0,6.5,0.0,165,62.125,0,0.0
1048576,916.4002728462219,9764,10.0,6.25,0.0,205,62.9,0,0.0,10.0,6.25,0.0,236,69.45,0,0.0
1114112,970.1746401786804,10717,10.0,5.5,0.0,223,62.65,0,0.0,10.0,5.75,0.0,195,66.45,0,0.0
1179648,1025.1937546730042,11681,10.0,4.5,0.0,179,71.3,0,0.0,10.0,5.5,0.0,211,76.1,0,0.0
1245184,1078.9800646305084,12711,10.0,7.5,0.0,255,66.975,0,0.0,10.0,5.75,0.0,173,60.875,0,0.05
1310720,1133.4009811878204,13740,10.0,4.5,0.0,160,70.725,0,0.0,10.0,5.75,0.0,279,66.925,0,0.0
1376256,1187.8925487995148,14727,10.0,6.25,0.0,186,68.125,0,0.0,10.0,5.25,0.0,164,64.65,0,0.0
1441792,1242.7763142585754,15791,10.0,6.5,0.0,145,52.85,0,0.0,10.0,7.0,0.0,150,50.55,0,0.0
1507328,1298.4740035533905,16864,10.0,5.75,0.0,204,61.075,0,0.025,10.0,6.0,0.0,166,57.3,0,0.0
1572864,1354.8565788269043,17932,10.0,5.5,0.0,143,59.075,0,0.0,10.0,6.0,0.0,123,47.925,0,0.0
1638400,1413.1548810005188,19108,10.0,7.5,0.0,131,54.125,0,0.0,10.0,7.75,0.0,186,53.875,0,0.0
1703936,1472.2518446445465,20330,10.0,6.0,0.0,147,48.725,0,0.0,10.0,6.5,0.0,188,63.5,0,0.0
1769472,1532.0771305561066,21560,10.0,4.75,0.0,119,54.6,0,0.0,10.0,5.5,0.0,157,55.3,0,0.0
1835008,1593.2921555042267,22806,10.0,7.5,0.0,154,49.725,0,0.0,10.0,5.75,0.0,163,64.6,0,0.025
1900544,1652.5482335090637,24049,10.0,5.0,0.0,127,52.425,0,0.0,10.0,7.5,0.0,144,58.8,0,0.0
1966080,1711.2126352787018,25307,10.0,6.75,0.0,142,51.125,0,0.025,10.0,6.75,0.0,141,53.05,0,0.0
2031616,1767.956559419632,26535,10.0,6.25,0.0,109,45.7,0,0.0,10.0,6.5,0.0,182,47.775,0,0.0
2097152,1827.4712522029877,27780,10.0,6.25,0.0,155,50.775,0,0.025,10.0,6.75,0.0,166,53.35,0,0.0
2162688,1883.3307156562805,28989,10.0,5.25,0.0,146,52.75,0,0.025,10.0,6.25,0.0,170,48.325,0,0.0
2228224,1937.4894721508026,30276,10.0,4.75,0.0,112,49.15,0,0.025,10.0,5.75,0.0,194,47.85,0,0.0
2293760,1991.9960389137268,31566,10.0,7.25,0.0,162,50.325,0,0.0,10.0,5.75,0.0,150,47.125,0,0.0
2359296,2046.340565443039,32845,10.0,6.5,0.0,183,54.025,0,0.025,10.0,6.75,0.0,174,66.375,0,0.0
2424832,2100.6476016044617,34129,10.0,6.0,0.0,144,56.3,0,0.0,10.0,6.5,0.0,171,61.3,0,0.0
2490368,2155.2093255519867,35338,10.0,7.25,0.0,154,54.2,0,0.0,10.0,7.25,0.0,129,46.85,0,0.0
2555904,2209.8339433670044,36584,10.0,7.25,0.0,154,57.45,0,0.025,10.0,6.0,0.0,177,73.575,0,0.0
2621440,2264.3499364852905,37833,10.0,6.5,0.0,138,49.675,0,0.0,10.0,6.0,0.0,189,60.25,0,0.0
2686976,2318.0568809509277,39082,10.0,6.5,0.0,115,50.475,0,0.0,10.0,7.25,0.0,141,41.9,0,0.0
2752512,2372.2639169692993,40271,10.0,7.25,0.0,163,59.05,0,0.0,10.0,5.75,0.0,136,53.15,0,0.0
2818048,2426.783096075058,41452,10.0,6.75,0.0,141,56.775,0,0.0,10.0,6.0,0.0,171,51.275,0,0.0
