timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,105.08459329605103,713,6.0,1.075,0.0,193,72.8,0,0.0,8.0,1.125,0.0,158,79.25,0,0.0
131072,202.70650482177734,1534,7.0,1.175,0.0,124,73.025,0,0.0,9.0,1.775,0.0,158,89.425,0,0.0
196608,303.92195677757263,2345,8.0,1.4,0.0,132,77.925,0,0.0,11.0,2.3,0.0,253,86.15,0,0.0
262144,405.3975296020508,3131,13.0,2.65,0.0,175,86.2,0,0.0,8.0,1.4,0.0,161,79.875,0,0.0
327680,506.47469091415405,3900,10.0,1.725,0.0,143,77.5,0,0.0,11.0,2.25,0.0,167,77.75,0,0.0
393216,605.9737544059753,4654,8.0,1.925,0.0,150,83.75,0,0.0,14.0,2.175,0.0,153,83.9,0,0.0
458752,708.878101348877,5393,10.0,2.4,0.0,168,90.375,0,0.025,8.0,2.075,0.0,184,80.925,0,0.0
524288,809.063056230545,6121,15.0,2.05,0.0,230,83.425,0,0.025,9.0,3.125,0.0,212,101.775,0,0.0
589824,909.2177658081055,6818,13.0,3.275,0.0,165,88.3,0,0.0,12.0,3.275,0.0,224,100.525,0,0.0
655360,1005.1316151618958,7511,14.0,2.375,0.0,255,95.75,0,0.0,10.0,2.7,0.0,187,94.8,0,0.0
720896,1099.8541281223297,8194,8.0,2.475,0.0,242,95.375,0,0.0,11.0,3.225,0.0,195,97.65,0,0.0
786432,1197.0081577301025,8872,14.0,3.2,0.0,176,94.675,0,0.0,13.0,3.9,0.0,208,98.1,0,0.0
851968,1294.8004624843597,9553,13.0,2.4,0.0,200,93.6,0,0.0,12.0,3.7,0.0,199,104.225,0,0.0
917504,1394.9424650669098,10226,15.0,3.1,0.0,312,92.325,0,0.025,13.0,3.175,0.0,169,105.325,0,0.0
983040,1493.294835805893,10892,11.0,3.45,0.0,159,102.275,0,0.025,20.0,2.725,0.0,233,93.5,0,0.0
1048576,1592.6514678001404,11550,15.0,3.1,0.0,265,98.6,0,0.0,17.0,4.125,0.0,181,103.1,0,0.0
1114112,1695.943344116211,12222,11.0,2.65,0.0,195,90.925,0,0.025,9.0,2.525,0.0,192,97.125,0,0.0
1179648,1800.1822843551636,12896,10.0,3.0,0.0,218,96.525,0,0.0,16.0,3.85,0.0,278,100.65,0,0.025
1245184,1903.3448090553284,13560,13.0,3.775,0.0,219,98.925,0,0.0,11.0,3.025,0.0,174,94.375,0,0.0
1310720,2004.9589483737946,14186,17.0,3.925,0.0,245,104.225,0,0.0,10.0,3.7,0.0,158,97.2,0,0.025
