timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,101.68351435661316,738,6.0,1.2,0.0,114,74.475,0,0.0,6.0,0.85,0.0,237,75.6,0,0.0
131072,196.40339994430542,1547,4.0,0.7,0.0,172,71.375,0,0.0,8.0,1.15,0.0,203,85.1,0,0.025
196608,292.18046402931213,2338,6.0,1.25,0.0,210,84.325,0,0.0,10.0,1.175,0.0,176,80.0,0,0.0
262144,387.0253212451935,3123,6.0,1.25,0.0,192,82.825,0,0.0,9.0,1.15,0.0,188,87.875,0,0.0
327680,482.98298811912537,3896,7.0,1.075,0.0,236,80.325,0,0.0,13.0,1.2,0.0,221,88.375,0,0.0
393216,576.8527534008026,4611,7.0,1.125,0.0,243,96.5,0,0.025,5.0,1.15,0.0,163,83.475,0,0.0
458752,671.3153665065765,5320,7.0,1.0,0.0,179,89.7,0,0.0,5.0,1.325,0.0,197,84.475,0,0.0
524288,764.796638250351,6049,6.0,1.125,0.0,256,82.9,0,0.025,9.0,1.475,0.0,224,88.975,0,0.0
589824,859.1531357765198,6749,5.0,1.25,0.0,146,90.625,0,0.025,10.0,1.575,0.0,276,98.775,0,0.0
655360,952.2615923881531,7468,4.0,0.75,0.0,131,76.225,0,0.0,9.0,1.45,0.0,220,99.025,0,0.0
720896,1048.2046389579773,8159,3.0,1.075,0.0,195,88.55,0,0.0,7.0,1.65,0.0,235,98.15,0,0.0
786432,1143.6053085327148,8880,7.0,1.1,0.0,239,94.7,0,0.0,11.0,1.225,0.0,184,91.95,0,0.025
851968,1238.8272931575775,9598,8.0,1.3,0.0,216,83.0,0,0.0,10.0,1.5,0.0,206,83.875,0,0.0
